,key_skills,name,id,description,salary,creation_time,employer,schedule,accept_temporary
0,"C/C++, Qt, Linux",Junior Программист С/C++,52218311,"Компания WRTech - креативная команда разработчиков ищущих новых воиновпрограммирования в свою дружественную команду.**Обязанности:**  * Разрабатывать и поддерживать встраиваемое программное обеспечение для мультимедиа устройств на базе Linux и Android AOSP**Требования:**  * Знание QT/QML Linux  * Знание языка С/C++  * Желание обучаться  * Знание java/kotlin и android sdk (не обязательно, но если будет опыт - дополнительный плюс)**Условия:**  * Обучение и менторскую поддержку от основателя компании :)))  * Возможность реализации своих идей  * Возможность использовать свой продукт (мультимедиа центр) и видеть результат деятельности  * Креативный, дружелюбный коллектив без бюрократии, но с кофе :)))","{'from': 35000, 'to': 55000, 'gross': False, 'currency': 'RUR'}",2022-02-08T16:48:34.678+03:00,ВРТ,FULL_DAY,False
1,"Английский — A2 — Элементарный, SQL, MySQL, Linux, JavaScript, ООП, Ruby, Java, PHP, C++, C#",Junior Data Engineer (Intern),52061597,"Приглашаем к нам в команду **Junior разработчика** для развития и поддержкикрупной аналитической системы. Рассматриваем кандидатов с базовым знаниемлюбого языка программирования (например: Java, PHP, C#, C++, Python,JavaScript и т.д.) и желанием программировать на языке Ruby.**_Предлагаем кандидатам, успешно выполнившим тестовое задание (на Ruby) ипрошедшим интервью, 2-х месячный интенсивный курс обучения по работе с нашейсистемой (входит в оплачиваемый испытательный срок), где вы столкнётесь с web-скрепингом, большими данными, Linux серверами, а также спецификой работыкомпании._****_Работа предполагается только на полный рабочий день (частичную занятость непредлагаем)._**Мы занимаемся разработкой масштабного бизнес-приложения для крупнейших ритейл-компаний и компаний-производителей из Европы и США. С помощью нашей системыклиенты получают необходимую информацию о том, каким образом представлены ихпродукты/ товары на рынке, и могут выстраивать стратегию маркетинга и продаж,опираясь на предоставленные нами данные.**С чем предстоит работать после обучения:**  * Работа с огромными массивами данных с использованием различных СУБД (Mysql, Cassandra, ClickHouse)  * Написание высоконагруженных скриптов для сбора и обработки больших объемов информации  * Сбор данных из открытых источников сети Internet (веб сайты, мобильные приложения), а также из закрытых сервисов наших клиентов  * Удаленная работа с серверами на Linux с использованием консольных утилит и скриптов  * Настройка валидации и кастомизация собранных данных согласно требованиям клиентов  * Участие в проектировании и разработке внутренних инструментов и процессов для ускорения и автоматизации нашей работы**Наши ожидания от кандидата:**  * SQL: написание простых запросов с использованием подзапросов или объединения таблиц (JOIN)  * Ruby - знание синтаксиса языка и базовых структур данных (массивы, хеши), работа с классами и модулями, работа с файлами (csv, xml, Excel, json). Рассматриваем кандидатов с базовым знанием любого ООП языка программирования  * Знание на базовом уровне: Xpath, регулярные выражения, HTML, Javascript  * Знание протокола HTTP (cookies, headers, status codes)  * Умение пользоваться инструментами разработчика (Firebug, Google Chrome dev tools)  * Желание и умение обучаться самостоятельно  * Владение английским языком на уровне не ниже Pre-Intermediate  * Нахождение в тайм-зоне UTC+3 (МСК) для удаленного сотрудничества**Что мы предлагаем:**  * Работа над собственным продуктом компании - мировым лидером в сегменте e-commerce аналитики  * Возможности для профессионального развития и построения карьеры  * Возможность экспериментировать и влиять на различные аспекты разработки продукта для достижения наилучших результатов  * Возможность работать удаленно  * Конкурентная заработная плата  * Медицинская страховка - 100% оплата компанией  * Отпуск 20 рабочих дней в год  * Оплата больничного листа - 80% от оклада  * Оплата Sick Days без больничного листа 4 дня в год - 80% от оклада  * Возможности для профессионального развития, покрываемые компанией - семинары, тренинги, конференции и т.д.  * Оплата спорта, парковки, занятий английским языком - 50% расходов  * Корпоративная дисконтная программа (550+ скидок и специальных предложений на различные покупки и услуги)  * Современный и удобный офис в центре города в бизнес-центре «Royal Plaza»  * Гибкий рабочий график после прохождения испытательного срока_Наш успех - это наши люди! Действительно сложно, но невероятно интересно бытьчастью команды Profitero!_",,2022-02-03T10:25:28.785+03:00,Profitero,FULL_DAY,False
2,"C++, Алгоритмы, Qt, ООП, MS Visual Studio, Wireshark, Git, TCP/IP",Младший разработчик C++,52082549,"Научно-технический центр «Радуга» - один из лидеров рынка систем связи. Мысоздаем программные и программно-аппаратные комплексы анализа и обработкисигналов. На протяжении 17 лет мы успешно ведем научно-исследовательские иопытно-конструкторские работы.В связи с увеличением объема выполняемых работ и расширением штата мыприглашаем в нашу команду студентов и выпускников технических вузов надолжность **младшего разработчика C++**.**Что нужно будет делать:**  * разрабатывать эффективные алгоритмы обработки и передачи данных;  * проводить анализ сетей передачи данных;  * проводить анализ сетевых протоколов.**Чего мы ждем от соискателей:**  * знание C++ и ООП;  * навыки тестирования кода;  * знание базовых алгоритмов и структур данных;  * знание основ передачи данных (модель OSI) и протоколов стека TCP/IP;  * техническое образование;  * знание английского для чтения документации.**Будет преимуществом:**  * опыт использования ПО Wireshark;  * опыт разработки ПО в сфере телекоммуникационного оборудования;  * навык работы с системами контроля версий (git, mercurial);  * опыт разработки в Microsoft Visual Studio;  * опыт использования фреймворка Qt.**Условия:**  * Испытательный срок один месяц;  * полное оформление по ТК РФ;  * рост под руководством опытных кураторов;  * молодой дружелюбный коллектив, состоящий в основном из выпускников МГУ, МФТИ, МЭИ;  * гибкий график работы;  * возможность написания диплома по теме одной из решаемых задач (для студентов и аспирантов);  * ДМС после года работы;  * возможность работать удаленно до 80% времени после испытательного срока;  * премии после полугода работы;  * зарплата пересматривается по результатам работы раз в полгода.","{'from': 60000, 'to': 90000, 'gross': True, 'currency': 'RUR'}",2022-02-03T16:32:46.285+03:00,НТЦ Радуга,FLEXIBLE,False
3,"Многозадачность, Работа в команде, C++, Python","Junior programmer (Python, C++)",49789002,"Компания Wargaming Saint Petersburg приглашает студентов последних курсовпройти оплачиваемую стажировку в департаменте программирования проекта **Worldof Warships.**Стажировка подразумевает полный рабочий день и возможность последующегосотрудничества с нашим проектом. После окончания стажировки успешным стажерампредоставится возможность продолжить сотрудничать с командой проекта.Пожалуйста, укажите ссылку на Ваше портфолио (домашние проекты, участие впроектах инди-команд, участие в хакатонах и гейм-джемах) в резюме илисопроводительном письме.**Ключевые требования:**  * Желание развиваться в сфере программирования игр  * Техническое образование (студенты последних курсов)  * Хорошие знания C++, Python  * Наличие портфолио является большим преимуществом  * Техническая грамотность  * Умение и готовность работать в команде, усидчивость и ответственность  * Навыки конструктивной коммуникации и умение грамотно формулировать свои мысли.**О нас:**  * Wargaming Saint Petersburg (Lesta Studio) занимается разработкой игры World of Warships, а также еще несколькими игровыми продуктами на разных платформах. В связи с масштабом проекта, мы расширяем свой штат и ищем талантливых людей, желающих развиваться в творческом коллективе и участвовать в создании игр мирового уровня.**Мы предлагаем:**  * Интересную сложную работу над уникальными игровыми проектами мирового уровня в составе успешной, профессиональной и слаженной команды  * Разнообразные интересные творческие задачи, свободу в работе над ними  * Возможность приобрести бесценный опыт, работая плечом к плечу с ведущими специалистами отрасли  * Комфортные условия труда в современном просторном офисе в шаговой доступности от ст. м. ""Ладожская""  * Реализацию ваших лучших качеств!",,2021-11-19T14:24:06.346+03:00,Wargaming St. Petersburg (Lesta Studio),FULL_DAY,False
4,"Английский — A2 — Элементарный, Информационные технологии, Разработка компьютерных Игр",Программист-разработчик игр (Junior),51540882,"Мы расширяем свою gamedev-команду и ищем заинтересованных программистов дляразработки компьютерных игр под различные платформы на нашем собственномязыке.**У нас вы получите возможность** :  \- приобрести глубокие и разносторонние знания, познакомившись с множествомаспектов создания компьютерных игр  \- работать в сильной команде над уникальными продуктами, которыми можногордиться  \- изучать новые технологии и расти как специалист  \- участвовать в полном цикле разработки и предлагать любые улучшения  \- получать справедливую оплату, соразмерную вашему вкладу**Нам важно, чтобы вы** :  \- имели базовые знания математики и информационных технологий  \- умели программировать хотя бы на одном из языков: C, C++, Rust  \- понимали, во что превращается ваш код, и как он работает на низком уровне  \- не боялись сложностей и получали удовольствие от решения нестандартныхзадач  \- имели возможность и желание работать не менее 80 часов в месяц**Мы обрадуемся** , если вы также имеете опыт/навыки работы с Unix, Android,базами данных, сетевыми протоколами, системами контроля версий, web-программирования, программирования для GPU (работы с шейдерами).У нас возможна удалённая работа по любому удобному вам графику.  Оплата производится не за количество проведённых за компьютером часов, а зазавершённые задачи. Все задачи оцениваются перед выполнением.","{'from': 75000, 'to': 150000, 'gross': False, 'currency': 'RUR'}",2022-01-22T16:03:19.854+03:00,ГравиЛинк,FLEXIBLE,False
5,"ООП, Delphi, Серверное программирование, C/C++, С#",Backend разработчик Junior,50894404,"Мы специализируемся на разработке программного обеспечения больших,высоконагруженных и производительных систем, созданием сервисов и клиентскихприложений.Разработкой ПО занимается увлечённая команда программистов. Используя Delphi вкачестве языка программирования, мы создали собственный фреймворк, позволяющийпроектировать высокопроизводительные распределённые системы. Мы достигаем целиза счёт глубокого понимания технологий и принципов работы современного""железа"". Наши приложения работают с сотнями тысяч онлайн-пользователей.В нашем коллективе программисты получают опыт разработки многопоточныхсерверных приложений, что развивает ответственность и системное мышление.Высокие требования к проектированию моделей данных и структуре создаваемогокода формируют навыки писать ясный, самодокументируемый код.Присоединяйся, и ты будешь заниматься разработкой уникальных приложений вкоманде мастеров своего дела!**Чем предстоит заниматься:**  * Разработка серверных продуктов для высоконагруженных систем**Что мы ожидаем от кандидата:**  * Опыт разработки собственных приложений (желателен)  * Способность быстро осваивать синтаксис языка Delphi  * Стремление писать надёжный и понятный код  * Желание стать опытным серверным разработчиком  * Понимание методов ООП  * Интерес к:     * сложным задачам    * Delphi    * низкоуровневому и многопоточному программированию для высоконагруженных и распределённых системЕсли ты выпускник следующих учебных заведений, смело откликайся :)  * НЯУ МИФИ  * Мехмат МГУ  * ВМиК МГУ _(факультет Вычислительной Математики и Кибернетики)_  * МГТУ им. Баумана - факультет ИУ  * МФТИ  * Технических ВУЗов с профильными факультетами**Что мы предлагаем:**  * Обучение в командах под руководством высококлассных разработчиков  * Оформление в штат компании, полное соблюдение ТК РФ (отпуск, больничный), официальная заработная плата  * После испытательного срока мы подключаем ДМС и еженедельное посещение спорт зала_**А еще:**_  * Помощь в релокации  * Персональный гибкий график  * Лучшая техника (Apple) и софт  * Интересная предметная область и сложные технические задачи, возможность развития и роста  * Демократичное руководство, минимум формальностей во взаимодействии  * Просторный и современный офис в 10 минутах пешком от м. Домодедовская, в котором комфортно работать и приятно общаться с коллегами  * Бизнес-ланчи в нескольких ресторанах рядом с офисом Компании  * Уютные кухни-столовые с чаем, кофе и конфетамиПожалуйста, укажи в сопроводительном письме краткое описание разработок,примеры кода, ссылки на видео работы своих приложений!","{'from': 130000, 'to': 180000, 'gross': False, 'currency': 'RUR'}",2022-01-10T19:46:18.595+03:00,24Н Софт,FLEXIBLE,False
6,"Английский — B1 — Средний, Английский язык, Unreal Engine 4, Game Programming, C++",Junior UE\C++ Developer,52222820," **Kevuru Games** is a leading European creative studio engaged in creatingtransformative entertainment projects for clients from all over the world.  We have strong Dev and Art teams of 250+ talents including Unity, UE4, Art,Concepts, UI/UX, VR/AR, 2D/3D and Animation specialists.We contributed toworld-class projects such as:  — Fortnite by Epic Games;  — Tabou Stories by Nanobit;  — Star Wars by Lucasfilm;  — Big Farm by Goodgame Studios.Currently we are extending our development department. **Junior** candidatesmostly will work on our internal project. In order to raise their skillslevel. Each Junior developer will have mentor assigned to him. We search forhighly motivated people who knows programming and **Unreal Engine** very well.**REQUIREMENTS FOR CANDIDATE:**  * C++ programming;  * Algorithmic thinking;  * Unreal Engine 4 on very basic level.**WILL BE PLUS:**  * GPU programming;  * Math skills;  * Physics skills;  * Understanding of Animations flow;  * 3D modeling skills.**RESPONSIBILITIES:**  * Design game modules or applications;  * Develop;  * Bugfix.**WE OFFER:**  * Remote;  * Open management without bureaucracy;  * Salary reviews according to the results of performance appraisal;  * 10 days paid sick leave and 18 working-days’ vacation;  * Days off on National/Bank Holidays;  * Partial compensation of any professional courses or trainings;  * Conferences, knowledge sharing activities, certification;  * Availability of sabbatical;  * Possibility to grow inside the friendly and professional team.",,2022-02-08T19:07:47.353+03:00,Kevuru Games,REMOTE,False
7,"Python, Linux, PostgreSQL, SQL",Junior Data Engineer (Python),50637406,"Компания DataFork — специалист в области обработки и анализа традиционных иальтернативных «больших данных» на финансовых рынках. __ В нашей командеоткрыта вакансия, предоставляющая возможность начать карьеру в сфере инженерииданных.    Вакансия не предполагает полностью удаленного режима работы.**Задачи**  * Автоматизация процессов сбора, хранения и анализа данных из открытых и закрытых источников (ETL)  * Автоматизация процессов обработки, «обогащения» и нормализации данных  * Построение актуальных статистик данных  * Поддержка продукта при изменениях в интерфейсах и форматах данных поставщиков, общение с технической поддержкой поставщиков данных**Требования к кандидатам**  * Уверенное владение python (3.*)  * Опыт разработки в среде linux  * Высшее техническое образование**Будут преимуществом**  * Опыт работы с библиотекой pandas  * Владение С++ и соответствующие инструментарием разработки (gcc / gdb)  * Опыт работы с SQL-базами данных (PostgreSQL, MSSQL)  * Опыт разработки ETL-решений**Условия работы**  * Современный офис в Сити  * Персональные рабочие станции станции и доступ к мощным вычислительным ресурсам в облаке  * Оплата overtime и квартальные премии  * Гибкий график отпусков  * Отсутствие бюрократии  * Мобильная команда, мотивированная на создание глобального продукта","{'from': 150000, 'to': 190000, 'gross': True, 'currency': 'RUR'}",2021-12-22T15:28:54.706+03:00,DataFork,FULL_DAY,True
8,"Python, OpenCV, Computer Vision, Английский язык, Deep Learning, Математическая статистика, Machine Learning, C/C++, Линейная алгебра",Computer Vision Engineer (junior/intern),52201642,"**О КОМПАНИИ**ТРИДИВИ (3DiVi Inc.) является ведущей международной компанией по разработкеAI-технологий трекинга тела и лица для сфер интернета вещей (IoT),интеллектуальной видеоаналитики, робототехники и цифровой идентичности(биометрии). Компания основана в 2011 году и имеет офисы имеет офисы в Сан-Франциско (США), Челябинске, Москве и Санкт-Петербурге.Компания заработала высокую репутацию в сфере SDK распознавания лиц искелетного трекинга с прямыми лицензионными договорами с Intel, LG, Orbbec(AliPay), Ростелеком.В 2022 году ТРИДИВИ привлекла крупные инвестиции на создание low-code SaaSплатформы трекинга человека. В связи с этим есть уникальная возможностьприсоединиться к нашей команде в качестве специалиста в группу разработки г.Санкт-Петербург.**ОБЯЗАННОСТИ**  1. Разработка новых и улучшение существующих алгоритмов **компьютерного зрения** в задачах распознавания объектов, людей, поз и анализа действий.  2. Изучение и анализ тенденций в сфере анализа и обработки данных, машинного обучения и искусственного интеллекта. Изучение актуальных научных достижений в компьютерном зрении, чтение научной литературы и поиск решений прикладных задач.  3. Реализация алгоритмов в форме, пригодной для внедрения в конечные продукты.  4. Коммуникация с членами команды, в том числе из других городов.  5. Участие в корпоративных мероприятиях, направленных на профессиональное развитие и расширение компетенций сотрудников.**ТРЕБОВАНИЯ**  * Хорошая математическая подготовка (математическая статистика, линейная алгебра).  * Навыки программирования (C++ и/или Python).  * Владение английским языком на уровне свободного чтения текстов.  * Желание развиваться в области Computer Vision и Deep Learning.**МЫ ПРЕДЛАГАЕМ**  1. Возможность получить опыт работы на мировом рынке в инновационной сфере.  2. Расти профессионально и работать в команде высококвалифицированных специалистов.  3. Полностью официальную заработную плату и оформление по ТК РФ.  4. Размер оплаты определяется по итогам собеседования.  5. Гибкий график работы. Возможна полная/частичная занятость, сочетание работы в офисе и дистанционно. Офис около м. Василеостровская (8-я линия В.О., 25, 6 минут от метро, 20 минут от ИТМО на Биржевой линии).  6. Комфортные условия: отлично оборудованное рабочее место, круглосуточный доступ, зона отдыха, выпечка, фрукты, пятничные вечеринки, корпоративные мероприятия.  7. Возможности для развития, обучения.**ОБРАЩЕНИЕ К КАНДИДАТАМ****Если Вам нравится решать сложные алгоритмические задачи, Вы хотитеразвиваться в области Сomputer Vision и Deep Learning, получить опытразработки конкурентоспособных в мировом масштабе решений, это шанс для Вас!**",,2022-02-08T12:09:32.657+03:00,ТРИДИВИ,FLEXIBLE,False
9,"Английский — B1 — Средний, C++, English, Unreal",Junior UE4/C++ Developer,51407735, **Responsibilities:**  * Design game modules or applications.  * Develop.  * Bugfix.**Requirements:**  * GPU programming.  * Math skills.  * Physics skills.  * Understanding of Animations flow.  * 3D modeling skills.**Conditions:**  * ​​​Ability to work remotely.  * Open management without bureaucracy.  * Salary revision once a yea.  * 10 days paid sick leave and 18 working days vacation.  * Days off on National/Bank Holidays.  * Partial compensation of any professional courses or trainings.  * Possibility to grow inside a friendly and professional team.,,2022-01-20T11:58:03.663+03:00,Kevuru Games,FULL_DAY,False
