,key_skills,name,id,description,salary,creation_time,employer,schedule,accept_temporary
0,"C++, STL",Программист C++ (Middle),51221766,"Компания ИНИТИ — разработчик комплексных решений в области консолидацииданных, построения ситуационных центров и управления IT- и телеком-инфраструктурой.В данный момент находимся в поиске разработчика для развития системы он-лайнмониторинга состояния различного оборудования.**Обязанности:**  * разработка программного обеспечения (преимущественно под ОС Linux)  * участие в разработке архитектуры ПО**Требования:**  * высшее научно-техническое образование  * хорошее знание принципов построения ООП, шаблонов проектирования и способов межпоточного взаимодействия  * уверенное владение языком C++, библиотекой STL  * опыт создания многопоточных приложений (std::thread, pthread) и использования объектов синхронизации (mutex, condition variable, atomic и т.п.)  * глубокое понимание структур данных (различные виды деревьев, очередь, стек, список и т.п.)  * английский язык на уровне чтения технической документации**Приветствуется:**  * опыт работы с ОС Linux  * навыки использования инструментария g++, cmake, git, kdevelop, valgrind (memcheck, callgrind, helgrind)  * опыт разработки интерпретатора или компилятора языка программирования  * опыт разработки кросс-платформенных приложений  * опыт работы с протоколом SNMP**Условия:**  * оформление по ТК  * удаленная работа (по желанию возможна работа в офисе)  * 5 оплачиваемых отгулов в год  * дополнительная неделя отпуска (квантование - 2 недели, 2 недели, 1 неделя)  * согласование рабочего графика (например отдыхать в понедельник, но работать в субботу, или смещение рабочего дня на час)  * возможность выделения до десяти оплачиваемых дней в году, но не чаще одного дня в неделю, на самообразование (ведение домашних проектов, изучение новых инструментов, технологий, не связанных с основной рабочей деятельностью); для целесообразности и контроля прогресса подводятся промежуточные итоги  * для уменьшения отвлеченности от существующих задач разработчиков выделяют на спринты (мелкие задачи, багфиксинг, небольшое расширение функционала) и длинные задачи (новый функционал, рефакторинг существующего) с последующей ротацией  * испытательный срок 1-3 мес  * офис 10 мин пешком от м.Серпуховская  * дружный молодой коллектив","{'from': 250000, 'gross': True, 'currency': 'RUR'}",2022-01-17T19:10:31.096+03:00,ИНИТИ,REMOTE,False
1,"C/C++, Linux, C++, Go",Middle/Senior C/C++ Software Developer,52171563,"**Setplex** is a software development company with a main focus on creatingOTT/IPTV platforms, including billing, management, middleware,encoding/streaming and delivery of content. Setplex had opened an office inMinsk in 2015, dedicated to research and development, with a mission ofcreating a team of highly qualified developers, who will constantly work ondeveloping existing and new software/widgets for our company. Setplexcurrently has a worldwide presence with different OTT/IPTV services forinternational communities worldwide with a main focus on North America and theEuropean Union. We welcome talented and experienced developers to be part ofour team and grow with our success.     **Setplex** is looking for **Middle-Senior** **C/C++ Software Developer** towork on own line of products for IPTV.**Requirements:**  * Strong development experience in C\C++ programming language  * At least 4 years of relevant experience in development  * Knowledge of STL library  * Knowledge of object-oriented programming and ability to use Software design patterns  * Ability to write quality-oriented code and support it with unit- and auto-tests  * Experience writing distributed and writing multi-threaded applications;  * Experience or desire to work with video-related and broadcasting technologies  * Linux development system programming ( Networking, process and thread handling, IPC, file I/O);  * gstreamer, ffmpeg, open 264, x264, aac, mp3, cuda, Vaapi, cmake, make  * English intermediate and higher**Developer responsibilities:**  * Work as a chief developer in C++ team  * Develop / control standards in C++ team  * Be in charge of project architecture**We offer:**  * Office in the city center  * Competitive salary  * Complex and interesting tasks  * Work in a friendly team  * Ongoing professional development  * Paid gym  * Paid tickets for professional conferences and events  * English classes in office  * Medical insurance  * Free Coffee & snacks  * Corporate event, teambuilding",,2022-02-07T15:05:02.680+03:00,SETPLEX / Bld Soft,FULL_DAY,False
2,"C++, STL",Программист C++ (Middle),51221767,"Компания ИНИТИ — разработчик комплексных решений в области консолидацииданных, построения ситуационных центров и управления IT- и телеком-инфраструктурой.В данный момент находимся в поиске разработчика для развития системы он-лайнмониторинга состояния различного оборудования.**Обязанности:**  * разработка программного обеспечения (преимущественно под ОС Linux)  * участие в разработке архитектуры ПО**Требования:**  * высшее научно-техническое образование  * хорошее знание принципов построения ООП, шаблонов проектирования и способов межпоточного взаимодействия  * уверенное владение языком C++, библиотекой STL  * опыт создания многопоточных приложений (std::thread, pthread) и использования объектов синхронизации (mutex, condition variable, atomic и т.п.)  * глубокое понимание структур данных (различные виды деревьев, очередь, стек, список и т.п.)  * английский язык на уровне чтения технической документации**Приветствуется:**  * опыт работы с ОС Linux  * навыки использования инструментария g++, cmake, git, kdevelop, valgrind (memcheck, callgrind, helgrind)  * опыт разработки интерпретатора или компилятора языка программирования  * опыт разработки кросс-платформенных приложений  * опыт работы с протоколом SNMP**Условия:**  * оформление по ТК  * удаленная работа (по желанию возможна работа в офисе)  * 5 оплачиваемых отгулов в год  * дополнительная неделя отпуска (квантование - 2 недели, 2 недели, 1 неделя)  * согласование рабочего графика (например отдыхать в понедельник, но работать в субботу, или смещение рабочего дня на час)  * возможность выделения до десяти оплачиваемых дней в году, но не чаще одного дня в неделю, на самообразование (ведение домашних проектов, изучение новых инструментов, технологий, не связанных с основной рабочей деятельностью); для целесообразности и контроля прогресса подводятся промежуточные итоги  * для уменьшения отвлеченности от существующих задач разработчиков выделяют на спринты (мелкие задачи, багфиксинг, небольшое расширение функционала) и длинные задачи (новый функционал, рефакторинг существующего) с последующей ротацией  * испытательный срок 1-3 мес  * офис 10 мин пешком от м.Серпуховская  * дружный молодой коллектив","{'from': 250000, 'gross': True, 'currency': 'RUR'}",2022-01-17T19:10:31.096+03:00,ИНИТИ,REMOTE,False
3,"C++, STL",Программист C++ (Middle),51221768,"Компания ИНИТИ — разработчик комплексных решений в области консолидацииданных, построения ситуационных центров и управления IT- и телеком-инфраструктурой.В данный момент находимся в поиске разработчика для развития системы он-лайнмониторинга состояния различного оборудования.**Обязанности:**  * разработка программного обеспечения (преимущественно под ОС Linux)  * участие в разработке архитектуры ПО**Требования:**  * высшее научно-техническое образование  * хорошее знание принципов построения ООП, шаблонов проектирования и способов межпоточного взаимодействия  * уверенное владение языком C++, библиотекой STL  * опыт создания многопоточных приложений (std::thread, pthread) и использования объектов синхронизации (mutex, condition variable, atomic и т.п.)  * глубокое понимание структур данных (различные виды деревьев, очередь, стек, список и т.п.)  * английский язык на уровне чтения технической документации**Приветствуется:**  * опыт работы с ОС Linux  * навыки использования инструментария g++, cmake, git, kdevelop, valgrind (memcheck, callgrind, helgrind)  * опыт разработки интерпретатора или компилятора языка программирования  * опыт разработки кросс-платформенных приложений  * опыт работы с протоколом SNMP**Условия:**  * оформление по ТК  * удаленная работа (по желанию возможна работа в офисе)  * 5 оплачиваемых отгулов в год  * дополнительная неделя отпуска (квантование - 2 недели, 2 недели, 1 неделя)  * согласование рабочего графика (например отдыхать в понедельник, но работать в субботу, или смещение рабочего дня на час)  * возможность выделения до десяти оплачиваемых дней в году, но не чаще одного дня в неделю, на самообразование (ведение домашних проектов, изучение новых инструментов, технологий, не связанных с основной рабочей деятельностью); для целесообразности и контроля прогресса подводятся промежуточные итоги  * для уменьшения отвлеченности от существующих задач разработчиков выделяют на спринты (мелкие задачи, багфиксинг, небольшое расширение функционала) и длинные задачи (новый функционал, рефакторинг существующего) с последующей ротацией  * испытательный срок 1-3 мес  * офис 10 мин пешком от м.Серпуховская  * дружный молодой коллектив","{'from': 250000, 'gross': True, 'currency': 'RUR'}",2022-01-17T19:10:31.096+03:00,ИНИТИ,REMOTE,False
4,,C++ developer (Middle/Senior),51487891,"Компания **Siber Systems** приглашает на работу программиста C++ в командуразработчиков известного синхронизатора файлов GoodSync и менеджера паролейRoboForm.**Требования к кандидату:**  * опыт программирования на С++ (2-3 года);  * технический английский язык;  * опыт работы с WinAPI, разработки под Windows;  * хорошее понимание TCP/IP, опыт разработки сетевых программ;  * приветствуется опыт разработки под Unix/Linux;**Условия работы и компенсационный пакет:**  * заработная плата по результатам собеседования;  * система премирования.  * оформление в полном соответствии с ТК РФ;  * полная занятость;  * работа в современном офисе в центре города (м. Спортивная);  * медицинская страховка (ДМС);  * мы предлагаем работу в стабильной и успешной компании, перспективы карьерного роста и достойную оплату труда.","{'from': 200000, 'gross': True, 'currency': 'RUR'}",2022-01-21T13:59:11.241+03:00,Siber Systems Inc,FULL_DAY,False
5,"Английский — B2 — Средне-продвинутый, Алгоритмы и структуры данных, Английский язык (Upper-Intermediate), MATLAB, Математическое моделирование, Работа в команде, C++, Английский язык, Многопоточность",Software Engineer / C++,50978025,"**Ищем талантливых программистов для работы над прибором по излечениюонкологических заболеваний. Компания RefleXion Medical создает уникальноеоборудование для лучевой терапии нового поколения. В 2020 открылся нашнебольшой офис в Питере, в современном пространстве ""Ясная Поляна"" в центрегорода (м. Петроградская).****Ждем специалистов уровня middle и senior, но готовы рассмотреть талантливогоджуна.****Обязанности** :  • Работа с алгоритмами обработки данных и сигналов при облучении: разработкановых подходов и усовершенствование существующих  • Анализ точности, производительности и сбоеустойчивости текущей реализации  • Автоматизация тестирования и верификации алгоритмов обработки данных  • Научная работа  • Презентации результатов международной технической команде _._**Минимальные требования к кандидату:**  • Опыт работы от 2-х лет  • Свободное владение C++ и STL и многопоточным программированием  • Знания основных структур данных, анализ big-O  • Владение основами цифровой обработки сигналов  • Владение основами работы с пиксельными изображениями  • Желательно иметь опыт работы с Matlab  • Английский – от Upper-Intermediate**Предлагаем** :  • Современный офис в центре города (м. Петроградская)  • Интересный проект со сложными задачами и возможностью помочь людям  • Официальное трудоустройство / ""белая"" зарплата  • Гибкий график работы  • Можно работать частично из дома  • Бесплатные обедыА ещё мы любим читать сопроводительные письма :)))","{'from': 170000, 'to': 250000, 'gross': True, 'currency': 'RUR'}",2022-01-12T11:30:43.348+03:00,Reflexion Medical,FULL_DAY,False
6,"Linux, C++, STL, C/C++",Разработчик С++ Middle,50410578," **IT Prime** является современной, высокотехнологичной компанией смасштабными разработками в различных областях бизнеса, продвинутойинфраструктурой и широким набором различных сервисов.Для реализации нового направления в сфере высокочастотной торговли нашейкоманде необходимы талантливые специалисты, и мы ищем амбициозного Middleразработчика С++.**О нас:**  Мы занимаемся разработкой программных продуктов в сфере высокочастотнойторговли на биржевых и крипто рынках. В работе применяются современные научныеподходы в самых инновационных технологических областях.**Чем предстоит заниматься:**  • Развивать системы для алгоритмической торговли;  • Разрабатывать приложения, работающие с биржевой инфраструктурой;  • Проектировать компоненты low-latency торговой платформы.**Что важно для нас:**  • Опыт разработки С++ от 3-х лет;  • Понимание разработки многопоточных сетевых приложений на С++ под Linux;  • Знание С++11, STL, metaprogramming, Atomic, POSIX API, IPC;  • Знание TCP/IP stack, tuned for performance;  • Знание фундаментальных структур данных и алгоритмов;  • Умение решать нестандартные задачи;  • Понимание технической документации на английском языке.**Будет плюсом:**  • Опыт в разработке ПО в сфере финансовых рынков (акции, фьючерсы иоблигации);  • Знание fix/fast протоколов;  • Опыт работы со средствами отладки и профилирования под Linux.**Условия:**  • Бонусы по результатам реализации поставленных задач;  • Оформление по ТК РФ с первого дня;  • Конкурентная заработная плата по результатам собеседования;  • Гибкий рабочий график (полная занятость);  • Работа в офисе **(удаленная невозможна)** ;  • Интересные и сложные проекты;  • Профессиональный и молодой коллектив.","{'from': 180000, 'gross': True, 'currency': 'RUR'}",2021-12-13T13:11:05.598+03:00,Айти Прайм,FLEXIBLE,False
7,"PostgreSQL, Qt, Git, Linux, C++",Middle C++/Qt разработчик,51847009," **О нас**Компания - системный интегратор. Наше подразделение занимается заказнойразработкой софта. Мы работаем с интересными проектами и решаем нестандартныезадачи из различных областей бизнеса, таких как:  * информационная безопасность  * видеонаблюдение  * электронные архивы  * мониторинг IT инфраструктурыСейчас мы ищем разработчика C++/Qt для работы над новым продуктом в областивидеонаблюдения и видеоаналитики. Проект совершенно новый, и мы бы хотелинайти человека, не боящегося проявлять фантазию и принимать нестандартныерешения.**Чем предстоит заниматься:**  * Работать над клиентской частью системы видеонаблюдения и видеоаналитики с использованием фреймворка Qt  * Принимать участие в разработке архитектурных решений  * При желании участвовать в написании серверных компонентов системы  * Участвовать в ведении документации**Наш стек технологий:**  * Разработка с использованием стандартов: C++11, C++14, C++17  * Qt 5/6  * Кроссплатформенная разработка под компиляторы: GCC 8.3, GCC 11, MS VS2019  * STL  * Взаимодействие с SQL БД (PostgreSQL)  * Система автоматизации сборки CMake  * Система контроля версий git (внутренний сервер GitLab), а также частично svn (архивные проекты)  * Баг-трекер Jira, ведение документации в Confluence  * CI/CD с помощью Jenkins и TeamCity, а также с применением Docker и Ansible  * Мы всегда открыты для новых идей и конструктивных предложений по расширению своего арсенала технологий**Что бы мы хотели видеть в кандидате:**  * опыт коммерческой разработки на C++ от 3 лет  * опыт работы с Qt (QML или Widgets) от 1 года  * опыт разработки кроссплатформенных приложений (Windows/Linux)  * опыт работы с СУБД PostgreSQL (SQL, PL/pgSQL)**Большим плюсом будет:**  * опыт работы с OpenCV  * опыт работы с FFmpeg  * знание протоколов видеостриминга (RTSP, HLS) и стандартов кодирования видео (H.264)  * опыт работы с boost  * знание Python 3**Дополнительные условия:**  * трудоустройство в соответствии с законодательством РФ  * конкурентоспособная официальная заработная плата (обсуждается после собеседования, зависит от уровня сложности задач, которые может решать сотрудник)  * **возможна удаленная работа с полной занятостью. Частичная занятость на этой позиции не предусмотрена**  * офис – центр (пешая доступность от ст. метро Киевская)",,2022-01-27T12:53:23.452+03:00,ИТЕРАНЕТ,REMOTE,False
8,"Linux, C++, С++ boost, Алгоритмы и структуры данных, Параллельное программирование, Многопоточность, Оптимизация кода, Сокеты, Restful api, Python, SQL, Golang",Middle/Senior C++ Developer,42397159,"_Scalable Solutions – международная технологическая компания, которая создаетглобальные финтех решения в сфере управления цифровыми активами c 2012 года.Сегодня продукты Scalable используют миллионы пользователей из более чем 200стран; нам доверяют такие институциональные клиенты как биржи, брокеры, банки.Офисы и представительства компании расположены в России, Швейцарии, США,Великобритании и на Кипре._**_Мы ищем программиста С++ для поддержания и развития торговой платформы._****Обязательные требования:**  1. Хорошая алгоритмическая подготовка;  2. Интерес к области, готовность быстро разбираться с новыми сущностями.**Будет плюсом:**  1. Опыт оптимизаций (вычислений, работы с сетью) – ищем тех, кто любит считать микросекунды;  2. Опыт работы с численными методами – на уровне понимания физического смысла и способности адаптировать их под нестандартные ситуации.**Примеры задач, которые мы решаем:**  1. Собственная реализация FIX5 сервера, лучшая из всего, что можно добыть на рынке – пример несложной задачи;  2. Движки оценки рисков нестандартных деривативов – пример сложной задачи.**Кому обычно с нами интересно?**  1. Амбициозным выпускникам технических вузов;  2. Людям из хардкор геймдева/обработки видео;  3. Любителям математики;  4. Любителям поразбираться, как прибивать потоки к ядрам с учетом NUMA-нод.**Мы предлагаем:**  1. Remote-first (но при желании можно работать из офиса);  2. Гибкий график;  3. Внимание ко всем вашим пожеланиям.","{'from': 250000, 'gross': False, 'currency': 'RUR'}",2021-02-15T18:00:29.096+03:00,Scalable Solutions,FLEXIBLE,False
9,"Linux, C++, С++ boost, Алгоритмы и структуры данных, Параллельное программирование, Многопоточность, Оптимизация кода, Сокеты, Restful api, Python, SQL, Golang",Middle/Senior C++ Developer,51050669,"_Scalable Solutions – международная технологическая компания, которая создаетглобальные финтех решения в сфере управления цифровыми активами c 2012 года.Сегодня продукты Scalable используют миллионы пользователей из более чем 200стран; нам доверяют такие институциональные клиенты как биржи, брокеры, банки.Офисы и представительства компании расположены в России, Швейцарии, США,Великобритании и на Кипре._**_Мы ищем программиста С++ для поддержания и развития торговой платформы._****Обязательные требования:**  1. Хорошая алгоритмическая подготовка;  2. Интерес к области, готовность быстро разбираться с новыми сущностями.**Будет плюсом:**  1. Опыт оптимизаций (вычислений, работы с сетью) – ищем тех, кто любит считать микросекунды;  2. Опыт работы с численными методами – на уровне понимания физического смысла и способности адаптировать их под нестандартные ситуации.**Примеры задач, которые мы решаем:**  1. Собственная реализация FIX5 сервера, лучшая из всего, что можно добыть на рынке – пример несложной задачи;  2. Движки оценки рисков нестандартных деривативов – пример сложной задачи.**Кому обычно с нами интересно?**  1. Амбициозным выпускникам технических вузов;  2. Людям из хардкор геймдева/обработки видео;  3. Любителям математики;  4. Любителям поразбираться, как прибивать потоки к ядрам с учетом NUMA-нод.**Мы предлагаем:**  1. Remote-first (но при желании можно работать из офиса);  2. Гибкий график;  3. Внимание ко всем вашим пожеланиям.","{'from': 250000, 'gross': False, 'currency': 'RUR'}",2022-01-13T16:01:45.884+03:00,Scalable Solutions,FLEXIBLE,False
