,key_skills,name,id,description,salary,creation_time,employer,schedule,accept_temporary
0,"Английский — A2 — Элементарный, PHP",Junior PHP распрацоўшчык,52180433,"Шукаем Junior PHP распрацоўшчыка ў сваю каманду, які мае жаданне развівацца ўIT.Стэк, з якім Вы будзеце працацаваць: WordPress, Laravel, Symfony (і іншыятэхналогіі). Таксама ў будучыні будзе магчымасць пераходу на іншыя мовыпраграмавання (Golang, JS, Python).**Што мы прапануем:**  * Цікавыя праекты  * Развіццё, досвед працы з сучасным стэкам тэхналогій  * Сяброўскі калектыў  * Магчымасць дыстанцыйнай працы  * Камфортны офіс, уся неабходная тэхніка  * Свабодны графік (абмяркоўваецца індывідуальна)  * Зручна дабірацца: 150 метраў ад метро Кунцаўшчына  * Афіцыйнае афармленне  * Перагляд ЗП у залежнасці ад вынікаў працы  * Карпаратыўныя бясплатныя курсы англійскай мовы  * Пячэнькі, яблыкі, гарбата, кава  * Міні-кухня  * Побач з офісам шмат кавярняў, бістро.  * Настолкі па вечарах**Што патрабуецца ад Вас?**  * Пісаць добры код :)  * Развівацца, вучыцца, асвойваць новыя тэхналогіі  * Валодаць англійскай мовай на ўзроўні мінімум A2**Пра нашу кампанію:**ESTELOGY - гэта каманда дэвелапераў, якая займаецца IT аўтсорсам на рынкіЭўропы, ЗША. Асноўная спецыялізацыя: web-распрацоўка.",,2022-02-07T17:43:34.792+03:00,Эстелоджи,FLEXIBLE,False
1,"Go, GoLang, NoSQL, Базы данных, Java, C++",Младший Golang разработчик,48726183,"В нашей расширяющейся команде открыта вакансия младшего golang-разработчикадля развития и сопровождения ПО в области защищенности и аудита ИБ.**Обязанности:**  * разработка нового функционала;  * участие в разработке REST API и WebSocket API.**Требования:**  * знание одного или нескольких языков (Go, Java, C/C++);  * знание алгоритмов и структур данных.**Будет плюсом:**  * понимание многопоточности;  * опыт работы с NoSQL базами данных;  * Linux - свободное использование в разработке, владение командной строкой;  * понимание принципов работы компьютерных сетей, принципов обеспечения сетевой безопасности;  * опыт руководства в разработке ПО;  * широкий кругозор в ИТ и ИБ.**Условия:**  * полный рабочий день в офисе;  * гибкое планирование своего рабочего дня;  * заработная плата по результатам собеседования;  * оформление по ТК;  * офис в 12 минутах ходьбы от м. Электрозаводская или Преображенская площадь;  * оплата мобильной связи;  * повышение квалификации в учебном центре компании;  * молодой, активный и профессиональный коллектив.","{'from': 50000, 'to': 70000, 'gross': False, 'currency': 'RUR'}",2021-10-11T18:29:26.280+03:00,Эшелон Технологии,FLEXIBLE,False
2,"MS SQL, C#, .NET Framework, ASP.NET, Работа в команде, Golang, .NET Core",Junior Backend Developer,50866957,"**Кто мы:** _Smartway_ **** \- первый разработчик IT решений для управлениякомандировками в России. Сейчас у нас более 4 500 клиентов среди среднего икрупного российского бизнеса, планируем в течение трех лет удвоить этотпоказатель.Входим в топ-3 крупнейших бизнес-travel компаний в России. Являемсярезидентами технопарка ""Сколково"". В январе 2018 года стратегическимакционером компании стал холдинг “1С”, что позволило нам ускорить развитиесервиса.Наши клиенты - это компании лидеры в своих сферах, например: Додо Пицца,Тинькофф, Деловые Линии, HeadHunter, М.Видео.Нас уже более 200 человек в команде на два офиса в Пензе и в Москве.**Почему мы?**  * Мы активно инвестируем в разработку и компетенции своих сотрудников.  * Работаем в небольших кросс-функциональных командах, поэтому все сотрудники в равной степени участвуют во всех процессах.  * У нас нет лишней бюрократии, т.к. наша цель максимально быстро решать бизнес-задачи, а не готовить отчет о проделанной работе.  * Строим распределенные процессы, чтобы в дождливые дни можно было поработать из дома.**Наш стек:**.Net / .Net Core, Golang, Docker, SQL, PostgreSQL, MongoDB,RabbitMQ, Elastic, Python.**Вы нам подходите, если:**  * есть опыт и желание писать на .NET (C#), Golang;  * умеете работать с git;  * есть понимание принципов SOLID;  * есть опыт работы с СУБД;  * ответственно подходите к работе;  * дисциплинированы и самостоятельны;  * умеете работать в команде и слушать других людей;  * желаете развиваться и не боитесь делать то, с чем раньше не сталкивались;  * открыты к получению новых знаний.**Что мы предлагаем:**  * Полноценное использование ваших способностей на интересных и сложных задачах;  * Комфортный и современный офис;  * Оформление в соответствии с ТК РФ;  * Достойный уровень заработной платы;  * Возможности карьерного и профессионального роста;  * Скидки на покупку авиа, ж/д билетов и бронирование гостиниц для личных путешествий;  * Приятные мелочи, которые скрашивают рабочие будни.",,2022-01-10T13:16:12.831+03:00,Смартвэй,FULL_DAY,False
3,"Английский — B1 — Средний, Git, Linux, Java, C/C++, C#, Docker",Junior Backend Developer,51430971,"**Мы группа разработчиков-энтузиастов SmartForce, наша основная специализация– тюнинг продуктов Atlassian (Jira, Bitbucket, Confluence). Наши программныерешения позволяют расширить базовый функционал и сделать разработку удобнее.****Что нужно делать:**  * разрабатывать и внедрять новый функционал в популярном продукте;  * обеспечивать синхронизацию внешних репозиториев пользователей;  * работать с Atlassian API и GitHub API;  * улучшать существующие приложения;  * участвовать в разработке архитектуры новых приложений.**Наш стек: Java / Atlassian SDK / Golang / Node.js / Docker / Git (Github,Bitbucket) / Github Actions / AWS (EC2, S3).****Что мы хотим увидеть:**  * опыт работы с любым бэкенд языком (Java, C ++ / C, Go и др.);  * умение работать в и с Linux;  * понимание принципов ООП;  * инженерное мышление;  * английский на уровне чтения тех. документации и переписки с носителями языка.**Мы предлагаем** \- трудоустройство по ТК (полностью белая заработная плата),оплату зависящую от скиллов, гибкий график, позитивную команду, офис в центрегорода, гибкий подход.**Если тебя привлекает возможность сделать вклад в продукт и прокачать свойпрофессиональный опыт, мы с радостью примем в команду, поделимся своейэкспертизой и откроем новые возможности.**_**Уважаемые соискатели, обратите внимание!**__**Наша вакансия предполагает работу из офиса в Омске. Мы готовы принять наработу выпускника или студента технического вуза в том числе. Для успешноготрудоустройства необходимо выполнить тестовое задание и успешно пройтитехническое собеседование.**_",,2022-01-20T16:44:20.472+03:00,Смартфорс,FULL_DAY,False
4,"Английский — B2 — Средне-продвинутый, Linux, Английский язык, Асинхронное программирование, Go, Golang, PaaS",Разработчик Golang (Junior) в платформу,52105394,"Мы - платформенная команда российского подразделения AliExpress и сейчас нашаосновная задача - перенять опыт китайских коллег и создать собственнуюинфраструктуру, способную выдерживать нагрузки (инфраструктурные требования) иупрощать жизнь продуктовым разработчикам (требования business dev). Чтобы этосделать, нам нужна команда, способная к критическому мышлению, понимающаябаланс между перфекционизмом и рабочими решениями, воодушевленная технологиямии разработкой.**Что нужно делать:**  * участвовать в разработке платформенных решений (PaaS) для AliExpress  * реализовывать новые компоненты для ускорения разработки на Golang; наша цель - доведение продуктовых сервисов до уровня сборки из готовых компонентов (в идеале без рук человека)  * активно интересоваться best practices  * тесно взаимодействовать с разработчиками продуктовых команд  * придумывать новые архитектурные решения вместе с командой  * разрабатывать новые пакеты, поддерживать существующие  * разрабатывать новые инфраструктурные решения**Если вы:**  * разрабатываете продакшен-сервисы от года на Golang;  * можете самостоятельно выбирать и обосновывать выбор готовых компонентов и библиотек, необходимых под конкретную задачу;  * любите платформенную разработку (меньше бизнес-логики, больше погружения в технологии);  * понимаете как тестировать код;  * можете аргументированно защищать свои идеи и архитектурные решения;  * любите быть ""на острие"" технологий;  * знаете английский на уровне чтения документации;  * можете разбираться в чужом коде и это не вызывает страданий;**Будет плюсом, если вы:**  * работали в платформенной или инфраструктурной команде, а так же имели опыт разработки высоконагруженных сервисов (те знаете ""боли"" продуктовой разработки);  * знаете консоль и готовы иногда писать небольшие скрипты под Linux  * имеете опыт асинхронного программирования     **Мы предлагаем:**  * Работу в одной из крупнейших в России компаний в сфере e-commerce.  * Комфортабельный офис в Москва-Сити (сейчас удаленный формат).  * Конкурентоспособную заработную плату.  * MacBook Pro 16"" или 13"" на M1 на ваш выбор.  * ДМС и страхование от несчастных случаев (со 100% страхованием детей).",,2022-02-04T12:11:40.304+03:00,AliExpress Россия,FULL_DAY,False
5,"Golang, go",Junior Golang devoloper,52100298,"Мы - бесстрашное **кадровое агентство SayHire**. Мы ищем талантливых ИТ-специалистов для заказчиков со всего мира. Сейчас мы ищем Junior Golangdevoloper’а для работы над проектом в компании-резиденте г.Иннополис.Стартап - маркетплэйс для продажи металлопроката.**Стэк:**\- Platform: Docker, Concourse CI, Kubernetes, Helm.\- Backend: Golang, MongoDB, Kafka, ELK.\- Frontend: TS, JS (ES6), React, Redux, Webpack, SCSS, NextJS, SSR.**Обязанности:**• Участие в проектировании архитектуры системы, выборе инструментов идекомпозиции задач.• Оптимизация производительности сервисов и системы в целом.• Интеграции с внешними сервисами и платежными системами.**Требования**• Опыт коммерческой разработки около 1 года (Golang, Python, Ruby или PHP).• Уверенные знания ООП, опыт многопоточного программирования.• Опыт разработки асинхронных приложений, работы с отложенными вычислениями исерверами очередей (NATS, RabbitMQ, Kafka, etc).• Опыт работы с RPC (JsonRPC, gRPC, etc).• Опыт работы с PostgreSQL, MongoDB, Redis, Memcached.• Понимание Web Sockets, RESTful APIs.• Понимание и опыт применения TDD, BDD.• Уверенный пользователь в *nix, опыт работы с Git, Docker.**Условия работы**  * Официальное оформление по ТК РФ с первого дня  * Испытательный срок три месяца.  * Бонусы: оплата аренды жилья, двухразовое питание в офисе, дмс, фитнес,  * Работа в офисе в г. Иннополис (удаленка не рассматривается)","{'from': 90000, 'to': 130000, 'gross': False, 'currency': 'RUR'}",2022-02-04T10:37:02.502+03:00,SayHire.agency,FULL_DAY,False
6,"Golang, go",Junior Golang devoloper,52100299,"Мы - бесстрашное **кадровое агентство SayHire**. Мы ищем талантливых ИТ-специалистов для заказчиков со всего мира. Сейчас мы ищем Junior Golangdevoloper’а для работы над проектом в компании-резиденте г.Иннополис.Стартап - маркетплэйс для продажи металлопроката.**Стэк:**\- Platform: Docker, Concourse CI, Kubernetes, Helm.\- Backend: Golang, MongoDB, Kafka, ELK.\- Frontend: TS, JS (ES6), React, Redux, Webpack, SCSS, NextJS, SSR.**Обязанности:**• Участие в проектировании архитектуры системы, выборе инструментов идекомпозиции задач.• Оптимизация производительности сервисов и системы в целом.• Интеграции с внешними сервисами и платежными системами.**Требования**• Опыт коммерческой разработки около 1 года (Golang, Python, Ruby или PHP).• Уверенные знания ООП, опыт многопоточного программирования.• Опыт разработки асинхронных приложений, работы с отложенными вычислениями исерверами очередей (NATS, RabbitMQ, Kafka, etc).• Опыт работы с RPC (JsonRPC, gRPC, etc).• Опыт работы с PostgreSQL, MongoDB, Redis, Memcached.• Понимание Web Sockets, RESTful APIs.• Понимание и опыт применения TDD, BDD.• Уверенный пользователь в *nix, опыт работы с Git, Docker.**Условия работы**  * Официальное оформление по ТК РФ с первого дня  * Испытательный срок три месяца.  * Бонусы: оплата аренды жилья, двухразовое питание в офисе, дмс, фитнес,  * Работа в офисе в г. Иннополис (удаленка не рассматривается)","{'from': 90000, 'to': 130000, 'gross': False, 'currency': 'RUR'}",2022-02-04T10:37:02.502+03:00,SayHire.agency,FULL_DAY,False
7,"PHP, PHP5, Golang, MySQL, HTML, CSS, ООП, JavaScript, TypeScript, Node.js",Junior Backend-разработчик,50144902,"**НЕОСОФТ** – это российская ИТ-компания, специализирующаяся на разработке всфере E-Commerce.**Мы являемся** основным исполнителем работ по разработке новой платформы дляуже существующего маркетплейса федерального масштаба и нам нужно большесветлых голов и горящих сердец.Компания открыта для целеустремленных людей, которые стремятся к новымзнаниям, постоянному развитию и не избегают сложных задач!У нас **работает команда профессионалов** по направлениям: разработки,аналитики, тестирования, внедрения и техподдержки.**Мы готовы рассмотреть кандидатов со знаниями других технологий:****C#, C++, Java, Python,**  а так же fronend разработчиков желающий освоить backend**Что для нас важно:**  * Node.js  * JavaScript  * TypeScript  * SQL (MySQL/Postgresql)  * Git**Чем придется заниматься:**  * Асинхронный, синхронный JS/TS (или желание его освоить)  * SQL (или желание его освоить)  * Серверный JS/TS (NodeJS/Express)  * Разработка ведется на typescript (потому обязательно готовность его освоить)**Условия труда:**  * Работа в просторном комфортном офисе в центре города (5 минут от ст.метро Алабинская)  * Современное оборудованное рабочее место  * Работа в коллективе профессионалов, дружественная атмосфера, без бюрократии  * Интересные задачи и проект  * Корпоративная библиотека  * Оформление по ТК РФ  * Возможность выбрать график работы**Почему стоит работать у нас?**  * Прокачаешь свои скилы в разработке веб-сервисов на Node.js  * Возможность обоснованно влиять на стратегические планы и используемые технологии (работа с владельцами напрямую)  * У нас действительно много сложных, интересных и масштабных задач**Заинтересовало? Откликнись на вакансию!**","{'from': 30000, 'to': 60000, 'gross': False, 'currency': 'RUR'}",2021-12-02T14:52:43.994+03:00,НЕОСОФТ,FLEXIBLE,False
8,"Docker, Git, Golang, Go, Backend",Junior Go разработчик (Core Team),50220128,"amoCRM - стабильная и динамично развивающаяся IT-компания, более 10-ти лет намеждународном рынке, один из лидеров в области разработки системы учётаклиентов. Мы разрабатываем облачную CRM-систему для автоматизации работыотделов продаж и помогаем нашим клиентам вести их бизнес.Мы разрабатываем большую систему, состоящую из множества сервисов, которыенаходятся под большой нагрузкой (десятки тысяч запросов в секунду). Многие изнаших сервисов написаны на Go.Мы ищем в московский офис в продуктовую команду **начинающих go-разработчиков** , которые хотят раскрыть свой потенциал и быстро развить своискиллы.Мы открыты к сотрудничеству с разработчиками разного уровня. Вы можете ещёучиться в ВУЗ-е - мы готовы рассмотреть кандидатов с гибким графиком (но неменее 30-ти рабочих часов в неделю). Даже если у вас нет коммерческого опыта,но есть свои проекты, вы хотите развиваться и получать новые компетенции - мыобязательно рассмотрим ваше резюме!**Что вас ждёт?**  * Проектирование и разработка нового функционала, исправление ошибок в существующем;  * Возможность познакомиться и разобраться с большим, высоконагруженным проектом и его архитектурой;  * **Возможность гибкого графика** , чтобы совмещать работу с учебой (от 30-ти часов в неделю);  * Работа в команде профессионалов;  * Адекватное финансовое вознаграждение;  * Быстрый рост в компании по мере роста компетенций.**Требования к кандидату:**  * Минимальный опыт разработки на Golang, при этом опыт может быть не коммерческим, но должны быть логически завершенные проекты, которые покажут, что вы увлеченно, пусть даже дома для себя, развиваетесь и пишите приложения на Golang  * Базовые знания реляционных баз данных  * Стремление учиться и развиваться**Будет преимуществом, если вы:**  * Знаете основы Git  * Работали с протоколами gRPC, Rest, TCP, Websocket, HTTP  * Умеете профилировать запросы (Opentracing, jaeger)  * Работали с Docker/Kubernetes  * Участвовали в разработке высоконагруженных сервисов на языке Golang  * Умеете структурно мыслить, а также умеете разбивать проект на подзадачи**Условия работы:**  * **Работа в офисе** в центре Москвы в шаговой доступности от м. Таганская;  * График 5/2, начало рабочего дня в промежуток с 10 до 11 утра;  * **Возможность гибкого графика** , чтобы совмещать работу с учебой (но не менее 30-ти часов в неделю);  * Работа над интересным международным проектом в технически сильной команде;  * Возможность карьерного и профессионального роста;  * Без бюрократии, без дресс-кода;  * Бесплатные печенье, чай, кофе;  * 50% компенсация питания в офисе.","{'from': 50000, 'gross': False, 'currency': 'RUR'}",2021-12-06T11:32:55.857+03:00,amoCRM,FULL_DAY,False
9,Golang,Junior Golang Developer,48563112,"Финтех-компания **FBS** – разработчик программного обеспечения дляинвестирования. С 2009 года наши продукты помогают людям со всего мира освоитьсферу онлайн-торговли.  Мы работаем по полному циклу: разрабатываем, поддерживаем и продвигаем в 150странах наши приложения и сайты, используя высокотехнологичные IT-решения ипрогрессивные маркетинговые стратегии.  Сегодня наша команда — это 500+ человек в 19 странах мира. Мультиязычнаяподдержка FBS работает в режиме 24/7 с 17 миллионами клиентов. Основныерегионы присутствия FBS: Азия, Южная Америка, Африка, Европа, Океания.Сейчас мы планируем увеличить свою команду Go разработчиков в 3 раза, поэтомуготовы обучать новых специалистов.**Что предстоит делать:**  * Разрабатывать Backend для приложений в виде API;  * Продумывать и реализовывать функционал для обмена данными в режиме реального времени;  * Обрабатывать данные и события по миллионам клиентов;  * Осуществлять обработку и хранение большого объёма real-time данных;  * Разрабатывать программные и архитектурные решения для увеличения выдерживаемой нагрузки.**Техническая сторона:**  * Golang (у нас микросервисы)  * PostgreSQL;  * RabbitMQ;  * Redis;  * ClickHouse.**Для нас важно, чтобы наш коллега:**  * Имел опыт программирования на Golang или желание развиваться в нем;  * Умел работать с большим объёмом информации и быстро погружаться во всё новое;  * Как плюс знал SQL, идеологию git и умел применять ее на практике.**Мы готовы предложить:****Стабильность**. Белая зарплата, которая зависит только от тебя. Продвинутаясистема бенефитов.     **Комфорт.** Гибридный график - можно совмещать работу в офисе с удаленкой.Гибкое начало рабочего дня. Приятная атмосфера в мультикультурном офисе инасыщенная корпоративная жизнь.     **Развитие.** Внутреннее обучение, участие в семинарах, конференциях,корпоративная библиотека, языковые курсы в офисе.     **Офис**. 3 мин. пешком от м. Чкаловская, зоны отдыха, самокаты, массажноекресло, настолки, PS4, кикер. На кухнях всегда есть не только сладости ипицца, но и свежие фрукты и овощи.     **Релокация.** Если ты переезжаешь из другого города, мы компенсируемстоимость билета до Санкт-Петербурга и первый месяц аренды жилья, а такжепоможем иностранцам с оформлением документов.**Welcome** ******to** ******FBS** **!**","{'to': 130000, 'gross': False, 'currency': 'RUR'}",2021-10-06T11:32:34.725+03:00,FBS,FULL_DAY,False
