,key_skills,name,id,description,salary,creation_time,employer,schedule,accept_temporary
0,"Golang, gRPC, Linux, Go, Redis",Middle / Senior Golang разработчик,50329861,"Команда **КИБЕР-РОМ** — это ИТ-проект, который делает крутые highload решенияв сфере медиа-индустрии.Мы создаем высоконагруженные медиа платформы (решения по хранению, размещению,обработке и проигрыванию видеоконтента (пользовательский, коммерческий,стриминговый контент), стриминговые сервисы, мобильные приложения, решения дляSmartTV, игровые проекты, системы рекомендаций и модерации контента. Нашипроекты доступны на всех популярных платформах (Web, iOS, Android, SmartTV)У нас есть: масштабные задачи с высоконагруженными сервисами, конкурентнаязарплата, отсутствует legacy, современные технологии и языки программирования.Вам обеспечено развитие в команде профессионалов, которые горят своимипроектами и вы можете влиять на продукт и бизнес-процессы!**В нашу команду мы ищем** **Golang** ******разработчиков** **уровняmiddle/senior и выше для разработки и развития цифровой платформы дляхранения, размещения, обработки и проигрывания видеоконтента(пользовательский, коммерческий, стриминговый контент), платформа состоит изсистем хранения, видео, обработки, отображения и модерирования контента исистемы обслуживания клиентов.****Долгосрочная программа проектов, основной язык Golang, высоконагруженныйсервис, до 1млн пользователей одномоментно, микросервисная архитектура.****Функции в команде:**  * Проектирование и разработка высоконагруженных микросервисов на Golang, которые станут продуктом в продукте.  * Участие в развитии архитектуры системы.  * Технический анализ и тестирование.**С чем предстоит работать:**  * Чистый бекенд, без инфраструктуры и фронтенда;  * Участвовать в создании новой функциональности сервисов - у нас полный беклог фич;  * Работать с потоковыми данными, распределенной архитектурой, системой доставки контента, ML  * Микросервисной архитектурой (Golang, gRPC, Protobuf, JSON-RPC);  * Хранением и обработкой больших объёмов данных (Cassandra, Tarantool, ClickHouse);  * Системой мониторинга (Prometheus, Grafana);  * Очередями обмена и кешами (Tarantool);  * Написанием систем для развёртывания и тестирования.**От вас ждём:**  * Опыт разработки на Go не менее 2 лет;  * Опыт разработки микросервисных приложений на Go;  * Понимание сетевых протоколов;  * Знания REST API, gRPC, WebSocket, HTTP, JSON-RPC;  * Глубокое понимание концепций языка (concurrency, интерфейсы);  * Уверенные познания в Linux и Docker;  * Уверенные познания в СУБД (Cassandra, Postgres);  * Понимание принципов CI/CD;  * Наличие опыта работы с Kafka / RabbitMQ, Redis / Memcached / Tarantool;  * Разработка unit-тестов.****У нас:****  * Прекрасный лофт на территории Трехгорной мануфактуры, недалеко от метро 1905 года, 10 минут пешком от метро;  * Заработная плата полностью белая. Уровень готовы обсудить индивидуально финальную сумму в зависимости от уровня;  * Оформление по ТК РФ;  * График работы 5\2 с 10-19 или с 11-20 в офисе; (возможен гибридный график работы или удаленка);  * ДМС после испытательного срока;  * Комфортная кухня с вкусным кофе, чаем, какао, фруктами, снэками и т.д.","{'from': 250000, 'to': 450000, 'gross': False, 'currency': 'RUR'}",2021-12-09T12:21:26.564+03:00,КИБЕР-РОМ,REMOTE,False
1,"Английский — B2 — Средне-продвинутый, Русский — C2 — В совершенстве, Golang, Git, PostgreSQL, gRPC, SQL, Kafka, Clickhouse, Gitlab, Ansible, Jira, ELK, Prometheus, REST API, WebSocket, NoSQL",Golang Developer,51762805,"Наша команда уже несколько лет занимается созданием и развитием инструментовалгоритмического трейдинга. И мы растем! Хотим расширить наш дружный коллективновыми участниками: **Golang Developer ( Middle, Senior, Team Lead).** Хочешьрасти и развиваться в профессиональной сфере - тебе к нам! Очень тебя ждем!**Что нужно делать?**  * Поддерживать и развивать текущие сервисы для торговли;  * Строить и оптимизировать highload архитектуру;  * Интегрироваться с API различных крипто валютных бирж  * Генерировать новые идеи и предложения;  * Создавать новые продукты;**Мы ждем, что вы:**  * Имеете опыт работы на GO от 2х лет  * Работали с любой SQL базой данных, знаете что такое индексы и как их готовить, имели опыт оптимизации запросов  * Опытный unix-пользователь;  * Знаете и используете Git;  * Работали с многопоточным и асинхронным программированием;  * Разбираетесь в чужом коде;**Будет плюсом, если вы:**  * Работали с REST, GRPC, WebSocket  * Работали с NoSQL  * Участвовали в проектировании и разработке систем обработки данных;  * Работали над проектами с большим объемом обрабатываемых данных;**Наш Стек:**  * Golang  * Vue.js  * REST  * GRPC  * Kafka  * Postgresql  * Clickhouse  * Vault HP  * Prometheus  * ELK  * Gitlab  * Ansible  * Jira**Мы предлагаем:**  * Работа в дружной креативной команде нацеленной на развитие  * Стабильную заработную плату  * Постоянное обучение и повышение квалификации  * Интересные проекты, мероприятия и совместный досуг  * Самый вкусный кофе в городе и неограниченное количество вкусняшек  * Ежедневная развозка дом-работа-дом  * Возможность удаленного формата работыВас ждет интересная и дружная команда профессионалов, людей, которые ценятчеловеческие отношения, стремятся к постоянному развитию и достижению новыхпобед!","{'from': 600000, 'to': 2700000, 'gross': False, 'currency': 'KZT'}",2022-01-26T08:56:29.178+03:00,Darwin Tech Labs,FULL_DAY,False
2,"ООП, PostgreSQL, SQL, Английский язык, MongoDB",Golang Middle developer,52160078,"**Мы — команда молодых и амбициозных разработчиков — в поисках талантливых ицелеустремлённых коллег. Если вы тот, кому интересны сложные задачи, которыетребуют элегантных решений, тот кто готов учиться и совершенствоваться — мыждём вас!****Над чем предстоит работать:**  * Система агрегации и преобразования данных;  * Автоматизированные торговые решения;  * Сервисные API.**Что мы ожидаем:**  * Опыт разработки на GoLang с использованием std модулей от 2х лет;  * Разработка с использованием концепций конкурретного выполнения и механизмов синхронизации;  * Знание ООП и паттернов программирования и практика их применения;  * Опыт написания unit тестов и мокирования отдельных частей приложения;  * Опыт работы с сетевыми/файловыми потоками данных;  * Опыт разработки с использованием SQL и NoSQL баз данных, key-value хранилищ;  * Знание структур хранения данных и алгоритмов работы с ними;  * Обладание аналитическими навыками и профессиональным кругозором.**Технологии:**  * GoLang + gomod;  * PostgreSQL, MongoDB и др. БД;  * WebSocket, HTTP/2, gRPC;  * JSON, XML, ProtoBuf;  * Docker.**Мы предлагаем:**  * ЗП без задержек;  * официальное трудоустройство  * Частичная компенсация занятий английского языка с частным преподавателем;  * Неограниченный профессиональный рост и возможность работать в развивающейся международной компании;  * Ресурсы на реализацию идей;  * Работу по гибкому графику.","{'from': 2500, 'to': 3000, 'gross': False, 'currency': 'USD'}",2022-02-07T12:04:22.698+03:00,B2Broker Киев,FULL_DAY,False
3,"PostgreSQL, Docker, REST, Kafka, Docker-compose","Senior/middle Golang developer/teamlead in-house, remote",52147568,"Цифровая команда ""Технониколь"" разрабатывает более 46 цифровых проектов,многие из которых являются уникальными и планируются для коммерческогоиспользования. Каждый из участников команды может принять участие в разработкепроектов, максимально интересных для реализации. В разработке проекты умныхтехнологий управления инфраструктурой дома, коммерческая цифроваялогистическая платформа, внутренние приложения для комфортной работы вкомпании. Каждый из сотрудников Технониколь может стать инициатором цифровогопроекта, это создает перспективное поле для реализации и ваших идей.Мы готовы рассматривать и рекомендованных кандидатов, команда активнорасширяется и планируется подбор более 150 сотрудников.**Обязанности:**Разработка бэкенда цифровых продуктов, управление командой бэкендразработчиков в продуктовой разработке.**Требования:**1) Разработка:  a. GoLang более 2 лет  b. gRPC (Protobuf)  c. WebAPI (REST)  d. Docker|Docker-compose  e. Unit и интеграционные тесты2) Работа с БД:  a. MS T-SQL  b. PostgreSQL3) Асинхронная интеграция систем  a. Брокер сообщений Rabbit (владение Kafka тоже плюc)4) Общие навыки:  a. Проектирование приложений  b. Опыт работы с Redis  c. Знакомство с ElasticSearch  d. Понимание OAuth  e. Работа с облачными хранилищами объектов S3  f. Контроль версий – Git|Gitlab  g. Понимание и навыки CI|CD  h. Навыки работы в nix системах**Условия:**  Возможен in-house, remote, любой гибридный график  Полная занятость в проектах  Обязательное присутствие на ежедневных синкапах  Проектные премии, выездные конференции и мероприятия  Дополнительные условия и возможности обсуждаются","{'from': 400000, 'gross': False, 'currency': 'RUR'}",2022-02-07T09:05:40.724+03:00,ТехноНИКОЛЬ,FULL_DAY,False
4,"Git, PostgreSQL, Golang, Docker, Go",Middle Go / Golang разработчик,50939243,"Привет!Мы занимаемся разработкой сложных и интересных решений в сфереспециализированного медиа стриминга и искусственного интеллекта (разделComputer Vision). Наш отдел разработки состоит из талантливых программистов иинженеров, создающих уникальные продукты. Все решения проходят стадиипроектирования, разработки, тестирования и эксплуатационного сопровождения изофиса в Москве, что позволяет сотрудникам находиться в тесном взаимодействии.Мы ищем специалиста, готового с головой погрузиться в разработку проектов истать частью нашей команды. Если ты горишь идеей создавать что-то новое,видеть production-результат своей работы, которым пользуются люди, то тебе кнам - у нас есть все необходимые условия для роста и развития.**Что предстоит делать:**  * разрабатывать backend приложения и сервисы под высокую нагрузку  * интегрироваться с внешними и внутренними web-сервисами и приложениями  * активно участвовать во всём процессе разработки от проектирования до запуска и развития продуктов**Что для этого нужно:**  * знания Golang  * навыки работы с базами данных, например PostgreSQL  * знание REST-архитектуры, структуры HTTP-запросов  * знание Docker, Git  * базовые знания алгоритмов и структур данных  * умение работать в команде**Приветствуется:**  * опыт работы с ОС семейства Linux, знание Bash/Unix shell  * опыт работы с брокерами очередей (напр. RabbitMQ)**Условия:**  * Трудоустройство по ТК РФ, полностью белая з/п, размер которой зависит от ваших навыков  * Полная рабочая неделя (пн-пт) с удобным для вас временем начала и окончания рабочего дня  * Мы предоставляем достаточно свободы принятия решений и масштаба проектов для профессионального и личностного роста  * Мы оплачиваем курсы повышения квалификации своих сотрудников  * Регулярные неформальные one-to-one с руководством, тимбилдинги  * Уютная атмосфера, способствующая продуктивной работе (много кофе, фруктов, конфет и позитива)  * Офис в 5 метрах от метро Спортивная и 5 минутах от МЦК Лужники","{'from': 190000, 'gross': False, 'currency': 'RUR'}",2022-01-11T15:09:14.466+03:00,ФАЙВДЖЕН,FULL_DAY,False
5,"Golang, Средства криптографической защиты информации, Blockchain",Senior golang-developer / Middle GO разработчик (Remote),51414397,"**ООО «Системы распределенного реестра»** – первый блокчейн-оператор в России.Цель компании – создание российской инфраструктуры распределенных реестров дляфинансового сектора, внедрение инновационных сервисов и изучение потенциалаприменения блокчейна на российском рынке.В настоящее время ищем **Senior / Middle golang developer** на наши внутренниефинтех проекты**Хотим и ждём от кандидата:**  * опыт работы от года, наличие завершенного проекта в эксплуатации,  * навыки использования Go, cgo,  * опыт работы с блокчейн платформами (желательно Ethereum) или интерес к теме,  * опыт написания смартконтрактов (мы используем Solidity),  * желателен опыт работы с XML (XSD, libxml2),  * желателен опыт работы с криптографией (электронная подпись, шифрование)**Что нужно делать:**  * разработка приложений внутреннего пользования для финансового сектора,  * реализация сервисов корпоративной блокчейн-сети,  * поддержка и оптимизация существующего кода,  * написание систем для развёртывания и тестирования,  * участие в проектировании архитектуры приложений и сервисов сети,  * взаимодействие с командой разработчиков и product owner**Что готовы предложить:**  * полностью “белая” зарплата, оформление по ТК РФ с первого дня работы,  * опытная команда коллег, интересные проекты в сфере финтех,  * полная удалёнка,  * ДМС после прохождения испытательного срока,  * 31 день ежегодного оплачиваемого отпуска,  * премия за устроенных по вашей рекомендации сотрудников (до 50 000 рублей)**Ждём откликов!**","{'to': 400000, 'gross': True, 'currency': 'RUR'}",2022-01-20T13:13:29.701+03:00,Системы Распределенного Реестра,REMOTE,False
6,"Git, Go, ClickHouse, Linux, XML, Web",Middle GoLang developer,52182894,"OTM — высоконагруженный сервис (300+ млрд запросов рекламы в месяц),показывающий видео/баннерную/аудио рекламу крупнейших брендов на крупнейшихроссийских сайтах.С июня 2021 компания входит в группу компаний ""Вымпелком"" (Билайн)Мы ищем golang разработчика, который готов взяться за сложные, но интересныезадачи:  * Поддержка/разработка SSP и DSP с использованием ML  * Интеграция с продуктами ""Билайн""  * Построение аналитической системы (DMP)Само собой делать это все придется не самому — а в команде с еще тремя backendи тремя фронт-енд разработчиками и тестировщиком.Мы постоянно работаем над усовершенствованием процессов и технологий, поэтомупостоянно тестируем новые технологии, которые могут улучшить работу системы. Унас весьма сплоченная команда, мы против формального подхода к работе, поэтомуне поленитесь кратко но интересно представить себя — это будет большим плюсом.**Обязанности:**  * Поддержка SSP/DSP  * Командный сode-review  * Активное участие в выборе необходимых технологий  * Документирование созданного программного обеспечения**Требования:**  * Высшее или неоконченное высшее техническое образование  * Опыт коммерческой разработки на GO – от 3-х лет  * Опыт работы с высоконагруженными проектами  * Хорошее знание SQL/NoSQL  * Хорошее знание web-технологий  * Опыт работы с Git на уровне опытного пользователя**Крайне желательны:**  * Опыт работы с ClickHouse  * Технический английский  * Понимание сетевых протоколов  * Опыт работы с видео, рекламой или аналитическими системами**Условия:**  * Белая заработная плата от 250 тысяч до 300 тысяч рублей  * Большие и интересные проекты, работающие с ведущими сайтами Рунета  * Оформление по ТК РФ  * Отличный коллектив  * Уютный офис в центре Москвы, который не обязательно посещатьНиже только офисные бенефиты (для тех кто таки готов приезжать):  * Всегда в наличии свежемолотый кофе, разные чаи  * Велопарковка во дворе, наличие спортзала, душа  * Место на автопарковке около офиса","{'from': 250000, 'to': 300000, 'gross': False, 'currency': 'RUR'}",2022-02-07T19:13:12.068+03:00,Videonow,FULL_DAY,False
7,"Golang, Kafka, Git, RabbitMQ, MongoDB, NoSQL, MySQL, Go, Confluence",Middle Golang developer / Программист Golang,51107108,"**Lenvendo** на протяжении 15 лет занимается созданием, развитием и поддержкойкрупнейших в России e-commerce - проектов.В числе наших клиентов: Эльдорадо, Мвидео, МТС, Магнит, СберМегаМаркет идругие лидеры рынка.В связи с расширением мы ищем себе в команду **Golang-программиста** дляучастия в разработке крупнейшего e-commerce проекта.**Требования:**• Опыт коммерческой командной разработки на Golang от 3х лет;• Уверенные знания Golang, включая:  * опыт синхронизации горутин с использованием примитивов;  * понимание принципов работы с памятью (аллокация, освобождение, garbage collector);  * уверенное владение GORM/PGX;  * опыт работы с фреймворками (gin / go-kit);  * опыт написания unit-тестов;  * опыт профилирования и отладки (cpuprofile, pprof, memprofile);  * навыки работы с кодогенерацией;  * опыт использования protobuf и его кастомизации.• Отличные знания алгоритмов, алгоритмической сложности и структур данных;• Понимание принципов Domain Driving Design;• Опыт проектирования микросервисных архитектур (понимание основ построениямикросервисов, протоколов взаимодействия и тд);• Базы данных PostgreSQL / MySQL: понимание транзакций, блокировок, замерыскорости операций БД, индексирование;• Брокеры очередей: RabbitMQ, Kafka или Nats;• Система контроля версий (git), системы ведения задач (JIRA, Redmine) исистемы документирования (Confluence, Markdown).**Будет плюсом:**• Понимание процессов CI/CD с использованием Kubernetes/Helm, Ansible;• Опыт работы с NoSQL (Redis, MongoDB, ElasticSearch, Memcached);• Углубленные знания баз данных: шардирование, репликация, партиционирование,журналирование.**Обязанности:**  * Разработка новых и поддержка существующих микросервисов;  * Работа над “распилом” монолита в команде в сфере Highload e-commerce со сложной бизнес-логикой для компаний федерального уровня с использованием современного стека технологий и подходов.**Условия:**  * Работа в одной из ведущих компаний-разработчиков ИТ-решений в сегменте e-commerce;  * Официальное оформление с первого дня работы и все соц.гарантии по ТК РФ;  * Полностью «белый» доход и прозрачная система мотивации;  * График работы: 5/2 (9:00-18:00 или 10:00-19:00 на выбор);  * Уровень дохода обсуждается на собеседовании по итогам технического интервью;  * Масштабные highload-проекты, сложные и интересные задачи;  * Возможность работать в технологической компании, создающей сервисы и системы, полезные людям;  * Экспертная и талантливая команда профессионалов;  * Культура открытости и взаимопомощи - мы небезразличны к тому, над чем работаем;  * Перспективы для профессионального роста: возможность участвовать в различных конференциях, семинарах и образовательных программах;  * ДМС после прохождения испытательного срока: офисный врач, экстренная госпитализация, вызов врача на дом и т.д.;  * Современный и комфортный офис, оборудованный всем необходимым;  * Вкусный кофе, чай, снэки и свежие фрукты в неограниченном количестве;  * Бесплатные обеды;  * Офис в пешей доступности от метро «Старая Деревня»;* Для кандидатов из других регионов возможен удалённый формат работы.","{'from': 200000, 'gross': False, 'currency': 'RUR'}",2022-01-14T17:37:24.577+03:00,Lenvendo,FULL_DAY,False
8,"JavaScript, TypeScript, React.js, Разработка нового продукта, Blockchain, full stack, PHP, golang, Node.js, web3.js, go",Blockchain разработчик/Frontend-разработчик/Full stack разработчик (удаленно),50977645,"xDAO — конструктор для создания и управления децентрализованными автономнымиорганизациями (DAO). Платформа позволяет запустить собственную DAO всего занесколько кликов. Созданные на xDAO организации могут взаимодействовать совсеми DeFi-протоколами. Также возможно подключать к организациям своипродукты, честно и прозрачно распределяя прибыль между командой.    Наша задача делать самые удобные и понятные продукты для пользователей.Поэтому любой в команде может предложить свою идею и посоветовать, как можносделать лучше, ну и, конечно, помочь.  Наша команда расширяется, и нам требуются front-end разработчик (уровень отmiddle).  Участие в проектирование архитектуры системы, участие в совершенствованииархитектуры решения в перспективнейшем финтехе.  Наши преимущества:  * Интересный проект и нестандартные технические задачи  * Гибкий график для оптимального баланса работы и личной жизни  * Возможность влиять на развитие команды и продукта  * Возможность повышения квалификации участвуя в международных конференциях  * Разработка нового перспективного проекта.  * Работа в сильной дружной слаженной команде.Требования:  * Опыт работы в blockchain.  * Опыт работы с современными фронтэнд-фреймворками web3.js  * Внимательность к деталям, ответственность  * Уверенное знание JavaScript/TypeScript от 2-х лет  * Уверенное знание React от 2-х лет  * Или  * node.js / php / go от 2-х лет  Условия:  * Реальные перспективы финансового и карьерного роста  * на руки от 350к, итоговая заработная плата зависит от ваших компетенцийи определяется по результатам собеседования. Все зависит от того, как вы себяпроявите.  * Официальное трудоустройство","{'from': 350000, 'to': 550000, 'gross': False, 'currency': 'RUR'}",2022-01-12T11:25:15.173+03:00,ArtVolkov.ru,FULL_DAY,True
9,Golang,Golang Middle developer,50889327,"**Международная компания B2Broker (Business to Broker) — это финтехразработчик и провайдер ликвидности для брокерских компаний, банков иинвестиционных фондов. Мы не занимаемся брокерской деятельностью, а предлагаемготовые решения для других компаний по всему миру.  Занимая свою нишу на рынке с 2014 года, компания является лидером в своейсфере деятельности, в связи с чем постоянно растет и расширяется. Насегодняшний день офисы компании расположены в Москве, Санкт-Петербурге,Лимассоле, Гонконге, Минске, Лондоне, Дубае, Киеве.**     **Над чем предстоит работать:**  * Система агрегации и преобразования данных;  * Автоматизированные торговые решения;  * Сервисные API.**Что мы ожидаем:**  * Опыт разработки на GoLang с использованием std модулей от 2х лет;  * Разработка с использованием концепций конкурентного выполнения и механизмов синхронизации;  * Знание ООП и паттернов программирования и практика их применения;  * Опыт написания unit тестов и мокирования отдельных частей приложения;  * Опыт работы с сетевыми/файловыми потоками данных;  * Опыт разработки с использованием SQL и NoSQL баз данных, key-value хранилищ;  * Знание структур хранения данных и алгоритмов работы с ними;  * Обладание аналитическими навыками и профессиональным кругозором.**Технологии:**  * GoLang + gomod;  * PostgreSQL, MongoDB и др. БД;  * WebSocket, HTTP/2, gRPC;  * JSON, XML, ProtoBuf;  * Docker.**Мы предлагаем:**  * Надежность: официальное оформление по ТК, гарантированные бонусы  (13-ая ЗП для проработавших год+);  * Развитие: возможность практики английского языка с носителями, ресурсы на реализацию смелых идей, возможность участвовать в профильных конференциях, неограниченный профессиональный рост и работу в развивающейся международной компании;  * Активная корпоративная жизнь: новогодние бонусы сотрудникам, прошедшим испытательный срок, празднования дней рождений, корпоративы в лучших ресторанах города и др;  * Комфорт: гибкое начало рабочего дня, уютный офис рядом с м. Первомайская (г. Минск).","{'from': 2500, 'gross': False, 'currency': 'USD'}",2022-01-10T17:40:19.390+03:00,B2Broker Москва,FLEXIBLE,False
