,key_skills,name,id,description,salary,creation_time,employer,schedule,accept_temporary
0,"Русский — C2 — В совершенстве, Английский — B2 — Средне-продвинутый, Golang, Git, PostgreSQL, gRPC, SQL, Kafka, Clickhouse, Gitlab, Ansible, Jira, ELK, Prometheus, REST API, WebSocket, NoSQL",Golang Developer,51762805,"Наша команда уже несколько лет занимается созданием и развитием инструментовалгоритмического трейдинга. И мы растем! Хотим расширить наш дружный коллективновыми участниками: **Golang Developer ( Middle, Senior, Team Lead).** Хочешьрасти и развиваться в профессиональной сфере - тебе к нам! Очень тебя ждем!**Что нужно делать?**  * Поддерживать и развивать текущие сервисы для торговли;  * Строить и оптимизировать highload архитектуру;  * Интегрироваться с API различных крипто валютных бирж  * Генерировать новые идеи и предложения;  * Создавать новые продукты;**Мы ждем, что вы:**  * Имеете опыт работы на GO от 2х лет  * Работали с любой SQL базой данных, знаете что такое индексы и как их готовить, имели опыт оптимизации запросов  * Опытный unix-пользователь;  * Знаете и используете Git;  * Работали с многопоточным и асинхронным программированием;  * Разбираетесь в чужом коде;**Будет плюсом, если вы:**  * Работали с REST, GRPC, WebSocket  * Работали с NoSQL  * Участвовали в проектировании и разработке систем обработки данных;  * Работали над проектами с большим объемом обрабатываемых данных;**Наш Стек:**  * Golang  * Vue.js  * REST  * GRPC  * Kafka  * Postgresql  * Clickhouse  * Vault HP  * Prometheus  * ELK  * Gitlab  * Ansible  * Jira**Мы предлагаем:**  * Работа в дружной креативной команде нацеленной на развитие  * Стабильную заработную плату  * Постоянное обучение и повышение квалификации  * Интересные проекты, мероприятия и совместный досуг  * Самый вкусный кофе в городе и неограниченное количество вкусняшек  * Ежедневная развозка дом-работа-дом  * Возможность удаленного формата работыВас ждет интересная и дружная команда профессионалов, людей, которые ценятчеловеческие отношения, стремятся к постоянному развитию и достижению новыхпобед!","{'from': 600000, 'to': 2700000, 'gross': False, 'currency': 'KZT'}",2022-01-26T08:56:29.178+03:00,Darwin Tech Labs,FULL_DAY,False
1,"Golang, gRPC, Linux, Go, Redis",Middle / Senior Golang разработчик,50329861,"Команда **КИБЕР-РОМ** — это ИТ-проект, который делает крутые highload решенияв сфере медиа-индустрии.Мы создаем высоконагруженные медиа платформы (решения по хранению, размещению,обработке и проигрыванию видеоконтента (пользовательский, коммерческий,стриминговый контент), стриминговые сервисы, мобильные приложения, решения дляSmartTV, игровые проекты, системы рекомендаций и модерации контента. Нашипроекты доступны на всех популярных платформах (Web, iOS, Android, SmartTV)У нас есть: масштабные задачи с высоконагруженными сервисами, конкурентнаязарплата, отсутствует legacy, современные технологии и языки программирования.Вам обеспечено развитие в команде профессионалов, которые горят своимипроектами и вы можете влиять на продукт и бизнес-процессы!**В нашу команду мы ищем** **Golang** ******разработчиков** **уровняmiddle/senior и выше для разработки и развития цифровой платформы дляхранения, размещения, обработки и проигрывания видеоконтента(пользовательский, коммерческий, стриминговый контент), платформа состоит изсистем хранения, видео, обработки, отображения и модерирования контента исистемы обслуживания клиентов.****Долгосрочная программа проектов, основной язык Golang, высоконагруженныйсервис, до 1млн пользователей одномоментно, микросервисная архитектура.****Функции в команде:**  * Проектирование и разработка высоконагруженных микросервисов на Golang, которые станут продуктом в продукте.  * Участие в развитии архитектуры системы.  * Технический анализ и тестирование.**С чем предстоит работать:**  * Чистый бекенд, без инфраструктуры и фронтенда;  * Участвовать в создании новой функциональности сервисов - у нас полный беклог фич;  * Работать с потоковыми данными, распределенной архитектурой, системой доставки контента, ML  * Микросервисной архитектурой (Golang, gRPC, Protobuf, JSON-RPC);  * Хранением и обработкой больших объёмов данных (Cassandra, Tarantool, ClickHouse);  * Системой мониторинга (Prometheus, Grafana);  * Очередями обмена и кешами (Tarantool);  * Написанием систем для развёртывания и тестирования.**От вас ждём:**  * Опыт разработки на Go не менее 2 лет;  * Опыт разработки микросервисных приложений на Go;  * Понимание сетевых протоколов;  * Знания REST API, gRPC, WebSocket, HTTP, JSON-RPC;  * Глубокое понимание концепций языка (concurrency, интерфейсы);  * Уверенные познания в Linux и Docker;  * Уверенные познания в СУБД (Cassandra, Postgres);  * Понимание принципов CI/CD;  * Наличие опыта работы с Kafka / RabbitMQ, Redis / Memcached / Tarantool;  * Разработка unit-тестов.****У нас:****  * Прекрасный лофт на территории Трехгорной мануфактуры, недалеко от метро 1905 года, 10 минут пешком от метро;  * Заработная плата полностью белая. Уровень готовы обсудить индивидуально финальную сумму в зависимости от уровня;  * Оформление по ТК РФ;  * График работы 5\2 с 10-19 или с 11-20 в офисе; (возможен гибридный график работы или удаленка);  * ДМС после испытательного срока;  * Комфортная кухня с вкусным кофе, чаем, какао, фруктами, снэками и т.д.","{'from': 250000, 'to': 450000, 'gross': False, 'currency': 'RUR'}",2021-12-09T12:21:26.564+03:00,КИБЕР-РОМ,REMOTE,False
2,"Golang, PostgreSQL, Docker",Golang Developer,51897437,"  Sphere Partners - oursource -компания из США. Мы работаем на рынке более 15лет. За это время успели реализовать более 300 проектов для разных компаний изСША и Европы.    Сегодня в нашей команде более 200 специалистов, которые в основном работаютудаленно. Также у компании есть офисы в Чикаго, Санкт-Петербурге, Киеве иХарькове.    Сейчас мы находимся в поисках Senior Golang-разработчика для работы надулучшением сервиса нашего клиента - известного такси сервиса из Израиля.     **Стек проекта** :  * **Back End -** Golang, Ruby/Rails  * **Front-End -** TypeScript, React;  * **Database -** PostgreSQL, Redis;  * **Cloud -** AWS;  * **Containers -** Kubernetes, Docker;  * **CI/CD -** Jenkins.  **Основные задачи:**  * Участие в полном жизненном цикле разработки;  * Помощь в проектировании микросервисной архитектуры;  * Разработка новых микросервисов на Golang;  * Поддержка и улучшение уже существующих сервисов.**Мы ожидаем** ::  * Опыт в сфере разработки ПО (4+ года);  * Опыт с Golang (2+ года)  * Опыт c Docker;  * Хорошее знание PostgreSQL;  * Разговорный английский (В2)Будет классно, если есть опыт работы с **Ruby, AWS** и **Kubernetes.    Мы готовы предложить:**  * Полностью удалённое сотрудничество;  * Гибкий график работы;  * Заработную плату в долларах;  * 20 рабочих дней отпуска в году;  * Компенсацию страховки и занятий спортом;  * Занятия английским с носителями.**Будем рады видеть вас в нашей команде :)**","{'to': 5500, 'gross': True, 'currency': 'USD'}",2022-01-28T14:29:22.527+03:00,Sphere Consulting,FULL_DAY,False
3,"Scrum, MongoDB, Оптимизация кода, Архитектура",Core Team Lead (Golang + MongoDB),51966165,"YABBI - российская компания в сфере Mobile AdTech и MarTech (мобильныерекламные сервисы и аналитические системы).Ежегодно мы разрабатываем и запускаем новые технологические продукты, иногда ицелые проекты для ведущих мировых рекламных агентств и их брендов. Нашаглавная цель - сделать наши технологии полезными, прозрачными и измеряемыми.Мы создаем рекламные решения совместно с технологическими командами VK,Yandex, Google, Эвотор и др., участвуем в отраслевых комитетах и коллективахформирующих отраслевые стандарты, обмениваемся идеями, опытом и становимсясильнее, а главное полезнее для клиентов._**Сейчас мы в поиске крутых экспертов в IT, которые позволят намусовершенствовать наш существующий подход к разработке, помогут по новому, ещеболее эффективно выстроить наши бизнес-процессы.**_  **Кого мы ищем:**  * Опыт построения микросервисной архитектуры. Знание инструментария для поиска и локализации ошибок в микросервисных архитектурах;  * Желание и умение организовывать взаимодействие между разработчиками, проведение кодревью для подчиненных разработчиков;  * Отличные знания Go, опыт использование инструментов профайлинга для устранения медленных участков программного кода;  * Уверенные знания принципов работы баз данных, понимание отличий механизмов репликации и шардирования;  * Понимание принципов работы сетевых протоколов и механизмов обслуживания сети в ядре Linux.**Чем предстоит заниматься:**  * Эффективно распределять нагрузку между разработчиками Core отдела;  * Принимать участие в повышении квалификации разработчиков Core отдела;  * Проведение ежедневного кодревью разработчиков;  * Реализовать процесс разделения основных продуктов компании на микросервисы;  * Выступать экспертом перед разработчиками Core отдела;  * Участвовать в процессе формирования архитектуры и ее реализации в новых продуктах компании;  * Консультирование разработчиков Core отдела по возникающим вопросам в ходе реализации различных задач.**Карьерные возможности**Внутри компании много распределенных команд и проектов - каждый новый продуктразрабатывается по принципу стартапа. Вы самостоятельно принимаете решениекакие проекты и задачи вам кажутся наиболее перспективными и получаетевозможность расти вместе с проектом как карьерно, так и финансово. У нас естьсистема наставничества, можно участвовать в международных конференциях,учиться внутри компании и снаружи.**Откуда можно работать**Мы имеем несколько удобных офисов в центре Москвы со свободными, комфортнымирабочими местами где можно эффективно провести рабочий день пообщавшись сколлегами. Для любителей теплого климата у нас есть большой офис в Краснодаре,который готов принять вас как для временной локации так и для постоянной. Еслирядом с вами нет офиса, то у нас есть программа релокации или мы можем взятьна себя оплату рабочего места в удобном для вас ковворкинге.**Условия работы**  * Гибкий график работы;  * Простой и понятный процесс получения экспертизы от штатных специалистов компании;  * Возможности для роста по мере реализации новых корпоративных продуктов.","{'from': 380000, 'to': 430000, 'gross': False, 'currency': 'RUR'}",2022-01-31T17:22:33.382+03:00,Ябби,FULL_DAY,False
4,"Scrum, MongoDB, Оптимизация кода, Архитектура",Core Team Lead (Golang + MongoDB),52036888,"YABBI - российская компания в сфере Mobile AdTech и MarTech (мобильныерекламные сервисы и аналитические системы).Ежегодно мы разрабатываем и запускаем новые технологические продукты, иногда ицелые проекты для ведущих мировых рекламных агентств и их брендов. Нашаглавная цель - сделать наши технологии полезными, прозрачными и измеряемыми.Мы создаем рекламные решения совместно с технологическими командами VK,Yandex, Google, Эвотор и др., участвуем в отраслевых комитетах и коллективахформирующих отраслевые стандарты, обмениваемся идеями, опытом и становимсясильнее, а главное полезнее для клиентов._**Сейчас мы в поиске крутых экспертов в IT, которые позволят намусовершенствовать наш существующий подход к разработке, помогут по новому, ещеболее эффективно выстроить наши бизнес-процессы.**_  **Кого мы ищем:**  * Опыт построения микросервисной архитектуры. Знание инструментария для поиска и локализации ошибок в микросервисных архитектурах;  * Желание и умение организовывать взаимодействие между разработчиками, проведение кодревью для подчиненных разработчиков;  * Отличные знания Go, опыт использование инструментов профайлинга для устранения медленных участков программного кода;  * Уверенные знания принципов работы баз данных, понимание отличий механизмов репликации и шардирования;  * Понимание принципов работы сетевых протоколов и механизмов обслуживания сети в ядре Linux.**Чем предстоит заниматься:**  * Эффективно распределять нагрузку между разработчиками Core отдела;  * Принимать участие в повышении квалификации разработчиков Core отдела;  * Проведение ежедневного кодревью разработчиков;  * Реализовать процесс разделения основных продуктов компании на микросервисы;  * Выступать экспертом перед разработчиками Core отдела;  * Участвовать в процессе формирования архитектуры и ее реализации в новых продуктах компании;  * Консультирование разработчиков Core отдела по возникающим вопросам в ходе реализации различных задач.**Карьерные возможности**Внутри компании много распределенных команд и проектов - каждый новый продуктразрабатывается по принципу стартапа. Вы самостоятельно принимаете решениекакие проекты и задачи вам кажутся наиболее перспективными и получаетевозможность расти вместе с проектом как карьерно, так и финансово. У нас естьсистема наставничества, можно участвовать в международных конференциях,учиться внутри компании и снаружи.**Откуда можно работать**Мы имеем несколько удобных офисов в центре Москвы со свободными, комфортнымирабочими местами где можно эффективно провести рабочий день пообщавшись сколлегами. Для любителей теплого климата у нас есть большой офис в Краснодаре,который готов принять вас как для временной локации так и для постоянной. Еслирядом с вами нет офиса, то у нас есть программа релокации или мы можем взятьна себя оплату рабочего места в удобном для вас коворкинге.**Условия работы**  * Гибкий график работы;  * Простой и понятный процесс получения экспертизы от штатных специалистов компании;  * Возможности для роста по мере реализации новых корпоративных продуктов.","{'from': 380000, 'to': 430000, 'gross': False, 'currency': 'RUR'}",2022-02-02T14:32:54.122+03:00,Ябби,FULL_DAY,False
5,"Golang, Средства криптографической защиты информации, Blockchain",Senior golang-developer / Middle GO разработчик (Remote),51414397,"**ООО «Системы распределенного реестра»** – первый блокчейн-оператор в России.Цель компании – создание российской инфраструктуры распределенных реестров дляфинансового сектора, внедрение инновационных сервисов и изучение потенциалаприменения блокчейна на российском рынке.В настоящее время ищем **Senior / Middle golang developer** на наши внутренниефинтех проекты**Хотим и ждём от кандидата:**  * опыт работы от года, наличие завершенного проекта в эксплуатации,  * навыки использования Go, cgo,  * опыт работы с блокчейн платформами (желательно Ethereum) или интерес к теме,  * опыт написания смартконтрактов (мы используем Solidity),  * желателен опыт работы с XML (XSD, libxml2),  * желателен опыт работы с криптографией (электронная подпись, шифрование)**Что нужно делать:**  * разработка приложений внутреннего пользования для финансового сектора,  * реализация сервисов корпоративной блокчейн-сети,  * поддержка и оптимизация существующего кода,  * написание систем для развёртывания и тестирования,  * участие в проектировании архитектуры приложений и сервисов сети,  * взаимодействие с командой разработчиков и product owner**Что готовы предложить:**  * полностью “белая” зарплата, оформление по ТК РФ с первого дня работы,  * опытная команда коллег, интересные проекты в сфере финтех,  * полная удалёнка,  * ДМС после прохождения испытательного срока,  * 31 день ежегодного оплачиваемого отпуска,  * премия за устроенных по вашей рекомендации сотрудников (до 50 000 рублей)**Ждём откликов!**","{'to': 400000, 'gross': True, 'currency': 'RUR'}",2022-01-20T13:13:29.701+03:00,Системы Распределенного Реестра,REMOTE,False
6,"Golang, SQL, Kubernetes, Go, Raft",Senior Go разработчик,50982848," **PointPay** – криптовалютная банковская экосистема, входящая в 5-ку лидеровсвоего направления. Мы заменяем традиционную банковскую модель, позволяяосуществлять недорогие и мгновенные переводы средств по всему миру сиспользованием нашей собственной оффчейн-технологии и токена PointPay (PXP).Мы быстро растем и нам нужны сильные разработчики, чтобы вместе создаватьреволюционный и самый технологичный продукт в мире. Pointpay.io**Обязанности Golang Разработчика:**● Создание высоконагруженных сервисов / микро-сервисов;● Разработка интеграции с внешними сервисами;● Разработка платформы для торговой системы;● Разработка надежной, безопасной и безотказной экосистемы;● Решение сложных и интересных задач;**Требования:**● Иметь опыт коммерческой разработки ПО на Go не менее 3-х лет, отличноезнание языка и экосистемы;● Понимание многопоточности, параллельных вычислений и широко используемыхструктур данных и алгоритмов;● Уверенно знаете стек TCP / IP ;● Знаете RFC стандарты HTTP / WebSockets;● Работаете с REST / GRPС (protobuf);● Знание лучших практик разработки микро-сервисных архитектур, Kubernetes /Docker и опыт продакшен релизов совместно с девопс инженерами;● Имеете опыт написания высоконагруженных систем;● Отличное знание SQL и одной из реляционных СУБД.● Сильные навыки решения проблем, желание работать в сильной команде;**Будет плюсом:**● Профильное высшее образование (математическое или техническое);● Имеете опыт разработки подобных решений (Ставки наспорт/Gambling/Poker/Trade/Exchange)● Опыт работы с алгоритмами консенсуса;● Знание Алгоритмов● Опыт работы с встраивыми базами данных;● Умение работать по гибким методологиям;**Soft skills:**● Решать поставленные задачи максимально эффективно в поставленный срок;● Являться командным разработчиком, слышать других и учитывать чужое мнение;● Понимать, что не надо делать overhead там, где это не надо;● Быть самостоятельным и уметь брать на себя ответственность за свои решения;● Считать тестирование неотъемлемой частью разработки;● Спокойно относиться к техническому долгу, так как это нормальный этап вразвитии проекта;Условия:● Возможность карьерного и профессионального роста в международной компании;● Работа по контракту с зарубежной компанией UK;● Разработка ведется по гибким методологиям;● Только удаленная работа;● Молодой профессиональный коллектив.● Трудоустройство по бессрочному контракту с UK, с соблюдением принятых нормРоссии.Ключевые навыки: GoLang, K8S, Docker, Алгоритмы, Raft","{'from': 300000, 'to': 600000, 'gross': True, 'currency': 'RUR'}",2022-01-12T12:24:23.088+03:00,PointPay,REMOTE,False
7,"MySQL, Redis, Git, Golang, Docker",Senior Golang Developer,48909573," **inDriver** — **** международный сервис пассажирских перевозок. Мы создаемглобальный высокотехнологичный продукт, который меняет жизнь миллионов людей клучшему. Входим в топ-3 мобильных сервисов для заказа поездок в мире — 100млн. установок, 1 млрд. поездок, 500+ городов в 37 странах мира.  На сегодняшний день inDriver совершает более 1 миллиона поездок ежедневно помиру. И это - только начало!Мы ищем удаленного **Senior Golang** разработчика в GMT+9 ... GMT+6.В команде разработки более 200 инженеров и мы продолжаем расширять команду.Используем Golang для разработки продуктов (монолит на PHP и Golang), базуданных MySQL, MongoDB, а кэш на Redis. Разработку ведем на Github, используемTeamCity и Github Actions.В инфраструктуре Docker, Kubernetes, Helm, Prometheus, Grafana и Kafka. Ещё мыиспользуем Feature Toggles, Blue-Green Deployment и другие подходы кразработке, чтобы ничего не сломалось в продакшене.**Вам предстоит:**  * разработка и поддержка backend сервисов на Go/PHP;  * активное участие в прототипировании новых решений;  * разработка и улучшение функциональности продукта;  * проведение код-ревью, написание юнит тестов.**Наши пожелания:**  * знания языка программирования бэкэнда Go;  * интерес к новым технологиям, средствам автоматизации процессов разработки;  * ответственность, стремление работать в команде и развиваться (мы будем регулярно отправлять на курсы).**Мы предлагаем:**  * стабильную заработную плату, соблюдение ТК РФ, ДМС со стоматологией;  * современные MacBook Pro и другое необходимое для работы оборудование;  * неограниченные возможности профессионального и карьерного роста, регулярное внешнее и внутреннее обучение от наших партнеров;  * частично или полностью оплачиваемые дополнительные обучающие курсы, в том числе занятия английским языком;  * удаленный формат работы;  * возможность стать частью международной команды профессионалов и просто хороших людей, которые все вместе создают одну из самых крутых историй успеха в мировой IT-индустрии.","{'from': 256000, 'gross': False, 'currency': 'RUR'}",2021-10-18T09:37:31.973+03:00,inDriver,FULL_DAY,False
8,"MySQL, Redis, Git, Golang, Docker",Senior Golang Developer,48909572,"**inDriver** — **** международный сервис пассажирских перевозок. Мы создаемглобальный высокотехнологичный продукт, который меняет жизнь миллионов людей клучшему. Входим в топ-3 мобильных сервисов для заказа поездок в мире — 100млн. установок, 1 млрд. поездок, 500+ городов в 37 странах мира.  На сегодняшний день inDriver совершает более 1 миллиона поездок ежедневно помиру. И это - только начало!Мы ищем удаленного **Senior Golang** разработчика в GMT+9 ... GMT+6.В команде разработки более 200 инженеров и мы продолжаем расширять команду.Используем Golang для разработки продуктов (монолит на PHP и Golang), базуданных MySQL, MongoDB, а кэш на Redis. Разработку ведем на Github, используемTeamCity и Github Actions.В инфраструктуре Docker, Kubernetes, Helm, Prometheus, Grafana и Kafka. Ещё мыиспользуем Feature Toggles, Blue-Green Deployment и другие подходы кразработке, чтобы ничего не сломалось в продакшене.**Вам предстоит:**  * разработка и поддержка backend сервисов на Go/PHP;  * активное участие в прототипировании новых решений;  * разработка и улучшение функциональности продукта;  * проведение код-ревью, написание юнит тестов.**Наши пожелания:**  * знания языка программирования бэкэнда Go;  * интерес к новым технологиям, средствам автоматизации процессов разработки;  * ответственность, стремление работать в команде и развиваться (мы будем регулярно отправлять на курсы).**Мы предлагаем:**  * стабильную заработную плату, соблюдение ТК РФ, ДМС со стоматологией;  * современные MacBook Pro и другое необходимое для работы оборудование;  * неограниченные возможности профессионального и карьерного роста, регулярное внешнее и внутреннее обучение от наших партнеров;  * частично или полностью оплачиваемые дополнительные обучающие курсы, в том числе занятия английским языком;  * удаленный формат работы;  * возможность стать частью международной команды профессионалов и просто хороших людей, которые все вместе создают одну из самых крутых историй успеха в мировой IT-индустрии.","{'from': 256000, 'gross': False, 'currency': 'RUR'}",2021-10-18T09:37:31.973+03:00,inDriver,FULL_DAY,False
9,,Senior Golang Developer [remote],50890159,"Хорошо профинансированный UK медиа стартап ищет опытного Backend разработчикав команду. Сильная команда, отличные условия, интересные и сложные задачи,World Class продукт. По настоящему звездная команда разработки и управленцев.Удаленка.**О продукте:** Создаем медиа платформу, где создатели контента могутмонетизировать свое творчество, используя внутренние механизмы (PPV, подписки,систему типпингов и донатов). Также мы даем кучу крутых инструментов длясоздания качественного контента прямо из нашего Web, iOS и Android приложений.**Требования**  — 3+ года бэкэнд разработки с использованием Go.  — Парадигмы и принципы как общие для разных языков программирования (ООП,SOLID, TDD), так и специфические для Golang (goroutines, channels)  — Умение писать конкурентный, потокобезопасный код  — Иметь опыт горизонтального масштабирования систем  — Писать тесты для своего кода  — Умение профилировать с помощью pprof  — PgSQL — умение составлять запросы, и понимать как работают индексы. Умениепользоваться Explain также немаловажно.  — Быть позитивным и желать учиться и самосовершенствоваться**Будет плюсом**  — PHP и Highload,  — Docker, K8s (CI/CD процессы)  — Опыт работы с системами обмена сообщениями (например RabbitMQ, Apache Kafka,Active MQ, AWS SQS)  — Опыт работы с поисковыми системами (например ElasticSearch, Azure Search,Apache Solr)  Для всего этого есть свои люди и свои команды, но очень хорошо, если выпримерно понимаете о чем все эти слова.**Обязанности**  — Активный вклад в кодовую базу и архитектуру проекта на Go  — Рефакторинг и оптимизация кода  — Менторинг PHP-программистов, которые вторым языком используют Golang.  — Активно взаимодействовать с командами front-end и с QA отделом  — Участие в проведении код ревью  — Расширение метрик и существующего мониторинга  — Фикс багов  — Написание unit и functional тестов для своего кода  — Оптимизация запросов к БД**Предлагаем**  — Высокий оклад в долларах США.  — Постоянный пересмотр зарплаты по результатам работы без верхнего потолка  — Гибкий график работы и отпусков  — Удалённая работа  — Сильная команда, интересные и сложные задачи, современные технологии.Отсутствие легаси.","{'from': 4000, 'to': 6000, 'gross': False, 'currency': 'USD'}",2022-01-10T17:54:44.219+03:00,"Hyprr, Inc",REMOTE,True
