,key_skills,name,id,description,salary,creation_time,employer,schedule,accept_temporary
0,"Английский — A2 — Элементарный, SQL, MySQL, Linux, JavaScript, ООП, Ruby, Java, PHP, C++, C#",Junior Data Engineer (Intern),52061597,"Приглашаем к нам в команду **Junior разработчика** для развития и поддержкикрупной аналитической системы. Рассматриваем кандидатов с базовым знаниемлюбого языка программирования (например: Java, PHP, C#, C++, Python,JavaScript и т.д.) и желанием программировать на языке Ruby.**_Предлагаем кандидатам, успешно выполнившим тестовое задание (на Ruby) ипрошедшим интервью, 2-х месячный интенсивный курс обучения по работе с нашейсистемой (входит в оплачиваемый испытательный срок), где вы столкнётесь с web-скрепингом, большими данными, Linux серверами, а также спецификой работыкомпании._****_Работа предполагается только на полный рабочий день (частичную занятость непредлагаем)._**Мы занимаемся разработкой масштабного бизнес-приложения для крупнейших ритейл-компаний и компаний-производителей из Европы и США. С помощью нашей системыклиенты получают необходимую информацию о том, каким образом представлены ихпродукты/ товары на рынке, и могут выстраивать стратегию маркетинга и продаж,опираясь на предоставленные нами данные.**С чем предстоит работать после обучения:**  * Работа с огромными массивами данных с использованием различных СУБД (Mysql, Cassandra, ClickHouse)  * Написание высоконагруженных скриптов для сбора и обработки больших объемов информации  * Сбор данных из открытых источников сети Internet (веб сайты, мобильные приложения), а также из закрытых сервисов наших клиентов  * Удаленная работа с серверами на Linux с использованием консольных утилит и скриптов  * Настройка валидации и кастомизация собранных данных согласно требованиям клиентов  * Участие в проектировании и разработке внутренних инструментов и процессов для ускорения и автоматизации нашей работы**Наши ожидания от кандидата:**  * SQL: написание простых запросов с использованием подзапросов или объединения таблиц (JOIN)  * Ruby - знание синтаксиса языка и базовых структур данных (массивы, хеши), работа с классами и модулями, работа с файлами (csv, xml, Excel, json). Рассматриваем кандидатов с базовым знанием любого ООП языка программирования  * Знание на базовом уровне: Xpath, регулярные выражения, HTML, Javascript  * Знание протокола HTTP (cookies, headers, status codes)  * Умение пользоваться инструментами разработчика (Firebug, Google Chrome dev tools)  * Желание и умение обучаться самостоятельно  * Владение английским языком на уровне не ниже Pre-Intermediate  * Нахождение в тайм-зоне UTC+3 (МСК) для удаленного сотрудничества**Что мы предлагаем:**  * Работа над собственным продуктом компании - мировым лидером в сегменте e-commerce аналитики  * Возможности для профессионального развития и построения карьеры  * Возможность экспериментировать и влиять на различные аспекты разработки продукта для достижения наилучших результатов  * Возможность работать удаленно  * Конкурентная заработная плата  * Медицинская страховка - 100% оплата компанией  * Отпуск 20 рабочих дней в год  * Оплата больничного листа - 80% от оклада  * Оплата Sick Days без больничного листа 4 дня в год - 80% от оклада  * Возможности для профессионального развития, покрываемые компанией - семинары, тренинги, конференции и т.д.  * Оплата спорта, парковки, занятий английским языком - 50% расходов  * Корпоративная дисконтная программа (550+ скидок и специальных предложений на различные покупки и услуги)  * Современный и удобный офис в центре города в бизнес-центре «Royal Plaza»  * Гибкий рабочий график после прохождения испытательного срока_Наш успех - это наши люди! Действительно сложно, но невероятно интересно бытьчастью команды Profitero!_",,2022-02-03T10:25:28.785+03:00,Profitero,FULL_DAY,False
1,"SQL, Python, JavaScript, Java, Английский язык",Разработчик Full-Stack Junior,51996514," **Обязанности:**Полный цикл разработки ПО: анализ, проектирование, разработка, тестирование,внедрение, сопровождение.**Требования:**Образование: Высшее техническое - разработка, ИТ, физ-мат, и тп **.**Знание английского языка не ниже уровня чтения технической документации**Знания и навыки:**• Опыт работы Frontend: JavaScript, HTML5, CSS• Опыт работы Backend: Java, Python• Опыт работы с системами Grafana, Prometheus, Elasticsearch• Опыт работы с API• Понимание программных архитектур и архитектур информационных систем• Опыт работы с SNMP, Syslog, SSH, PowerShell и тд.• Опыт работы с популярными СУБД SQL/NoSQL• Опыт работы с Kafka, RabbitMQ• Умение самостоятельно диагностировать проблемы и формулировать задачи наисправление проблем**Личные качества:**  * Гибкость  * Обучаемость  * Самостоятельность  * Универсальность  * Исполнительность  * Целеустремленность_**Ожидания от кандидата: долгосрочное сотрудничество с компанией на период от2-х лет.**_**Перспективы на этой должности**  * Профессиональный рост  * Возможность повысить свою компетенцию  * Расширить навыки и получить глубокий опыт работы с передовыми решениями в области ИТ  * Возможность прохождения официальных курсов производителей программного и аппаратного обеспечения в рамках выполнения проектов.  * Финансовый рост по мере повышения квалификации и закрытия коммерческих проектов  * Повышения квалификации (обучение) – все необходимые материалы, ресурсы и возможности для самостоятельного обучения и получения профессиональной сертификации**Предложения со стороны Компании:**  * Соблюдение всех требований Трудового Кодекса  * Достойное материальное вознаграждение  * Социальный пакет  * Отпуск 24 календарных дней  * Оплата лимита по сотовой связи  * Обеды с доставкой в офис  * Гибкий график работы","{'to': 500000, 'gross': False, 'currency': 'KZT'}",2022-02-01T14:21:09.928+03:00,ALG Innovations,FULL_DAY,True
2,"Java, Spring Framework, SQL, MySQL, REST, JSON API, Git, Apache Maven, JDBC, Linux",Junior Java Backend Developer / Младший разработчик на Java,50874512,"Студия НордКод – это разработчик игровых программных продуктов._Приглашаем в команду_ ** _Junior_** _ **Java Developer** для развитияфункционала нашего backend и сервисных web-приложений. _**Ваши задачи:**  * доработка и поддержка существующей функциональности backend;  * работа в команде над достижением высокой доступности / надежности существующей высоконагруженной системы;**Вам понадобятся:**  * знание языка Java;  * знакомство с паттернами и принципами проектирования;  * понимание базовых принципов работы сети интернет и веб-сервисов (HTTP, REST);**Будет плюсом:**  * знакомство со стеком технологий: Spring (MVC, Security, Data, Boot), liquibase, MySQL, JDBC, jOOQ, JMS, ActiveMQ.  * владение инструментами разработки: Maven, Git, Jenkins.**Мы предлагаем:**  * официальное трудоустройство;  * **полную занятость в офисе;**  * комфортный гибкий график работы;  * отсутствие бюрократии и лишнего формализма;  * достойную заработную плату (по результатам собеседования) и дальнейшую мотивацию;  * посещение профессиональных мероприятий, международных выставок-конференций;  * просторный офис у метро Черная Речка (5 мин. пешком).","{'from': 50000, 'to': 130000, 'gross': False, 'currency': 'RUR'}",2022-01-10T14:42:55.230+03:00,Nord.Codes,FULL_DAY,False
3,"Алгоритмизация, Java, Kotlin, Spring Framework, Web, Хорошая обучаемость, Работа в команде",Junior Java/Kotlin разработчик,51061998,"Компания занимается разработкой больших информационных систем длякорпоративных заказчиков.     **Обязанности:**  * разработка бэкэнда новых проектов компании  * поддержка существующих проектов компании**Требования:**  * Знакомство с java | kotlin  * Понимание основ работы web-приложения  * Понимание основ алгоритмизации**Пожелания:**  * Опыт работы с NoSQL хранилищами  * Знакомство с Spring (Core, MVC, Data)  * Знакомство PostgreSQL/Oracle  * Hibernate - понимание структуры и корректного построения запросов**Условия:**  * гибкий график начала и окончания рабочего дня  * офис в шаговой доступности от метро  * обучение и карьерный рост  * заработная плата обсуждается индивидуально с каждым соискателем","{'from': 80000, 'gross': False, 'currency': 'RUR'}",2022-01-13T21:42:09.423+03:00,НТ Разработки,FULL_DAY,False
4,"Английский — B2 — Средне-продвинутый, Java, SQL",Junior Java Developer,52154738,"Mynd Management is a C-level startup that is on the way to becoming a unicornwith a current company value reaching $800mln with investments coming fromrespected funds like Lightspeed ventures and Wells Fargo.Formed back in 2016 by graduates from the University of California and withthe top management coming from Upwork, McKinsey, Facebook and BCG, the companytakes pride in their employees' retention rate that is on average 3+years.We are featured in Forbes, Fortune, Bloomberg and CNN. We have just closed a$5bln deal becoming the largest buyer of single-family rental homes in the US.At Mynd Management, we strive to build a strong team and provide meaningfulgrowth opportunities. We are opening a 6-month trainee program where we willpass on to you everything we know. You will become a part of the existingscrum team of experienced developers who will teach you technical as well asbusiness and leadership skills. You are certainly a good fit if you are aproblem solver with a desire for not only programming, but also business sideof things. After successful completion of the training program, you will bepromoted to the role of Engineer.This is a fully remote position.  **Primary requirements:**  * Fundamental understanding of computer science (how different hardware components work, Operating System primary functions);  * Solid knowledge of Java language;  * Solid knowledge of SQL language and understanding of fundamentals of Relational Database Systems;  * Experience in creating server-client applications;  * Strong desire to learn;  * Good conversational English.**Nice-to-have:**  * one-year engineering experience.**Conditions:**  * Remote work with a distributed team of engineers located across the Americas and Eurasia;  * Paid vacation and sick leave;  * Coding in your time zone;  * Weekly wages.","{'from': 1500, 'to': 2000, 'gross': True, 'currency': 'USD'}",2022-02-07T10:54:28.674+03:00,Mynd Property Management,REMOTE,True
5,"UML, SQL, XML, Java, ООП",Младший java разработчик,52020865,"**Требования:**  • Техническое образование, системное мышление.  • Курсы повышения квалификации системных аналитиков или разработчиков, Java,JavaScript, SQL, UML, XML. На собеседовании понадобится продемонстрировать ипрокомментировать образцы курсовых задач и работ.  • Владение Java, Javascript на уровне уверенного чтения, способностьзакодировать простой алгоритм на Javа/JavaScript. Понимание возможностейHTML5. Понимание принципов асинхронной обработки в Javascript.  • Практическое понимание принципов ООП.  • Владение Git.  • Пользователь Linux.  • Стремление расти в область enterprise fullstack разработки.  • Разговорный английский, хорошее перо.   **Обязанности:**  • Разработка отдельных функций для модулей СДИ Базис под контролем старшихразработчиков, подготовка системных технических заданий под контролем старшиханалитиков;  • Написание автоматизированных тестов;  • Участие в devops процедурах;  • Оформление технических заданий и отчетов;  • Стремление перейти в разряд старших инженеров.   **Условия:**  • Трудоустройство по ТК РФ;  • Удаленная работа, гибкий график;  • Быстрый карьерный и финансовый рост или увольнение.","{'from': 50000, 'to': 70000, 'gross': False, 'currency': 'RUR'}",2022-02-02T10:00:24.050+03:00,Системы Документирования Инфраструктуры Софт,FULL_DAY,False
6,"Java, Linux, Git, JavaScript, C/C++, Java SE",Junior Java Developer,51690995," **Удаленная работа. Полный рабочий день.**Мы занимаемся видео стримингом и разрабатываем серверную часть для онлайн-трансляций, видеочатов и других приложений, где требуется видео реалтайм. ИщемJunior программиста, который готов уделять много времени самообучению,развиваться в этой сфере, решать сложные технические задачи.**Обязанности разработчика**  * разбираться в коде на Java / C / JavaScript  * искать решение проблем  * фиксить баги**Требования**  * знание синтаксиса Java  * git  * опыт работы в Linux из командной строки  * понимание основных сетевых протоколов  * логическое и инженерное мышление, умение решать сложные логические, алгоритмические, технические задачи, искать подходы к решениюЖелательно иметь опыт работы или практики в компании, которая занимаетсяразработкой ПО. Если такого опыта нет, добавьте пожалуйста в резюме списоквыполненных тестовых проектов, решенных задач, сертификатов участия вконкурсах или олимпиадах, опишите ваши достижения в программировании,математике - все, что поможет раскрыть ваши сильные стороны.В работе с видео стримингом, время от времени, возникают действительно сложныетехнические задачи, требующие логики, усидчивости, иногда тяжелого икропотливого поиска решения. Ищем человека, который сможет в перспективерешать такие задачи с хорошей эффективностью.**Условия**  * Удаленная работа. Только полный рабочий день пн - пт.  * Стартовая зарплата 40 - 80 т.р.**Тестовое задание**Мы понимаем, что у вас скорее всего нет коммерческого опыта впрограммировании, в связи с чем, предложим выполнить тестовое задание длявыявления способности учиться и решать поставленные задачи. Тестовое заданиебудет заключаться в написании сервера на Java SE (стандартные библиотеки) иорганизации работы с сетевыми пакетами. Кроме этого, потребуется разобраться вработе Wireshark и сетевых протоколах. Тестовое задание сложное. В откликахпишите пожалуйста, согласны ли вы выполнить тестовое задание такого плана исколько можете выделить под это времени.","{'from': 40000, 'to': 80000, 'gross': False, 'currency': 'RUR'}",2022-01-25T09:42:09.238+03:00,Flashphoner,REMOTE,False
7,"Hibernate ORM, Spring Framework, Git, Java, PostgreSQL, Apache Maven, SQL, Redis",Junior Java developer (back-end),48478817,"**Привет, мы — компания FINCH.**Мы запускаем и развиваем высоконагруженные проекты для брендов с большойаудиторией. Среди наших клиентов: Газпром-медиа, Столото, ФК Спартак, Sport24и другие.Все наши проекты — это разработка от идеи до продакшена с многолетнейподдержкой продукта. У нас развиваются не только отделы разработки, но иDevops, поэтому у нас собственный CI/CD, опыт докеризации проектов ииспользования Kubernetes.Мы стараемся сами выбирать технологии, которые используем, и идти в ногу современем. У нас хороший опыт R&D, мы используем самые современные технологии,у нас нет лимитов по стеку, и нет legacy-кода. Помимо всем знакомыхреляционных баз данных, мы используем CQRS системы, построенные на Kafka,также у нас есть опыт работы с объектно-ориентированными базами данных.  **Наш стек технологий:**  * Java  * Maven  * Spring Framework (Core, Data, Web, Security, Boot etc.)  * Hibernate  * PostgreSQL  * Redis, Kafka, Elasticsearch/SOLR  * Docker, Kubernetes, Rancher  * Git  * Linux, bash  * Kotlin**Что нужно будет делать:**Участвовать в проектировании и разработке бэкенда для наших проектов в командеиз лида и нескольких разработчиков**Что мы ждем от кандидата:**  * Знание структур данных: какие есть, чем представлены в java (массив, динамический массив, связанный список, мапа, хип, дерево)  * Понимание ООП на базовом уровне, понимание отличий абстрактных классов от интерфейсов  * Опыт работы с реляционными базами данных, умение писать SQL запросы  * Базовые знания и понимание работы JVM  * Желание обучаться и способность к этому**Что мы даем сотрудникам:**  * Работу над проектами с крупной аудиторией в несколько млн. пользователей и возможность научиться многому  * Никакой бюрократии  * Гибкое начало рабочего дня (с 8 до 12 утра по МСК)  * Бесплатные занятия английским языком  * Курсы и конференции за счет компании  * Комфортное рабочее место. У нас не коворкинг, а собственный двухэтажный офис с двориком в пешей доступности от м. Электрозаводская + есть возможность работать удалённо","{'to': 120000, 'gross': False, 'currency': 'RUR'}",2021-10-04T11:19:41.550+03:00,Finch,FULL_DAY,False
8,"REST, HTTP, Webpack, HTML, CSS, JOIN, API, JVM, Spring Framework, Желание учиться и развиваться, React, Vue.js, angular",Java разработчик (Junior/Middle),50989743,"Мы разработчики уникального программного продукта для строительных компаний -системы автоматизации снабжения (SRM). Нашими постоянными клиентами являютсятакие известные строительные компании, как **СЭТЛ Сити** , **ЛСР** , **ПСККорпорация** , **Мавис** , **RBI** и многие другие.**Обязанности:**  * Создавать и развивать существующий код, участвовать в разработке архитектуры приложения;  * Работать в команде, учиться и учить новых сотрудников разработке;  * Взаимодействовать с тестировщиками, проект-менеджерами и дизайнером.**Требования:**  * Хорошее знание JVM, Collections, Stream API, Concurrency;  * Опыт работы с СУБД Postgres, MySql или подобными. Понимание что такое JOIN, GROUP BY и другие основные операторы;  * Spring, Play Framework или подобные фреймворки;  * Знакомство с ORM системами (Hibernate, Ebean);  * Опыт работы с одним из js-движков: Angular, React, Vue;  * Понимание работы с асинхронным кодом, промисы и тд;  * HTML, CSS;  * Опыт работы со сборщиками npm, webpack;  * Знание протокола HTTP, что такое REST, какие основные принципы;  * Знание основных структур данных и алгоритмов;  * Желание развиваться в направлении FullStack разработки.**Условия:**  * Работа в надежной ведущей в своей области IT - компании, с большим опытом работы и уникальным продуктом;  * Полностью БЕЛАЯ заработная плата. Оплата отпусков и больничных;  * 5-дневная 8-часовая рабочая неделя (сб, вс, праздники – выходные);  * Дружелюбная атмосфера в команде, конструктивный настрой и наставничество для новых сотрудников;  * Работа в комфортабельном офисе с видом на Неву;  * В офисе: игровая зона, чай, кофе, фрукты каждую неделю.","{'from': 60000, 'to': 120000, 'gross': False, 'currency': 'RUR'}",2022-01-12T13:49:17.394+03:00,Синтека,FULL_DAY,False
9,"Java, ООП",Junior Java-разработчик,52155420,"**_В команду компании Аксиоматика ищем классного начинающего разработчика.Работа в офисе в г. Волгоград, не удаленка._**Если вы более опытный специалист, свяжитесь с нами, мы готовы обсуждать другиеварианты по сотрудничеству(по зп, посещению офиса, да и вообще ответим на всевопросы )**Что нужно будет делать:**  * Сопровождение существующих систем.  * Разработка новых модулей**Что нам важно в вас :**  * Высшее или незаконченное высшее профильное образование.  * Понимание концепций ООП  * Понимание работы web-приложений  * Наличие опыта работы с реляционными СУБД  * Знания Java Core (Collections, Concurrency)  * Навыки работы с Spring Framework (MVC, Security) желательны  * Навыки работы с Hibernate  * Умение быстро разбираться в большом объеме чужого кода  * Желание учиться и изучать новые технологии**Что мы предлагаем:**  * График работы 5/2; Возможно совмещение с обучением в университете и более гибкие условия  * Оформление по ТК РФ, оплата больничных, отпусков;  * Уютный офис в Ворошиловском районе с шикарным видом на Волгу и безлимитным кофе и вкусняшками  * Работу в дружной, динамично развивающейся команде профессионалов, которые всегда готовы прийти друг другу на помощь  * Интересную работу и новые знания  * Бесплатные занятия английским с преподавателем  * ежегодный выездной корпоратив в другие города и страны**Заработная плата обсуждается индивидуально с каждым кандидатом и будетзависеть от вашего опыта, уровня знаний и занятости**_Вы все это прочли и все равно решили, что вам не подходит, расскажите о нашейвакансии коллегам\друзьям\знакомым, вдруг это работа чьей-то мечты_","{'from': 50000, 'gross': False, 'currency': 'RUR'}",2022-02-07T11:00:16.397+03:00,Аксиоматика,FLEXIBLE,False
