,key_skills,name,id,description,salary,creation_time,employer,schedule,accept_temporary
0,"Английский — A2 — Элементарный, Информационные технологии, Разработка компьютерных Игр",Программист-разработчик игр (Junior),51540882,"Мы расширяем свою gamedev-команду и ищем заинтересованных программистов дляразработки компьютерных игр под различные платформы на нашем собственномязыке.**У нас вы получите возможность** :  \- приобрести глубокие и разносторонние знания, познакомившись с множествомаспектов создания компьютерных игр  \- работать в сильной команде над уникальными продуктами, которыми можногордиться  \- изучать новые технологии и расти как специалист  \- участвовать в полном цикле разработки и предлагать любые улучшения  \- получать справедливую оплату, соразмерную вашему вкладу**Нам важно, чтобы вы** :  \- имели базовые знания математики и информационных технологий  \- умели программировать хотя бы на одном из языков: C, C++, Rust  \- понимали, во что превращается ваш код, и как он работает на низком уровне  \- не боялись сложностей и получали удовольствие от решения нестандартныхзадач  \- имели возможность и желание работать не менее 80 часов в месяц**Мы обрадуемся** , если вы также имеете опыт/навыки работы с Unix, Android,базами данных, сетевыми протоколами, системами контроля версий, web-программирования, программирования для GPU (работы с шейдерами).У нас возможна удалённая работа по любому удобному вам графику.  Оплата производится не за количество проведённых за компьютером часов, а зазавершённые задачи. Все задачи оцениваются перед выполнением.","{'from': 75000, 'to': 150000, 'gross': False, 'currency': 'RUR'}",2022-01-22T16:03:19.854+03:00,ГравиЛинк,FLEXIBLE,False
1,"rust, C++, Go, Blockchain",Junior/Junior+ Rust Developer,50987507," **PixelPlex** – ведущая продуктово-аутсорсинговая компания по **Blockchain**разработке, основанная в 2007 году. С 2013 года 90% наших проектов основаны наданной технологии. Также мы активно работаем в области AI, AR/VR, IoT, Mobile.Клиентские проекты реализуются как для всемирно-известных мировых брендов, таки для небольших, перспективных стартапов.Сейчас мы базируемся в Минске (головной офис), Сеуле, Токио, Лондоне, НьюЙорке, Пфеффиконе.Отделы разработки: **** Web, Mobile и Blockchain. А также QA, BA, PM, UI/UXDepartments.Мы расширяем Blockchain отдел и готовы рассмотреть **Rust Developer.****Обязанности:**  * Разработка проектов на Rust;  * Участие в проектировании архитектуры приложений;  * Написание тестов;  * Поддержка реализованных проектов;  * Ведение проектной технической документации.**Требования:**  * Опыт работы с Rust приветствуется;  * Опыт работы с С++ приветствуется;  * Желателен опыт работы с STD, no_std;  * Знание и применение принципов SOLID и приемов TDD;  * Работа c ОС Linux;  * Понимание зачем нужен Docker;  * Умение писать простой и понятный код;  * Знание принципов и шаблонов проектирования.**Будет плюсом:**  * Опыт работы c Go;  * Опыт работы с p2p сетями;  * Опыт написания скриптов на Bash;  * Опыт работы с Blockchain;  * Общие знания криптографии.**Мы предлагаем:**  * Гибкий график работы;  * Достойный уровень заработной платы;  * Интересные проекты и возможность внедрить/реализовать собственные идеи;  * Компенсацию спортивных активностей;  * Медицинскую страховку;  * Курсы английского языка в офисе, а также Speaking club;  * Насыщенную корпоративную жизнь (поздравление с днем рождения от компании, празднование профессиональных праздников, турниры по хоккею и т.д.);  * Фрукты, печеньки, чай, кофе;  * х-box, любые VR-шлемы и прочие приятные корпоративные плюшки.",,2022-01-12T13:17:59.010+03:00,ПикселПлекс,FULL_DAY,False
2,,Junior frontend-разработчик,50334088,"Ищем в свою команду начинающего frontend-разработчика.**Что ждет такого человека у нас?**Работа в команде разработки JetStyle — да, нам важно, чтобы вы хотели работатьв команде и включились в общую работу.Вместе с нами вам предстоит работать над разработкой интерфейсов для нашихклиентов. У нас нет вёрстки однотипных лендингов на конвейере, у нас естьзадачи по созданию удобных, предсказуемых, доступных и понятных пользователюинтерфейсов. Мы учим новеньких всему, что знаем сами (и да, еще раз, нам самимэто важно).**Что сами знаем и умеем:**  1. JavaScript  2. React для web  3. ReactNative для разработки мобильных приложений  4. ElectronJS, если предстоит работать с desktop’ом  5. NodeJS для server-side  6. Документирование API (Swagger, GraphQL)  7. K8S  8. Внезапно RUST  9. Шикуем с Google Cloud Platform  10. CI / Feature Flags**Мы ждём от junior-фронтендера:**  1. Умение программировать на JavaScript  2. Слышал слово React  3. Знание HTML и CSS  4. Любовь к пользователям и удобным интерфейсам  5. Слышал слово git**Плюсами будут:**  1. Опыт работы с React  2. Желание писать не только фронтенд и не только на яваскрипте  3. Запускал комманду git больше одного раза**Взамен** :  1. научим всему, что знаем сами, обеспечим полную занятость, много интересных задач, профессиональную команду;  2. официальное трудоустройство;  3. офис в центре города — БЦ Высоцкий и отличный вид с 29 этажа.",,2021-12-09T13:43:29.574+03:00,JetStyle,FULL_DAY,False
3,"PostgreSQL, ООП, SQL, Opensource, Big Data, C/C++","Junior Full Stack Developer (PL/pgSQL, Go, C)",51805604,"**ООО ""ЯСП**"" – центр внедрения Группы компаний Luxms. Мы ищем Junior FullStack разработчика для развития функционала Luxms BI (Luxmsbi.com), а такжеподдержки и развития решений, развернутых на Luxms BI.Платформа Luxms BI реализована на передовом технологическом стеке (Front-End –кросс браузерный JavaScript/CSS с адаптивной версткой, Back-end – под Linux:nginx, PostgreSQL/Greenplum, JVM), обеспечивает массивно-параллельнуюобработку (MPP) потоков данных высокой интенсивности. Применяются технологииin-memory для высокоскоростной обработки и хранения данных. MPP BI – первое вмире решение, способное развертываться на множестве узлов, в режимеотказоустойчивого кластера с балансировкой нагрузки и горячим резервированием,обеспечивать прогнозную и текстовую аналитику, а также подготовку данных квизуализации.**Обязанности:**  * Написание логики application server на PL/pgSQL;  * Поддержка и развитие PostgreSQL extensions на С (open sourced);  * Поддержка и развитие Luxms BI Gateway (Golang).**Требования:**  * Знание деталей стандарта HTTP;  * Знание и опыт PostgreSQL (PL/pgSQL);  * Хорошее понимание парадигм программирования: функциональное, ООП,  процедурное;  * Опыт написания кода на 3-х основных языках, например участие в  OpenSource проектах;  * Широкий кругозор в IT, желание исследовать новое, искать эффективные  решения ""нерешаемых"" проблем в условиях технических ограничений;  * Знание Clojure, Rust, Nim будет плюсом;  * Опыт работы с BigData (Hadoop, Kafka) будет плюсом;  * Опыт работы с SQL/NewSQL/NoSQL будет плюсом.**Условия:**  * Работа в офисе;  * Полная занятость;  * Конкурентоспособная белая заработная плата (обсуждается индивидуально);  * Официальное оформление, соблюдение норм Трудового Кодекса РФ;  * ДМС.",,2022-01-26T17:48:05.700+03:00,ЯСП,FULL_DAY,False
4,,Junior NodeJS разработчик,47621838,"**Что ждёт такого человека у нас?**Мы занимаемся продуктовой разработкой для среднего и малого бизнеса. Мыработаем с клиентами из России, Европы и Средней Азии.  Примеры задач, которые мы решаем для наших клиентов:  1. Разработка прототипа продукта или MVP по видению клиента  2. Запуск экспериментальных продуктов параллельно с основным работающим  3. Разработка отдельных веб-сервисов  4. Миграция монолитного веб-приложения на микросервисы**Что для нас важно?**Мы стараемся в своей работе принести измеримую пользу клиенту. Нам нравитсявидеть результаты своего труда в метриках бизнеса. Мы верим, что технология неопределяет инженера и задача инженера выбирать подходящие технологии длярешения задач. Поэтому мы не завязаны на конкретном техническом стэке и готовыпредлагать клиенту разработку на разных технологиях, работаем с разнымиоблачными провайдерами и т.п.  Один из основных проектов — издательская платформа Ridero, в которой впродакшне запущено несколько десятков микросервисов в двух кластерах.**Что мы ждём от кандидата**  1. Базовое умение в NodeJS  2. Понимание базовых паттернов JS-разработки     1. async / await    2. Promise    3. yield  3. Умение написать unit-тест или integration-тест  4. Умение работать с git  **Плюсами будет**  1. Умение писать SQL запросы  2. Второй язык программирования: python / golang / rust  3. Английский язык**Условия:**  1. обеспечим полную занятость, много интересных задач, профессиональную команду;  2. уровень заработной платы (которая точно в срок и 2 раза в месяц, как положено) обсуждается по результатам собеседования;  3. официальное трудоустройство;  4. офис в центре города — БЦ Высоцкий и отличный вид с 29 этажа (как только мы окончательно вернемся в офис, пока гибридный режим);  5. внутреннее обучение.","{'to': 50000, 'gross': False, 'currency': 'RUR'}",2021-09-03T11:01:23.073+03:00,JetStyle,FULL_DAY,False
5,"FPGA, ПЛИС, Networking",Разработчик FPGA (ПЛИС) Junior,52032349,"**Неформальное описание**В разных компаниях используется разный подход к разработке.  Некоторые навыки, качества, опыт, типы мышления становятся более важными,другие -- менее.    Нельзя однозначно утверждать, какой подход хороший, а какой -- плохой.  В каждом будут плюсы и минусы.    Легко работать, когда ценности и приоритеты сотрудников и компании совпадают.  Мы любим прозрачность, поэтому в двух словах опишем наш подход.  1. **У нас очень развито наставничество (менторство).**  Мы постоянно проводим внутренние лекции.  Всегда можно (нужно!) попросить помощи или совета, если что-то непонятно.  При выполнении задач никого не оставят одного надолго.  Мы часто применяем парное программирование.     _Плюсы_ **** \-- Вы будет прогрессировать быстрее.   _Минусы_ **** \-- придётся общаться с людьми. Отсидеться в углу не получится.  2. **Мы стараемся быть инженерами, а не кодерами.**  И ждём того же от других.    FPGA-разработчики, кроме написания RTL и TB:  \- Выполняют review аппаратной платформы на ранней стадии разработки  \- Участвуют в проектировании архитектуры системы  \- Вместе с коллегами ""аппаратчиками"" и системными программистами участвуют вподнятии и проверке ""железа"".  \- Проектируют алгоритмы тестирования телекоммуникационных сетей.    Естественно, мы не будем взваливать на Junior-разработчика все вышеуказанныезадачи.  Но с ростом опыта постепенно растёт и участие в разработке проекта.     _Плюсы_ \-- Ваш технический кругозор станет гораздо шире.   _Минусы_ **** \-- это сложнее, чем просто писать код.  3. **Мы -- компания, которая разрабатывает коммерческий продукт.**  Соответственно, разработка -- это tradeoff между скоростью и идеальностьюрезультата.    Продуктов/проектов у нас много, а срок поддержки большой, поэтому мы следим  за качеством -- пишем требования, спецификации, проектируем архитектурусистемы,  поддерживаем проектную документацию в актуальном виде, проводим code review ит.д.  Иначе через пару лет никто не вспомнит, как устроен проект.    Но во многих проектах у нас жёсткие сроки.  Поэтому перфекционизм в виде переписывания кода до ""идеального блеска"" нам неблизок.  Как говорится, ""Done is Better than Perfect"".    У нас нет периодов без проектов, когда разработчики мучаются от безделья.  Аналогично, авралов и переработок мы тоже избегаем.    Ну и конечно, Agile нам много ближе, чем Waterfall :)     _Плюсы_ **** \-- Вы будете получать результат.   _Минусы_ **** \-- для получения результата придётся прикладывать усилия.Если Вам близки описанные подходы и ценности, мы с радостью примем Вас вкоманду!     **P.S.** **** Не пугайтесь пунктам "" **Будет преимуществом: "" **изформального описания ниже.  Это опциональные вещи.     **Формальное описание****Обязанности:**  * Проектирование архитектуры модулей, IP-ядер и FPGA-проектов  * Разработка, верификация и сопровождение проектов и IP-ядер  * Отладка прошивок под FPGA фирм Intel (Altera), Xilinx, Lattice  * Исправление ошибок, поддержка существующих продуктов**Обязательные требования:**  * Знание языков Verilog/SystemVerilog  * Навыки верификации и отладки FPGA-проектов  * Знание Linux на уровне пользователя**Будет преимуществом:**  * Опыт работы с интерфейсами семейств Avalon и/или AXI  * Опыт программирования на C/C++/Rust  * Опыт программирования под Linux  * Знание скриптовых языков - Python/Tcl/Bash  * Знание систем контроля версий - git**Условия:**  * Интересные новые проекты и дружная атмосфера бесстрашных разработчиков  * Чай, кофе, плюшки, книжки за счёт компании  * Заработная плата по результатам собеседования  * Иногородним помогаем с переездом","{'from': 90000, 'to': 120000, 'gross': False, 'currency': 'RUR'}",2022-02-02T13:10:17.096+03:00,НТЦ Метротек,FLEXIBLE,False
6,"Linux, ООП, Rust, Разработка нового продукта",Junior Rust developer,51062805,"В связи с активным ростом команды находимся в поиске **_Junior Rustdeveloper_**.    Мы сами выбираем стек технологий, который лучше подходит к нашим проектам иусловиям. Разработка ведется с нуля, отсутствует многолетний legacy код.**Требуемые навыки:**  * Базовое владение языком rust или владение любым другим языком программирования и большое желание освоить rust;  * Уверенное владение ОС Linux;**Предстоящие задачи:**Реализация распределенного объектного хранилища для предоставлениямасштабируемого хранилища объектов под различные задачи.Цель: предоставить масштабируемое хранилище объектов для различных задач.Есть множество данных, которые требуется хранить и отдавать пользователю,например статические изображения товаров от поставщиков и пользователей.По некоторым причинам нас не устраивают готовые решения, поэтому возникланеобходимость разработать свое. Ключевые требования к системе:  * Справляться с нагрузками в 500 000 RPS на чтение.  * Для начала 1 000 000 000 объектов.  * Максимальный размер объекта - 2 Mb.  * Обеспечить консистентность данных на запись.  * Простое горизонтальное масштабирование.  * Максимальная простота системы и минимум зависимостей.  * Возможность запускаться как в Kubernetes, так и на ""голом железе"".**Мы предлагаем:**  * Возможность гибкого начала рабочего дня, полностью удаленная занятость.  * Возможность оформления по ТК РФ или по договору с ГПХ, с самозанятым или ИП.  * Достойное вознаграждение: «в рынке» и даже чуть интереснее.  * Преимущественно новые проекты без поддержки старого ĸода.  * Интересные и амбициозные задачи, дающие ощущение причастности к значимому делу, которым можно гордиться.  * Возможность непосредственно влиять на создание и развитие продукта.  * Действительно отличную команду, с которой можно обсудить идеи и осуществить наиболее удачные из них.  * Возможность сильно прокачаться в процессе реализации смелых идей, идущих на пользу проектам: большое поле возможностей и экспериментов.",,2022-01-13T22:11:08.049+03:00,WILDBERRIES,REMOTE,False
7,".NET Framework, C#, Blockchain",Junior Backend Engineer,52073853,"**Equilibrium Lab** is developing a cutting-edge decentralized financeplatform on the basis of Polkadot/Substrate technology, a brainchild of GavinWood (former CTO of Ethereum). We are building our own financial parachain asan integral part of the Polkadot ecosystem.    The project is recognized in the professional society while its core businesslogic is currently production-ready. The team is a member of the SubstrateBuilders Program by Parity Technologies and a recipient of multiple grantsfrom the Web3 Foundation.    We strongly believe that the future of the Internet lies in decentralizationand permissionless applications running on top. We very much appreciate newcool ideas and expect them from candidates.    Currently, we are expanding our dev team and looking for great professionalsto join our amazing journey.**We expect candidates to have the following skills:**  — Professional development experience for 1 year  — Deep knowledge in one of the following languages: C/C++, Java, .Net, Rust  — Rust development experience is an advantage  — Experience in developing applications launched into production  — Experience in unit and integration testing  — Experience in developing financial software  — Deep knowledge and understanding of design patterns  — Good technical English     **We consider the following skills as a strong advantage:**  — Experience in cryptography  — Knowledge in Ethereum/Substrate and other blockchain technologies  — Experience in high-load systems development  — Degree in Computer Science     **Duties:**  — Development of new functionality and support of the existing one on top ofthe Substrate-based blockchain (Rust)  — Development of the integration testing framework on Rust  — Development of additional services (including high-load ones) using Rust and.Net technologies",,2022-02-03T13:46:27.776+03:00,Equilibrium Labs,FULL_DAY,False
8,"Разработка ПО, Linux, Linux Kernel, Device Drivers, Networking, Python, Bash, Git",Системный программист Linux (Junior),52032412," **Неформальное описание**В разных компаниях используется разный подход к разработке.  Некоторые навыки, качества, опыт, типы мышления становятся более важными,другие -- менее.    Нельзя однозначно утверждать, какой подход хороший, а какой -- плохой.  В каждом будут плюсы и минусы.    Легко работать, когда ценности и приоритеты сотрудников и компании совпадают.  Мы любим прозрачность, поэтому в двух словах опишем наш подход.  1. **У нас очень развито наставничество (менторство).**  Мы постоянно проводим внутренние лекции.  Всегда можно (нужно!) попросить помощи или совета, если что-то непонятно.  При выполнении задач никого не оставят одного надолго.  Мы часто применяем парное программирование.     _Плюсы_ **** \-- Вы будет прогрессировать быстрее.   _Минусы_ **** \-- придётся общаться с людьми. Отсидеться в углу не получится.  2. **Мы стараемся быть инженерами, а не кодерами.**  И ждём того же от других.    Системные программисты, кроме написания драйверов/демонов/конфигурации ядра:  \- Выполняют review аппаратной платформы на ранней стадии разработки  \- Участвуют в проектировании архитектуры системы  \- Вместе с коллегами ""аппаратчиками"" и FPGA-разработчиками участвуют вподнятии и проверке ""железа"".  \- Проектируют алгоритмы тестирования телекоммуникационных сетей.    Естественно, мы не будем взваливать на Junior-разработчика все вышеуказанныезадачи.  Но с ростом опыта постепенно растёт и участие в разработке проекта.     _Плюсы_ \-- Ваш технический кругозор станет гораздо шире.   _Минусы_ **** \-- это сложнее, чем просто писать код.  3. **Мы -- компания, которая разрабатывает коммерческий продукт.**  Соответственно, разработка -- это tradeoff между скоростью и идеальностьюрезультата.    Продуктов/проектов у нас много, а срок поддержки большой, поэтому мы следим  за качеством -- пишем требования, спецификации, проектируем архитектурусистемы,  поддерживаем проектную документацию в актуальном виде, проводим code review ит.д.  Иначе через пару лет никто не вспомнит, как устроен проект.    Но во многих проектах у нас жёсткие сроки.  Поэтому перфекционизм в виде переписывания кода до ""идеального блеска"" нам неблизок.  Как говорится, ""Done is Better than Perfect"".    У нас нет периодов без проектов, когда разработчики мучаются от безделья.  Аналогично, авралов и переработок мы тоже избегаем.    Ну и конечно, Agile нам много ближе, чем Waterfall :)     _Плюсы_ **** \-- Вы будете получать результат.   _Минусы_ **** \-- для получения результата придётся прикладывать усилия.Если Вам близки описанные подходы и ценности, мы с радостью примем Вас вкоманду!     **P.S.** **** Не пугайтесь пунктам "" **Будет преимуществом: "" **изформального описания ниже.  Это опциональные вещи.     **Формальное описание    Обязанности:**  * Разработка драйверов, в том числе сетевых, для ядра Linux  * Разработка системных приложений под Linux  * Настройка и запуск ядра Linux на аппаратных платформах x86 и ARM  * Исправление ошибок, поддержка существующих продуктов**Обязательные требования:**  * Хорошее знание языка С  * Опыт программирования под Linux**Будет преимуществом:**  * Опыт разработки системных приложений под Linux  * Опыт разработки драйверов  * Опыт разработки на Rust  * Знание скриптовых языков -- Python/Bash  * Вы знаете, что такое FPGA :)**Условия:**  * Интересные новые проекты и дружная атмосфера бесстрашных разработчиков  * Чай, кофе, плюшки, книжки за счёт компании  * Заработная плата по результатам собеседования  * Иногородним помогаем с переездом","{'from': 90000, 'to': 120000, 'gross': False, 'currency': 'RUR'}",2022-02-02T13:11:05.861+03:00,НТЦ Метротек,FLEXIBLE,False
9,"C++, Linux, STL",Junior С++ Developer,51203080,"**PixelPlex** – ведущая продуктово-аутсорсинговая компания по **Blockchain**разработке, основанная в 2007 году. С 2013 года 90% наших проектов основаны наданной технологии. Также мы активно работаем в области AI, AR/VR, IoT, Mobile.Клиентские проекты реализуются как для всемирно-известных мировых брендов, таки для небольших, перспективных стартапов.Сейчас мы базируемся в Минске (головной офис), Сеуле, Женеве и Нью-Йорке.**Отделы разработки:** Web, Mobile и Blockchain. А также QA, BA, PM, UI/UXDepartments.Мы расширяем Blockchain отдел и приглашаем в команду талантливыхразработчиков, которые начинают свой карьерный путь в С++ разработке.**Обязанности:**  * Разработка проектов на C++: архитектура, алгоритмы, реализация;  * Написание UNIT-тестов;  * Сопровождение реализованных проектов;  * Ведение проектной технической документации;  * Работа в команде 3-6 человек по выработанным методологиям (Scrum, Kanban, Waterfall).**Требования:**  * Знание стандартов C++ (11/14/17);  * Опыт работы с STL;  * Хорошее знание базовых принципов ООП;  * Знание принципов SOLID;  * Умение хорошо ориентироваться в большом объёме чужого кода;  * Английский на уровне чтения технической документации.**Будет плюсом:**  * Опыт работы c Go и/или Rust;  * Опыт работы с командной строкой Linux;  * Опыт работы с библиотекой Boost;  * Знание и применение приемов TDD;  * Опыт написания скриптов на Bash;  * Опыт работы с GCC, Clang, gdb;  * CMake / Autotools.**Мы предлагаем:**  * Гибкий график работы;  * Достойный уровень заработной платы;  * Интересные проекты и возможность внедрить/реализовать собственные идеи;  * Компенсацию спортивных активностей, корпоративный волейбол и футбол;  * Медицинскую страховку;  * Курсы английского языка в офисе, а также Speaking club;  * Насыщенную корпоративную жизнь (поздравление с днем рождения от компании, празднование профессиональных праздников, турниры по хоккею и т.д.);  * Фрукты, печеньки, чай, кофе;  * х-box, любые VR-шлемы и прочие приятные корпоративные плюшки.Будем рады видеть тебя в нашей команде!",,2022-01-17T14:33:29.829+03:00,ПикселПлекс,FULL_DAY,False
