,key_skills,name,id,description,salary,creation_time,employer,schedule,accept_temporary
0,"Английский — B2 — Средне-продвинутый, Информационные технологии, Разработка компьютерных Игр",Программист-разработчик игр (Middle),51540867,"Мы расширяем свою gamedev-команду и ищем заинтересованных программистов дляразработки компьютерных игр под различные платформы на нашем собственномязыке.**У нас вы получите возможность** :  \- приобрести солидный и разносторонний опыт, решая весь спектр задач посозданию компьютерных игр  \- работать в сильной команде над уникальными продуктами, которыми можногордиться  \- изучать новые технологии и расти как специалист  \- участвовать в полном цикле разработки и предлагать любые улучшения  \- получать справедливую оплату, соразмерную вашему вкладу**Нам важно, чтобы вы** :  \- имели твёрдые фундаментальные знания математики и информационных технологий  \- имели реальный опыт программирования на языке C, C++ или Rust (не в учебныхпроектах)  \- имели опыт программирования для GPU (работы с шейдерами)  \- знали основные сетевые технологии и протоколы  \- умели работать с системами контроля версий и ишью-трекерами  \- понимали, во что превращается ваш код, и как он работает на низком уровне  \- не боялись сложностей и получали удовольствие от решения нестандартныхзадач**Мы обрадуемся** , если вы также имеете опыт/навыки работы с Unix, Android,web-программированием, базами данных.У нас возможна удалённая работа по любому удобному вам графику.  Оплата производится не за количество проведённых за компьютером часов, а зазавершённые задачи. Все задачи оцениваются перед выполнением.","{'from': 150000, 'to': 300000, 'gross': False, 'currency': 'RUR'}",2022-01-22T16:02:33.725+03:00,ГравиЛинк,FLEXIBLE,False
1,"Английский — B1 — Средний, Rust, APIs",Rust Developer,51331781,"Кто мы?Мы - партнёры западно-европейской компании, разрабатывающей инновационноекомплексное решение для управления трафиком грузовых и пассажирских дронов вгородских условиях. Вам предстоит разрабатывать систему для построениямаршрутов и автоматического управления беспилотными летательными аппаратами вгороде.Почему мы?\- Наша молодая, но уже опытная компания разрабатывает решение совместно сведущими мировыми авиастроительными концернами и производителями автомобилей\- Разрабатываемое решение находится на пике технологий как по архитектуре,так и по стеку\- Разнообразная команда из разных стран Мира, включающая в себя от студентовдо главных инженеров и менеджеров из таких индустрий как авиастроение,телеком, разработка ПО\- Более чем адекватное руководство и отличная рабочая атмосфера\- Возможность улучшить английский язык\- Удалённая работа с относительно свободным графиком - мы ценим прежде всегорезультат\- Достойная рыночная оплата трудаКого мы ищем?Опытных middle/senior Rust-разработчиков для удаленной работы в русско-немецкой команде.**Что мы ждем от Вас:**— Желателен опыт разработки на Rust от 2х лет  — Разговорный английский (Intermediate+)Будет плюсом:\- Опыт разработки APIs  \- Опыт программирования для встраиваемых систем  \- Общие познания в физике, теории управления  \- Интерес к авиации, дронам","{'from': 150000, 'to': 250000, 'gross': True, 'currency': 'RUR'}",2022-01-19T12:13:57.555+03:00,Тихменев Дмитрий Ярославович,REMOTE,False
2,"Blockchain, Rust, DeFi, NEAR Protocol, DEX, Order book",Lead/Senior/Middle Rust Developer,50789953,"Algalon Capital is looking to hire a Lead/Senior/Middle Rust Developer(https://spin.fi).**About Spin:**Spin is a multichain DEX that makes decentralized crypto futures and optionstrading more efficient by providing traders with advanced risk management andstrategy-building tools, as well as a superior Central Limit Order Bookexecution model. The first blockchain to be supported is NEAR Protocol.The team behind the project has experience in algorithmic trading and buildingproducts, including blockchain tech-based.We are a passionate group of hardworking and fun individuals spread out allover the world, working to build the initial core products of Spin Financewhile striving for decentralization.The project is supported by Tier 1 crypto VC and market makers.**Responsibilities:**  * Work together in a senior team  * Pitch your ideas regarding (technical) design  * Sync with NEAR developers building other things in the space**Requirements:**  * 3+ years of experience as a software engineer  * Strong proficiency in Rust, C++, or Golang (or other systems language)  * Extensive knowledge of virtual machines or blockchain node software  * Ability to design, research, and develop blockchain-based solutions  * Excellent communication skills**Nice to Have:**  * Experience with blockchain protocols, whether it be the usage of a blockchain API, knowledge of how a blockchain operates, or any other experience  * Experience with distributed systems, peer-to-peer systems, network programming, and cryptography  * Experience writing software from a technical specification or a reference implementation  * Experience maintaining a large codebase with many components and keeping it well-designed, future-proofed, and modular  * Experience with documenting a large codebase, both for internal and user-facing components  * Familiarity with open-source software principles**Location:**This is a full-time position that is 100% remote or in the office in MoscowCity.Please apply with a link to your GitHub repo.","{'from': 4000, 'to': 12000, 'gross': False, 'currency': 'USD'}",2022-01-04T10:01:05.352+03:00,Algalon Capital,FULL_DAY,False
3,"Java, C++, Blockchain",Rust разработчик (Middle),52075025,"В **Equilibrium Lab** мы разрабатываем высокотехнологичные DeFi приложения:закрываем потребности наших клиентов в области децентрализованных финансов.Нашими продуктами пользуются более **2500** пользователей по всему миру.**Обязанности:**  * Разработка нового / поддержка текущего функционала De-Fi блокчейна на базе технологии Substrate на языке Rust  * Доработка системы интеграционного тестирования блокчейна на языке Rust  * Разработка вспомогательных сервисов (в том числе и высоконагруженных) на языках Rust и .NET**Требования:**  * Опыт разработки на Rust (можно пет проекты)  * Опыт разработки на одном из языков (.NET, Java, C++) более 3-х лет  * Опыт разработки продуктов, вышедших в продакшн  * Знание и понимание шаблонов проектирования  * Интерес к децентрализованным технологиям**Будет плюсом:**  * Опыт в криптографии",,2022-02-03T14:10:29.106+03:00,Equilibrium Labs,FULL_DAY,False
4,,Middle Python Engineer в команду Hokage,50641451,"**Привет! Я Илья, оверлорд всея бэкенда команды Hokage, и я ищу в свою командуамбициозного и самостоятельного Middle Python Engineer**    В разных проектах Haiku собрались ребята, которые мыслят продуктово, и мызагорелись идеей запустить и протестировать десятки собственных проектов вближайшие 3 года в поисках успешного стартапа.**Команда Хокаге** сейчас реализует проект в сфере креативной экономики инастраивает рельсы венчур билдера. Уже запущено приложение Reach Me: визиткадля контент-мейкеров с оплатой разного контента на месте. Среди первых задачбудет: придумать алгоритм классификации для автоматической генерации mock APIсервера, реализовать общий механизм для санации пользовательского ввода в API,а также придумать общий механизм для выполнения миграций данных на уровнеприложения. И чтобы решить эти вопросы, мы ищем в команду еще 1 бэкенд-инженера***В тебе я хочу видеть:**  * Знание проектирования сервисов. Мы практикуем DDD, используем C4 для визуализации архитектуры, OpenAPI для планирования и разработки API;  * Успешные кейсы разработки сервисов на Python, у нас FastAPI со всеми преимуществами async/await;  * Опыт работы с реляционными СУБД. Буднично нам хватает Tortoise ORM, но миграции/оптимизации пишем на чистом SQL под PostgreSQL;  * Любовь к качеству и продуктивности работы. Мы используем behave и BDD нотацию для тестирования сценариев использования сервиса;  * Опыт виртуализации решений. Kubernetes на окружениях, деплой через Helm, Docker используется даже как CLI, никаких make-файлов и батничков;  * Работу на Актуальном техническом стеке. Изначально планировался Django =) Но сейчас мы рассматриваем только современные и эффективные технологии;  * Желание развивать кругозор. На нашем техническом радаре мелькает Rust и планируется Go для отдельных сервисов.*Мы понимаем опыт бекенд-разработки в широком смысле слова. Смена профиля на Python и опыт разработки на JavaScript/Java/C# в прошлом для нас только плюс. Если любишь аниме — ещё лучше:)**У нас:**  * Удалённая работа, гибкий график;  * 28 дней отпуска в год + 3 дополнительных дня отдыха в квартал;  * Корпоративные скидки от BestBenefits, подписка на аниме-стриминг сервис;  * Возможность протестировать свои идеи для стартапа ;)",,2021-12-22T17:33:08.445+03:00,Haiku Dev,REMOTE,False
5,"Linux, Rust, OOP",Middle/Senior Rust developer,51062808,"В связи с активным ростом команды находимся в поиске **_Middle/Senior Rustdeveloper_.**Мы сами выбираем стек технологий, который лучше подходит к нашим проектам иусловиям. Разработка ведется с нуля, отсутствует многолетний legacy код.**Требуемые навыки:**  * Владение языком rust или желание его освоить;  * Опыт работы с различными базами данных;  * Умение писать тестируемый код;  * Уверенное владение ОС Linux;  * Самостоятельность, аккуратность и ответственность;  * Умение находить простые решения для сложных задач;  **Предстоящие задачи:**Реализация распределенного объектного хранилища для предоставлениямасштабируемого хранилища объектов под различные задачи.Цель: предоставить масштабируемое хранилище объектов для различных задач.Есть множество данных, которые требуется хранить и отдавать пользователю,например статические изображения товаров от поставщиков и пользователей.По некоторым причинам нас не устраивают готовые решения, поэтому возникланеобходимость разработать свое. Ключевые требования к системе:  * Справляться с нагрузками в 500 000 RPS на чтение.  * Для начала 1 000 000 000 объектов.  * Максимальный размер объекта - 2 Mb.  * Обеспечить консистентность данных на запись.  * Простое горизонтальное масштабирование.  * Максимальная простота системы и минимум зависимостей.  * Возможность запускаться как в Kubernetes, так и на ""голом железе"".**Мы предлагаем:**  * Возможность гибкого начала рабочего дня, полностью удаленная занятость.  * Возможность оформления по ТК РФ или по договору с ГПХ, с самозанятым или ИП.  * Достойное вознаграждение: «в рынке» и даже чуть интереснее.  * Преимущественно новые проекты без поддержки старого ĸода.  * Интересные и амбициозные задачи, дающие ощущение причастности к значимому делу, которым можно гордиться.  * Возможность непосредственно влиять на создание и развитие продукта.  * Действительно отличную команду, с которой можно обсудить идеи и осуществить наиболее удачные из них.  * Возможность сильно прокачаться в процессе реализации смелых идей, идущих на пользу проектам: большое поле возможностей и экспериментов.",,2022-01-13T22:12:00.280+03:00,WILDBERRIES,REMOTE,False
6,"React, TypeScript",Frontend разработчик React (Middle/Senior),51273962,"Привет! Мы - активно растущая компания, разрабатываем свои собственныепродукты в области информационной безопасности, которые позволяют нашимклиентам автоматизировать управление ИБ, а также производить мониторинг иреагирование на инциденты.Наши продукты используют более 100 клиентов в России и странах СНГ. Среди них:ВТБ, Альфа-Банк, Россельхозбанк, РЖД, Газпромнефть, Ростелеком, СТС-Медиа идругие крупные компании.**Сейчас мы ищем React-разработчика в одну из продуктовых команд.****R-Vision Threat Intelligence Platform (TIP)** представляет собойспециализированную платформу управления данными киберразведки. Платформаобеспечивает автоматический сбор, нормализацию и обогащение индикаторовкомпрометации, передачу обработанных данных напрямую на внутренние средствазащиты, а также поиск и обнаружение индикаторов в инфраструктуре организации спомощью сенсоров.**Какие задачи?**Главная задача: развивать фронтенд направление продукта. Строить сложнуювизуализацию, решать технические задачи, используя весь свой творческий идевелоперский потенциал.В данный момент ищем тимлида в команд. При наличие желания есть возможностьразвиваться в данном направлении.Мы не поддерживаем IE и используем современные API.У нас есть свой UI Kit, которым занимается команда из разработчиков разныхпродуктовых направлений, при желании можно принимать участие в его разработке.**Какой стек?**Frontend:  React/Redux, TypeScript, SCSS/StyledComponentsBackend:  Docker  Node.js/TypeScript, Rust, PostgreSQL, Rocksdb, ClickHouseПри желании можно работать фуллстеком.**Если кратко, мы ждем от тебя что ты:**  * Разбираешься в React и его экосистеме.  * Умеешь проектировать UI/UX.  * имеешь свое мнение и можешь аргументированно объяснять свои идеи.**Будет большим плюсом, если ты:**  * Интересуешься сферой ИБ (атаки, сети, решения и т.д.).  * Владеешь английским языком на уровне чтения документации.**Какая команда?**В компании все команды независимые, в каждой есть Product Owner, ProjectManager, Аналитики, Разработчики, Тестировщики и Дизайнеры.**Какие процессы?**Работаем по скраму, итерации 2-ух недельные, ретроспективы, дейли митинги исозвоны с неформальным общением.Ведем задачи в Jira, общение в Slack, код храним в GitLab.**Остальное:**  * Работать можно удаленно или в офисе, или совмещать.  Офисы есть в Москве, СПб и Краснодаре.  * График работы 5/2, начало дня по договоренности с лидом команды (в среднем с 10 по Москве).  * Оформление по ТК РФ, отпуска и больничные оплачиваются.  * ДМС после полугода работы.  * Ходим/смотрим конференции, отправляем на необходимые обучения, покупаем умные книжки за счет компании.  * Регулярно проводим вебинары/доклады/мастер-классы внутри компании на интересующие нас темы.  * Пересмотр ЗП 1-2 раза в год по итогам Performance Rewiev",,2022-01-18T15:38:52.567+03:00,Р-Вижн,REMOTE,False
7,,Middle/Senior GoLang developer (core team),49518470,"**Мы -- TechHub криптовалютной платформы EXMO. Биржа EXMO зарегистрирована вВеликобритании, офисы компании находятся в Лондоне, Москве, Курске, Киеве.****В Московском офисе мы собрали сильную техническую команду и продолжаемрасти. У нас нет бюрократии, мы ставим ясные цели, а все вопросы решаембыстро.****Все сотрудники EXMO разные, но нас объединяет одно: желание сделатьбезопасный и надежный сервис для работы с криптовалютами. Мы ищем людей,которые вместе с нами будут расти и делать сервис еще лучше.****Присоединяйся! :)**Мы пишем на Golang. Используем Event Sourcing и CQRS архитектуру, с радостьюнаучим и обучим. Практикуем сервисный подход к построению ПО, используем Kafkaдля межсервисного общения. Все сервисы заворачиваем в Docker-контейнеры идеплоим через Gitlab CI/CD. Снимаем метрики Prometheus и строим графики вGrafana. На постоянной основе практикуем командные code review. Используемgolangci linter-ы и пишем unit- и функциональные-тесты. Проводим стресс-тестирование наших сервисов, профилируем и оптимизируем проблемные участкикода.     **Обязанности:**  * разработка нового функционала (highload);  * оптимизация и доработки существующих сервисов;  * участие в принятии архитектурных решений;  * написание unit- и функциональных-тестов;  * командное code review.**Кого мы ищем:**  * опыт коммерческой разработки на Go от 1 года;  * опыт написания unit- и benchmark-тестов;  * опыт создания и настройки распределенных сервисов;  * понимание и соблюдение принципов SOLID, KISS;  * понимание стека TCP/IP;  * знание принципов построения высоконагруженных систем;  * опыт работы с unix, git, docker.**Плюсом будет:**  * знание базовых структур данных, понимание асимптотической сложности алгоритмов;  * опыт работы с Java / C / C++ / C# / Rust;  * опыт разработки сервисно-ориентированных решений;  * опыт построения высоконагруженных систем;  * опыт работы с брокерами сообщений (Kafka / RabbitMQ / NATS);  * опыт работы с протоколом WebSocket;  * опыт работы с Embedded DB (BoltDB / BadgerDB).**Что мы предлагаем:**  * Интересные и нетривиальные задачи;  * Профессиональный рост, Обучение за счет Компании (конференции, тренинги, курсы, менторство);  * Оплачиваемый выходной в День Рождения и денежный комплимент от Компании;  * Компенсируем затраты на спорт и обучение английскому языку;  * Финтех, с миллионами клиентов по всему миру;  * Официальное оформление, белая заработная плата;  * Прозрачные цели и результат, у нас нет проектов “в стол“;  * Быстрое решение любых вопросов внутри компании;  * По желанию Удаленка или уютный офис м.Павелецкая/Серпуховская, 3 минуты пешком;  * ДМС в хороших клиниках со стоматологией и страховкой выезда зарубеж;  * Компенсируем больничные и отпуска выше, чем по ТК РФ;  * Зачисляем на ваш счет EXM (аналог опционов);  * Материальная помощь при рождении детей, свадьбе.",,2021-11-10T19:13:58.537+03:00,EXMO,REMOTE,False
8,"Git, Ruby, Ruby On Rails",Ruby on Rails разработчик,49913947,"**NAUMEN** — российская ИТ-компания. Она создает и внедряет решения, которыепомогают бизнесу и государству перевести клиентов в цифровую среду и избавитьсотрудников от рутины, оставив время для решения более важных задач. Более 200млн пользователей из России, стран Европы и Азии в повседневной жизнипользуются решениями NAUMEN.Главная ценность **NAUMEN** — это люди, которые горят идеей и желаниемсоздавать интеллектуальные решения. Открытость и поддержка руководства,разнообразие продуктов и технологий позволяют создать комфортную среду дляроста и развития каждого сотрудника. Это подкрепляется рейтингами: NAUMENвходит в топ-35 лучших работодателей по версии Forbes и в топ-5 ИТ-работодателей по версии hh.ru.Мы ищем **Ruby on Rails разработчика** в продуктовую команду **Скорозвон**.**Скорозвон** — облачный сервис, который помогает бизнесу в коммуникациях склиентами. Помимо телефонии, он включает в себя CRM, транскрибацию и анализречи, IVR и роботов. Также сервис интегрируется с популярными CRM-системами,dash-бордами, маркетплейсами и многим другим. Клиенты могут нанимать удаленныхсотрудников и не привязываться к их местонахождению, наличию оборудования ивозможностям передвижения.Например, Яндекс.Такси использует Скорозвон, чтобы организовать поддержкупользователей, а Greenpeace — для связи с инвесторами, чтобы рассказать озапуске нового проекта.Нашим сервисом пользуются тысячи клиентов, поэтому мы с вниманием относимся квопросам стабильности, оптимизации нагрузки и горизонтального масштабирования.Мы используем гибридную модель управления проектами - берём лучшее от Agile,но с ориентиром на стратегическую цель и конечный результат. Мы проводимсовместное планирование, ретроспективы\техно-ретроспективы и регулярныемитинги так, чтобы они помогали разработчикам, а не мешали им.В основном задачи будут связаны с улучшением CRM системы, которая написана наRuby On Rails. Но если есть желание расширить свой технологический стек, можнопознакомиться с Elixir, Golang, Python, Rust и прочим. У каждого разработчикаесть возможность предлагать новые технические решения, участвовать в ихвнедрении и в развитии продукта в целом.**Над чем предстоит работать:**  * вести разработку на Ruby On Rails и сопутствующих технологиях;  * расширять функциональность и возможности системы;  * реализовывать микросервисы и интегрировать их в облачную архитектуру  * повышать производительность и отказоустойчивость системы;  * взаимодействовать с командами аналитики, тестирования, devops.**Чтобы справляться с задачами нужны:**  * уверенное знание Ruby/Ruby On Rails, начиная от уверенного middle и заканчивая senior+;  * знакомство с Docker, Docker-compose;  * понимание и умение применять принципы ООП, SOLID, структурные и порождающие паттерны, анти-паттерны программирования;  * общее понимание реляционных баз данных, ORM - его слабости и преимущества. Прикладное знакомство с PostgreSQL на уровне понимания плана выполнения, ярких фич и особенностей данной СУБД;  * опыт работы с распределёнными системами управления версиями - Git или подобное.**А также вам помогут:**  * знания нереляционных СУБД и понимание, для чего они нужны. Например, Redis, Elasticsearch;  * опыт обращения с k8s на уровне диагностики сервисов;;  * знания или желание познакомиться с Elixir/Phoenix;  * желание и готовность расширять свой технический кругозор.**Вас ждет****Работа со смыслом:**  * создаем инновационные ИТ-продукты для клиентов из рейтинга крупнейших российских компаний;  * продуктами NAUMEN пользуется 200 млн человек;  * каждый выполняет свои задачи, не отвлекаясь на рутину;  * разрабатываем, внедряем, поддерживаем наши продукты и решения;  * у вас будет возможность влиять на развитие и качество продуктов.**Развитие:**  * индивидуально подходим к планированию карьеры каждого сотрудника;  * делимся экспертизой внутри команды и за пределами компании;  * поддерживаем и помогаем реализовать идеи сотрудников;  * развиваем ИТ-сообщество: проводим образовательные спецкурсы в вузах, создали и развиваем JUG.EKB;  * сотрудники NAUMEN удовлетворены своим развитием на 8,2 балла из 10;  * сотрудники NAUMEN оценивают профессионализм коллег на 9,4 балла из 10.**Забота и комфорт:**  * гибкий график работы;  * расширенный социальный пакет, включая ДМС;  * система адаптации и наставничества;  * дружелюбная атмосфера и насыщенная корпоративная жизнь;  * отсутствие open space.",,2021-11-24T13:38:03.165+03:00,NAUMEN,REMOTE,False
9,"Git, TypeScript, Linux, JavaScript, GraphQL, React, Electron, Cypress",Middle Front-end разработчик JavaScript / React,51961655,"​​​​​​MPI производитель программного обеспечения для организаций.Программное обеспечение MPI Supply Chain было разработано при поддержкеинженеров компании Zebra на основе международного многолетнего опыта ZebraTechnologies по обслуживанию тысяч клиентов, в том числе многих ведущихкомпаний в мире.**О проекте**Мы ищем в команду сильных Font-end разработчиков для работы в крупноммеждународном проекте по разработке BPM-системы._Предстоящие задачи:_  * Разработка нового функционала продукта, которым будут пользоваться компании и предприниматели по всему миру;  * Поддержка существующей реализации продукта;  * Активное участие в проектировании и разработке клиентской архитектуры приложений;  * Выявление возможностей по улучшению используемых компонентов, процессов и инструментов, внедрению их в практику._Наши технологии и инструменты:_  * Клиентская часть приложения (Front-end) реализуется в виде SPA (Single Page Application) на основе WEB технологий (TypeScript, React, Apollo GraphQL, MUI, Electron, Jest, Cypress).  * Серверная часть (Back-end) разрабатывается на языке Ruby (Ruby on Rails). Отдельные части системы (микросервисы) написаны на других языках, таких как Scala, Rust.  * Для совместной разработки мы используем Gitlab, Discord, Trello. Наши разработчики используют для разработки комфортную для них ОС (Windows, Ubuntu, Mac OS, ...) и среду разработки (IntelliJ IDEA, RubyMine, VS Code, Sublime...)**Что мы хотим видеть от Вас:**  * Опыт разработки на ReactJS от 2-х лет или уверенное знание React и обширный опыт Frontend разработки с использованием других технологий.  * Знание React Hooks, все новые компоненты приложения пишутся только на хуках.  * Знание TypeScript или опыт работы с другими строго типизированными языками, который позволит быстро освоить TypeScript.  * Уверенное знание HTML5, CSS3, кроссбраузерной и адаптивной верстки;  * Опыт работы с системами сборки (такими как Webpack);  * Опыт работы с Git;  * Умение писать рабочий, поддерживаемый и тестируемый код;  * Знание классических алгоритмов и структур данных;  * Готовность к доработке существующего функционала;  * Интеграция с backend (взаимодействие с backend-разработчиками);  * Оценка задач и участие в планировании работ;  * Участие в разработке архитектуры приложения;  * Участие в код-ревью.**Плюсом будет:**  * Знание Gitflow  * Знание GraphQL;  * Знание Linux;  * Примеры кода на Github;  * Опыт работы в Open Source проектах;  * Опыт написания тестов с использованием Jest и Cypress  * Опыт разработки React Native  * Наличие законченных проектов с применением различных фреймворков;  * Опыт работы в роли Team Lead;**Что мы предлагаем:**— Современный процесс разработки - мы стремимся использовать новые технологиии всегда открыты идеям;— Достойная заработная плата по результатам собеседования, оформление по ТКРФ;— Удобный офис или удаленный формат работы;— Корпоративные бонусы;— Молодой дружный коллектив, взаимопомощь и поддержка;— Такси за счет компании, если вы решили задержаться на работе дольше двухчасов.**Условия для работы:**— Мы уважаем и ценим уровень знаний каждого члена команды. Смещаем фокусвнимания на результаты и решения, не тратим ресурсы на поиски виноватых.— Все важные решения принимаются решительно и быстро, принимая во вниманиемнение каждого заинтересованного члена команды.— Возможность расширять свой инструментарий и применять новые средстваразработки и подходы;— Команда - это дружные и опытные профессионалы, которые любят учиться иделиться опытом и хаками;— Работа в культуре стартапа: мы любим новое и приветствуем изменения в лучшуюсторону;— Мы скучаем по нашим удаленщикам и стараемся встречаться оффлайн всейкомандой за порцией стейка и чашкой чая с облепихой;— Есть возможность работать в нашем офисе в г.Иннополис, Москва или Казань._Условия сотрудничества обсуждаются индивидуально при собеседовании._Пожалуйста, укажите в своем резюме/сопроводительном письме ссылки на примерыработ. Спасибо!",,2022-01-31T15:55:47.763+03:00,MPI,FULL_DAY,False
