,key_skills,name,id,description,salary,creation_time,employer,schedule,accept_temporary
0,"Development, English, Solidity, Remix, Ethereum, Solana, DeFi, Crypto","Senior Blockchain Developer, DeFi (+Опцион на токены)",51289012,"**Пожалуйста, укажите в сопроводительном письме ссылки на проекты/контрактыгде работали.    About Us**  WeBill is building the future of Web3 leverage.  We believe that by allowing users to use crypto without understanding cross-chain bridges and DEXs, we will simplify the onboarding of new people to Web3and evolve the financial world.**What we 're looking for**  We’re looking for enthusiastic, self-motivated people to help us build thenext generation of financial products.**Ideal candidate**  * At least 1 year of Solidity or Rust development  * Experience in developing valid smart contracts on Ethereum / Solana / Near (great if you have experience with L2 / sidechains)  * Expertise in protecting smart contracts from hacking, namely: knowledge of the main types of attacks and measures to counter them  * Knowledge of smart contract upgrade techniques  * Possession of testing, diagnostics, and profiling tools for smart contracts  * Possession of techniques for optimizing the consumption of gas using assembler inserts**What you will do**  Development of a smart contract that is in 1 transaction: receive payment -swap on DEX - sending to the cross-chain bridge. Need to support 2 DEXs (1inchand SushiSwap) and 6 cross-chain bridges.✅ This position is full-time and 100% remote with no geographicalrestrictions. You can work from anywhere in the world or, if want, from ourMoscow office.","{'from': 6000, 'to': 15000, 'gross': False, 'currency': 'USD'}",2022-01-18T19:55:00.090+03:00,webill.io,FULL_DAY,True
1,"Rust, Git, Английский язык, C/C++",Senior Rust Engineer (Core),50687789,"High-tech blockchain startup is searching for someone experienced with high-performance and high-secure code practices. We code in Rust.The options of work from the office in the city center of Moscow or remotework are available to candidates.     **Requirements:**  \- Rust or several years of C/C++ experience.  \- Compiler internals experience  \- Understanding of virtual machines.  \- Good computer science fundamentals  \- Cryptography is a +   **We offer:**  \- More than a competitive salary.  \- Cutting-edge technologies and projects  \- Equity in shares and tokens.  \- Conference budget.  \- Team retreats all over the world  \- No managers, no scrums, no schedules and no tasks. We just design and code.","{'from': 300000, 'to': 700000, 'gross': True, 'currency': 'RUR'}",2021-12-24T18:37:07.128+03:00,Gear Technologies Inc,FULL_DAY,False
2,"Английский — B2 — Средне-продвинутый, Информационные технологии, Разработка компьютерных Игр",Программист-разработчик игр (Senior),51540865,"Мы расширяем свою gamedev-команду и ищем заинтересованных программистов дляразработки компьютерных игр под различные платформы на нашем собственномязыке.**У нас вы получите возможность** :  \- применять все знания и опыт в сфере IT для разработки уникальных продуктов,которыми можно гордиться  \- принимать архитектурные решения по создаваемым продуктам  \- участвовать в полном цикле разработки и предлагать любые улучшения  \- получать справедливую оплату, соразмерную вашему вкладу**Нам важно, чтобы вы** :  \- имели твёрдые фундаментальные знания математики и информационных технологий  \- имели отличные знания и реальный опыт программирования на языке C, C++ илиRust (не в учебных проектах)  \- имели отличные знания и опыт программирования для GPU (работы с шейдерами)  \- имели опыт работы с базами данных, в том числе их проектирования  \- хорошо ориентировались в сетевых технологиях и протоколах  \- умели работать с системами контроля версий и ишью-трекерами  \- хорошо понимали, во что превращается ваш код, и как он работает на низкомуровне  \- не боялись сложностей и получали удовольствие от решения нестандартныхзадач**Мы обрадуемся** , если вы также имеете опыт/навыки работы с Unix, Android,web-программирования, знаете принципы построения компиляторов.У нас возможна удалённая работа по любому удобному вам графику.  Оплата производится не за количество проведённых за компьютером часов, а зазавершённые задачи. Все задачи оцениваются перед выполнением.","{'from': 300000, 'to': 600000, 'gross': False, 'currency': 'RUR'}",2022-01-22T16:01:39.023+03:00,ГравиЛинк,FLEXIBLE,False
3,"Английский — B2 — Средне-продвинутый, Blockchain, Smart Contracts, Ethereum, Solidity, Truffle",Blockchain Engineer Solidity,51741118,"A company with HQ in Singapore building execution tools on CeFi and DeFi islooking for a passionate Blockchain Developer to join their team.The company provides traders with a unique execution platform to trade througha single app.  Our mission is to build the number one execution platform which helps tradersremain agile in the rapidly moving trading market. We are recently backed byleading VCs (Cherry Ventures, Kronos Research, Mechanism Capital, MGNR, SinoGlobal Capital, XBTO, and more).You will be part of a young & passionate group of developers in an environmentwhere you can make a real difference at this early stage of a company’sgrowth. The small global team is currently distributed across France, Brazil,and Hong Kong since decentralization is core to everything we do, from ourglobal remote working setup to our business operations.If you are a self-motivated individual who loves embracing engineeringchallenges with a laser focus on unlocking tomorrow’s possible today andproviding that experience for thousands of users around the globe, you willfit right in.**Responsibilities:**  * Design, develop, program, test, debug, deploy and maintain smart contracts code;  * Keep up to date with the latest trends and developments in the DeFi space;  * Participate in the overall structure design of our decentralized application platform and the optimization and improvement of security, performance, and incentive algorithms;  * Responsible for the daily operation and maintenance of decentralized applications to ensure the stable operation of the production system 24/7 hours.**Requirements:**  * 5+ years of experience in commercial development;  * A good grip of building and designing Smart Contracts;  * Good understanding of Ethereum and Solidity (Hardhat, Truffle, etc.);  * Experience with at least one of the following programming languages: C, Nodejs, Python, Golang, Rust;  * Strong knowledge of DeFi trading in general & flashbots in particular.**Nice to have:**  * Experience in DeFi Market Making;  * Full-stack abilities (e.g. data management, server architecture...);  * Understand and have hands-on experience in applied cryptography.**Conditions:**  * Competitive salary;  * Additional equity bonuses through meritocratic reward mechanisms;  * Remote working - travel, and work from anywhere in the world;  * Paid vacation and sick days;  * Ownership, Deep-thinking, Diversity.","{'from': 6000, 'to': 14000, 'gross': True, 'currency': 'USD'}",2022-01-25T21:45:25.537+03:00,Top Remote Talent,REMOTE,True
4,"Blockchain, Kubernetes, Rust",Blockchain/Rust Engineer,52118417,"Мы - команда амбициозных профессионалов с опытом работы в Glu Mobile (частьElectronic Arts), Scopely, Wargaming, Mail.ru и др, основанная в 2021 году.Сейчас нас 50+ человек, мы быстро растем и ориентированы на результат, нашакоманда любит играть в игры так же сильно, как и создавать их.Как инженер-программист Blockchain в команде Mini Royale: Nations, вы будетеработать над всеми аспектами игры в сети, а также интегрироваться с другимисервисами, такими как кошельки Web3, приложения DeFi и другие. Вы также будететесно сотрудничать с игровыми инженерами для интеграции всех сетевых иавтономных систем     **Мы предлагаем:**● Перспективы профессионального и карьерного роста и развития;● Хорошая зарплата **до 9.000$ на руки** , а также бонусы в Solana и токенахкомпании;● Зарплата выплачивается на карту или счет в России, Украине, Беларуси, США,ЕС;● Распределенная по всему миру команда, работающая в MSC+ - 2-3 часа;● **Оформление по ТК** или ГК, возможна релокация в ЕС;● Дружная молодая команда всесторонне развитых технических и гуманитарныхлюдей, ориентированных на успех;● Демократическое руководство и четкая коммуникация;● Возможность не только работать и зарабатывать, но и учиться чему-то новому.**Мы от вас ожидаем:**● Практический инженерный опыт и знания в области блокчейн-технологий: Solanaили Ethereum;● Глубокое знание Rust, Golang и опыт разработки блокчейн-технологий ИЛИопыт работы над крупными / масштабируемыми проектами с Rust и Go, качествеглавного инженера;● Опыт проектирования и разработки крупных горизонтально масштабируемыхсистем с большим объемом транзакций● Опыт работы с Docker, Kubernetes, AWS, Terraform;    **Что будет входить в ваши задачи:**    ● Разрабатывать и внедрять различные типы смарт-контрактов на Solana (включаятокены, торговые площадки, договоры эскроу и игровую механику);● обеспечивать высочайший уровень надежности и безопасности благодарятщательному аудиту и тестированию всего кода контракта;● Придерживаться высочайших стандартов архитектуры и оптимизации и думать наперспективу, создавая новые функции для миллионов наших игроков;● Сотрудничать с командами дизайнеров, художников, продюсеров и руководителей,чтобы создавать функции и инструменты разработки для наших игр;● Выявлять и формулировать технические и производственные риски и препятствия,а также предлагать способы их решения;● Быть в курсе последних разработок в области блокчейна;**Если ты хочешь, присоединиться к нашей команде, смело отправляй свой откликtg: @Alexandr_IT_HR**","{'from': 6000, 'to': 9000, 'gross': False, 'currency': 'USD'}",2022-02-04T16:29:21.198+03:00,Wanted,FULL_DAY,True
5,"Blockchain, Rust, DeFi, NEAR Protocol, DEX, Order book",Lead/Senior/Middle Rust Developer,50789953,"Algalon Capital is looking to hire a Lead/Senior/Middle Rust Developer(https://spin.fi).**About Spin:**Spin is a multichain DEX that makes decentralized crypto futures and optionstrading more efficient by providing traders with advanced risk management andstrategy-building tools, as well as a superior Central Limit Order Bookexecution model. The first blockchain to be supported is NEAR Protocol.The team behind the project has experience in algorithmic trading and buildingproducts, including blockchain tech-based.We are a passionate group of hardworking and fun individuals spread out allover the world, working to build the initial core products of Spin Financewhile striving for decentralization.The project is supported by Tier 1 crypto VC and market makers.**Responsibilities:**  * Work together in a senior team  * Pitch your ideas regarding (technical) design  * Sync with NEAR developers building other things in the space**Requirements:**  * 3+ years of experience as a software engineer  * Strong proficiency in Rust, C++, or Golang (or other systems language)  * Extensive knowledge of virtual machines or blockchain node software  * Ability to design, research, and develop blockchain-based solutions  * Excellent communication skills**Nice to Have:**  * Experience with blockchain protocols, whether it be the usage of a blockchain API, knowledge of how a blockchain operates, or any other experience  * Experience with distributed systems, peer-to-peer systems, network programming, and cryptography  * Experience writing software from a technical specification or a reference implementation  * Experience maintaining a large codebase with many components and keeping it well-designed, future-proofed, and modular  * Experience with documenting a large codebase, both for internal and user-facing components  * Familiarity with open-source software principles**Location:**This is a full-time position that is 100% remote or in the office in MoscowCity.Please apply with a link to your GitHub repo.","{'from': 4000, 'to': 12000, 'gross': False, 'currency': 'USD'}",2022-01-04T10:01:05.352+03:00,Algalon Capital,FULL_DAY,False
6,"Английский — B1 — Средний, Rust, APIs",Rust Developer,51331781,"Кто мы?Мы - партнёры западно-европейской компании, разрабатывающей инновационноекомплексное решение для управления трафиком грузовых и пассажирских дронов вгородских условиях. Вам предстоит разрабатывать систему для построениямаршрутов и автоматического управления беспилотными летательными аппаратами вгороде.Почему мы?\- Наша молодая, но уже опытная компания разрабатывает решение совместно сведущими мировыми авиастроительными концернами и производителями автомобилей\- Разрабатываемое решение находится на пике технологий как по архитектуре,так и по стеку\- Разнообразная команда из разных стран Мира, включающая в себя от студентовдо главных инженеров и менеджеров из таких индустрий как авиастроение,телеком, разработка ПО\- Более чем адекватное руководство и отличная рабочая атмосфера\- Возможность улучшить английский язык\- Удалённая работа с относительно свободным графиком - мы ценим прежде всегорезультат\- Достойная рыночная оплата трудаКого мы ищем?Опытных middle/senior Rust-разработчиков для удаленной работы в русско-немецкой команде.**Что мы ждем от Вас:**— Желателен опыт разработки на Rust от 2х лет  — Разговорный английский (Intermediate+)Будет плюсом:\- Опыт разработки APIs  \- Опыт программирования для встраиваемых систем  \- Общие познания в физике, теории управления  \- Интерес к авиации, дронам","{'from': 150000, 'to': 250000, 'gross': True, 'currency': 'RUR'}",2022-01-19T12:13:57.555+03:00,Тихменев Дмитрий Ярославович,REMOTE,False
7,"JavaScript, Kubernetes, Terraform, Ansible, Python","Senior Software Engineer, Infrastructure",50485167,"At Cube we are building a technology stack for modern analytics. If you arefascinated by the software that powers large technology companies but want thechallenges and freedom that come with working in a small startup, then the jobat Cube.js is for you.  We are a small and dedicated team in San Francisco, funded by top-tier SVinvestors, working on making advanced analytics infrastructure developed atlarge tech companies accessible to all developers around the world.We are focused on bottom-up adoption, and most of our software is open-source.At Cube, you will be part of a vibrant community. Cube users often engage withthe company on GitHub and Slack.Thousands of developers are using Cube to build analytics applications and wewant to help them be successful. That’s why we're looking for aninfrastructure engineer to join our Cube.js Core team to build state-of-the-art analytics data access technology.Some of the problems you'll be working on:**Cube Cloud PaaS Infrastructure.** Cube Cloud provides a platform as aservice infrastructure to deploy Cube applications in production capacity atscale. Being based on AWS, GCP, Azure and other cloud providers it's asophisticated cloud in cloud implementation with a lot of variousinfrastructure challenges.**Dev infrastructure.** As the team at Cube Dev grows, developer productivitybecomes one of the most critical factors of success. As an infrastructureengineer, you’ll be responsible for improving our CI/CD pipeline, maintainingdifferent staging environments, and ensuring nothing stay in the way of ahigh-quality product being delivered to Cube Dev customers.**Cube Cloud hybrid and self-hosted deployments.** While PaaS is the maindelivery option for Cube Cloud, larger enterprise clients can choose to runour product partially or fully inside their cloud environments. Supporting allthree options simultaneously bring a lot of unique infrastructure challenges,and you’ll be working on solving them as part of the Cube Cloud team.**Requirements**● Understanding of major cloud environments (AWS, GCP, Azure).● Experience using IaC tools such as Terraform, Pulumi or Ansible.● Strong knowledge of Kubernetes.● Ability to write code in JavaScript, Python, PHP, or similar.● Good communication skills.● Fluent English.● Previous startup experience or interest in working in a small fast-movingcompany.**Bonus points** ﻿● Strong knowledge of JavaScript/TypeScript● Experience with Pulumi● Experience writing code in Rust● Experience in data engineering, building analytics applications, or OLAP.","{'from': 8000, 'gross': True, 'currency': 'USD'}",2021-12-15T16:04:15.603+03:00,Cube Dev,FULL_DAY,False
8,"Английский — C1 — Продвинутый, Python, PostgreSQL, Docker, REST, Databases, Django Framework, Linux, AWS, Flask",Senior Backend Developer (Remote),50862608," **About the position**We are passionate about music and create a revolutionary product that willaffect the way millions of people study and play music every day. We aresearching for an experienced senior software engineer ready to join our effortand help us build the foundation of our solution – a scalable backend capableof handling thousands of simultaneous users by means of the latest cloudtechnologies. Our product will provide millions of amateurs and professionalsinstant access to the majority of the world’s music heritage.**Job Responsibilities:**  * ​​​Establish a scalable ecosystem of services to serve mobile/web clients around the world  * Design and maintain ReST API’s for internal and public use in close collaboration with frontend teams  * Troubleshoot failures and performance bottlenecks, improve and extend services, including those from open-source communities  * Contribute to best practices, improving code style, and a culture of improvement over iteration**What we expect from you:**  * You have at least 5 years of experience in developing and maintaining cloud services in Python (FastAPI, Flask, or Django) services  * You see Docker as an essential part of any large software project  * You are confident at the Linux command line  * You are confident in writing efficient SQL and data organization (PostgreSQL, MySQL/MariaDB)  * You are self-driven, collaborative, and constantly learning  * You follow basic principles like DRY (Don’t Repeat Yourself) and PFE (Proudly Found Elsewhere)  * Fluent English skills**What will be a bonus**  * Hands-on experience with Amazon Web Services or Google Cloud Platform  * Practical experience with Elasticsearch used as a search engine  * You do care about data and have experience with data processing tools or platforms  * You have basic experience with Java (Spring/OSGi), Go or Rust (Rocket)  * Experience in securing services and protecting data (e.g. using Cryptography or PyNaCl)  * You apply Kanban and Scrum principles in your daily work  * You prefer test-driven development (TDD)**What we offer you:**  * Competitive compensation scheme  * Remote work possibility with our development team in Berlin  * Small team, flat hierarchy, founder-led start-up  * We value diversity. You will only be judged based on your skills and fit for the job  * We are open-minded! You are more than welcome to criticize and improve our processes and working culture  * High-quality standards: your colleagues are experienced professionals  * Top-notch hardware equipment  * Great career opportunities – you will be an essential part of a new product, shaping its architecture and software design  * Work in a start-up with a high valuation and a 7-figure funding","{'to': 6800, 'gross': True, 'currency': 'EUR'}",2022-01-10T12:31:09.431+03:00,Enote GmbH,FULL_DAY,True
9,"Английский — B2 — Средне-продвинутый, Rust, Git, JavaScript, Python, Linux, Английский язык, AWS, azure",Senior Software Engineer - Security,51353274,"At Cube Dev, we are building the API layer for data apps.We are focused on developer success, bottom-up adoption, and open source.Cube.js, our flagship open-source product, has 12,000 stars on GitHub and4,000 developers in the community Slack. Cube.js is used by companies rangingfrom Apple, Intel, and Walmart to fast-growing Silicon Valley startups.Currently, we are a 30-person remote-first team distributed over the US, UK,and Europe with an HQ in San Francisco. Having raised our Series A in July2021, we're funded by top-tier Silicon Valley venture funds that havepreviously invested in Redis, Hazelcast, Gradle, and other infrastructuresoftware startups.Some of the problems you'll be working on:  * **Proactively improving Cube Cloud security.** Cube Cloud provides a platform as a service infrastructure to deploy Cube applications in production capacity at scale. It's a complex software system spanning multiple clouds (AWS, GCP, Azure), as well as on-prem deployments. In this role you'll own the security side of the system, and will eventually start and run the security team at Cube.  * **Implementing necessary product changes to improve security** It's a hands on role and you're expected to be able to implement some of the security fixes by yourself and/or coordinate the effors with the rest of the Cube Cloud team.  * **Responding to security reports.** You will monitor and respond to reports coming via our email, bug bounty program, responsive disclosure program or through other channels.  * **Ensuring Cube Cloud complies with highest security standards.** You will arrange external audits and pen-tests to ensure Cube Cloud complies with various security standards in the industry.**Requirements**  * Ability to write code in JavaScript, Python, PHP, or similar  * Strong knowledge of Kubernetes  * Past experience in a security-related role  * Strong knowledge of information security fundamentals  * Experience using security scanners such as Qualys, Nessus, etc.  * Understanding of major cloud environments (AWS, GCP, Azure)  * Good communication skills  * Fluent English**Bonus points**  * Participation in security contests  * Experience writing code in Rust  * Understanding of the BI space","{'from': 8000, 'gross': True, 'currency': 'USD'}",2022-01-19T15:43:33.191+03:00,Cube Dev,REMOTE,False
