,key_skills,name,id,description,salary,creation_time,employer,schedule,accept_temporary
0,"Solidity, Blockchain, Ethereum",Senior Blockchain/Solidity Developer,48545616,"Привет! Мы, Mobigility Inc — международная команда разработчиков с главнымофисом в Нью-Йорке. В нашей команде разработчики из США, Италии, польши,России, Беларуси, Украины. Работаем полностью удалённо. В данный момент ведёмразработку AR-платформы с применением блокчейн технологий и готовы предложитьдолгосрочный контракт от 1 года. Гибкий график работы.**Что предстоит делать**  * Разработка игры на блокчейне Ethereum  * Разработка блокчейн-части крипто-биржи  * Поддержка и апгрейд действующих смарт-контрактов  * Масштабирование существующей блокчейн-инфраструктуры на новые совместимые с Ethereum сайдчейны**Требования**  * Опыт разработки действующих смарт-контрактов, в которых была заблокирована ликвидность не менее 30 ETH  * Наличие экспертизы по защите смарт-контрактов от взлома, а именно: знание основных видов атак и мер по противодействию им  * Владение техниками апгрейда смарт-контрактов  * Владение инструментами тестирования, диагностики и профилирования смарт-контрактов  * Владение техниками по оптимизации расхода за GAS с помощью ассемблерных вставок**Будет плюсом**  * Опыт работы с сайдчейнами**Условия**  * Удаленная работа в русскоязычной команде разработчиков  * Полный рабочий день и гибкий график  * Стабильность и официальное оформление по ТК РФ или работа с ИП  * Белая заработная плата, уровень оклада согласовывается по результатам собеседования","{'from': 440000, 'to': 700000, 'gross': False, 'currency': 'RUR'}",2021-10-05T17:59:03.846+03:00,Mobigility Inc.,REMOTE,True
1,"Английский — B2 — Средне-продвинутый, Blockchain, Smart Contracts, Ethereum, Solidity, Truffle",Blockchain Engineer Solidity,51741118,"A company with HQ in Singapore building execution tools on CeFi and DeFi islooking for a passionate Blockchain Developer to join their team.The company provides traders with a unique execution platform to trade througha single app.  Our mission is to build the number one execution platform which helps tradersremain agile in the rapidly moving trading market. We are recently backed byleading VCs (Cherry Ventures, Kronos Research, Mechanism Capital, MGNR, SinoGlobal Capital, XBTO, and more).You will be part of a young & passionate group of developers in an environmentwhere you can make a real difference at this early stage of a company’sgrowth. The small global team is currently distributed across France, Brazil,and Hong Kong since decentralization is core to everything we do, from ourglobal remote working setup to our business operations.If you are a self-motivated individual who loves embracing engineeringchallenges with a laser focus on unlocking tomorrow’s possible today andproviding that experience for thousands of users around the globe, you willfit right in.**Responsibilities:**  * Design, develop, program, test, debug, deploy and maintain smart contracts code;  * Keep up to date with the latest trends and developments in the DeFi space;  * Participate in the overall structure design of our decentralized application platform and the optimization and improvement of security, performance, and incentive algorithms;  * Responsible for the daily operation and maintenance of decentralized applications to ensure the stable operation of the production system 24/7 hours.**Requirements:**  * 5+ years of experience in commercial development;  * A good grip of building and designing Smart Contracts;  * Good understanding of Ethereum and Solidity (Hardhat, Truffle, etc.);  * Experience with at least one of the following programming languages: C, Nodejs, Python, Golang, Rust;  * Strong knowledge of DeFi trading in general & flashbots in particular.**Nice to have:**  * Experience in DeFi Market Making;  * Full-stack abilities (e.g. data management, server architecture...);  * Understand and have hands-on experience in applied cryptography.**Conditions:**  * Competitive salary;  * Additional equity bonuses through meritocratic reward mechanisms;  * Remote working - travel, and work from anywhere in the world;  * Paid vacation and sick days;  * Ownership, Deep-thinking, Diversity.","{'from': 6000, 'to': 14000, 'gross': True, 'currency': 'USD'}",2022-01-25T21:45:25.537+03:00,Top Remote Talent,REMOTE,True
2,"Development, English, Solidity, Remix, Ethereum, Solana, DeFi, Crypto","Senior Blockchain Developer, DeFi (+Опцион на токены)",51289012,"**Пожалуйста, укажите в сопроводительном письме ссылки на проекты/контрактыгде работали.    About Us**  WeBill is building the future of Web3 leverage.  We believe that by allowing users to use crypto without understanding cross-chain bridges and DEXs, we will simplify the onboarding of new people to Web3and evolve the financial world.**What we 're looking for**  We’re looking for enthusiastic, self-motivated people to help us build thenext generation of financial products.**Ideal candidate**  * At least 1 year of Solidity or Rust development  * Experience in developing valid smart contracts on Ethereum / Solana / Near (great if you have experience with L2 / sidechains)  * Expertise in protecting smart contracts from hacking, namely: knowledge of the main types of attacks and measures to counter them  * Knowledge of smart contract upgrade techniques  * Possession of testing, diagnostics, and profiling tools for smart contracts  * Possession of techniques for optimizing the consumption of gas using assembler inserts**What you will do**  Development of a smart contract that is in 1 transaction: receive payment -swap on DEX - sending to the cross-chain bridge. Need to support 2 DEXs (1inchand SushiSwap) and 6 cross-chain bridges.✅ This position is full-time and 100% remote with no geographicalrestrictions. You can work from anywhere in the world or, if want, from ourMoscow office.","{'from': 6000, 'to': 15000, 'gross': False, 'currency': 'USD'}",2022-01-18T19:55:00.090+03:00,webill.io,FULL_DAY,True
3,"Solidity, Blockchain, Ethereum",Senior Blockchain/Solidity Developer,48545376,"Привет! Мы, Mobigility Inc — международная команда разработчиков с главнымофисом в Нью-Йорке. В нашей команде разработчики из США, Италии, Польши,России, Беларуси, Украины. Работаем полностью удалённо. В данный момент ведёмразработку AR-платформы с применением блокчейн технологий и готовы предложитьдолгосрочный контракт от 1 года. Гибкий график работы.**Что предстоит делать**  * Разработка игры на блокчейне Ethereum  * Разработка блокчейн-части крипто-биржи  * Поддержка и апгрейд действующих смарт-контрактов  * Масштабирование существующей блокчейн-инфраструктуры на новые совместимые с Ethereum сайдчейны**Требования**  * Опыт разработки действующих смарт-контрактов, в которых была заблокирована ликвидность не менее 30 ETH  * Наличие экспертизы по защите смарт-контрактов от взлома, а именно: знание основных видов атак и мер по противодействию им  * Владение техниками апгрейда смарт-контрактов  * Владение инструментами тестирования, диагностики и профилирования смарт-контрактов  * Владение техниками по оптимизации расхода за GAS с помощью ассемблерных вставок**Будет плюсом**  * Опыт работы с сайдчейнами**Условия**  * Удаленная работа в русскоязычной команде разработчиков  * Полный рабочий день и гибкий график  * Стабильность и официальное оформление по ТК РБ или работа с ИП  * Белая заработная плата, уровень оклада согласовывается по результатам собеседования","{'from': 6000, 'to': 10000, 'gross': False, 'currency': 'USD'}",2021-10-05T17:50:28.759+03:00,Mobigility Inc.,REMOTE,True
4,"Английский — B1 — Средний, Python, Linux, JavaScript, C/C++, Blockchain, Ethereum, Solidity, Смарт-контракт",Blockchain developer (Solidity),52109574,"_Привет!__Мы – команда **Rock’N’Block** , которая разрабатывает и внедряет блокчейнтехнологии.__Если ты ничего не знаешь про блокчейн - не переживай, мы расскажем и всемунаучим.__Тебя ждут только открытый исходный код, мировое комьюнити и СЛОЖНЫЕ задачи.__Наша главная цель – это показать пользователям насколько просто и удобноиспользовать блокчейн для повседневных задач, поэтому наш фокус - это красивыйUI и продуманный UX.__**Какие проекты мы делаем:**_  * _различные сервисы для криптовалют;_  * _аналоги банковских приложений, но с применением блокчейна;_  * _собственные блокчейны._________________________________________________________________________**В связи с ростом количества проектов, мы ищем будущего коллегу талантливогои нестандартно мыслящего Blockchain разработчика.****Что предстоит делать:**  * разработка архитектуры продуктов;  * участие в оценке требований и планировании работ;  * программирование сложных контрактов на solidity;  * работа как над собственными проектами Layer2 и ZK-proof, так и аутсорс контрактами;  * интеграция с существующими компонентами проектов, анализ кода.**Для этого необходимы навыки:**  * знание основных алгоритмов;  * умение работать с низкоуровнеными структурами данных;  * практический опыт разработки системы с ограниченными ресурсами;  * знание/понимание криптографии с открытым ключом, алгоритмов эллиптической кривой  * наличие общих знаний об устройстве блокчейна и/или шифрования;  * опыт программирования на JavaScript, Python или C/C++ - приветствуется;  * опыт работы с Linux системами, инструментами в командной строке, умение написать shell скрипт;  * наличие знаний или опыта работы с кодовой базой Ethereum, Solidity, Truffle - приветствуется.**Мы предлагаем:**  * работу в перспективной области и быстро растущей компании;  * молодой и дружный коллектив, мы умеем работать и отдыхать;  * самые современные технологии и отсутствие старого кода;  * амбициозные проекты и возможность профессионального роста в сильной команде разработчиков, мы всегда поможем и направим;  * лёгкость в принятии решений, мы против бюрократии;  * возможность подтянуть уровень английского, поддержим твое хобби;  * видовой офис в 3-х минутах ходьбы от м. Сенная/Садовая/Спасская;  * гибкое начало рабочего дня, возможность работать удаленно;  * хороший кофе, чай, фрукты, сладости;  * официальное оформление в соответствии с ТК РФ;  * испытательный срок – 1 месяц;  * при необходимости ноутбук для работы;  * достойный уровень оплаты труда, который определяется по результатам собеседования.  *",,2022-02-04T13:24:22.242+03:00,Манзони,FULL_DAY,False
5,Blockchain,Senior Blockchain / Back-end Developer,51794702,"Центр Реактивного Программирования занимается занимается разработкойсобственных и партнерских продуктов в наукоемких областях:  * Технологий распределенных реестров и блокчейна;  * Искусственного интеллекта и машинного обучения;  * Логистики и моделирования испытаний транспортных средств;  * Прикладной механики;  * Кибербезопасности и др.Мы ищем старшего разработчика blockchain / back-end в проект *Blueshift:Децентрализованная финансовая (DeFi) платформа для управления цифровымиактивами на базе blockchain.Наш проект - это:  * Передовая идея, подкрепленная математическим моделированием. Мы двигаем технологию вперед, а не повторяем чужие решения.;  * Опытная и высоко мотивированная команда;  * Сильные партнеры и инвесторы.**Технологический стек:**Blockchain:  * Solidity (Ethereum, Binance Smart Chain, Arbitrum, Milkomeda, ...);  * Cardano / Plutus.BE:  * Java, Python, TypeScript;  * Docker;  * Gradle, GitHub, Jenkins;  * AWS.FE:  * Vue, React.**Задачи:**  * Разработка децентрализованного протокола (смарт-контрактов);  * Разработка бэк-энд компонентов (обработка данных блокчейн, аналитика, оракулы).;  * Участие в разработке архитектуры системы, обсуждение технических решений с командой и архитектором.;  * Техническое руководство группой middle / junior разработчиков;  * Грамотное структурирование кода, разработка unit-тестов, профилирование, документирование кода.;  * Обеспечение безопасности протокола и устойчивости к атакам.;  * Review кода других разработчиков.**Для нас важны:**  * Опыт от 3-х лет на позиции blockchain / back-end разработчика;  * Высшее образование (техническое);  * Разговорный английский;  * Знание ООП, алгоритмов, шаблонов проектирования;  * Уверенное знание Solidity и EVM;  * Знание Java, Python, TypeScript;  * Опыт разработки смарт-контрактов;  * Опыт использования Maven / Gradle;  * Опыт работы с Git/GitLab;  * Опыт работы с Youtrack / Jira;  * Понимание гибких методологий разработки (Scrum);  * Сильные навыки командного взаимодействия;  * Опыт функционального программирования, знание Haskell будут преимуществами.**Условия** :  * Распределенная команда, нас 60 человек в разных городах;  * Проектные команды, agile;  * Гибкий график, возможна полностью удаленная занятость или работа в офисе в Санкт-Петербурге;  * Неформальная атмосфера и слаженный коллектив;  * ТК РФ, стабильная белая заработная плата;  * Профессиональное развитие, оплата конференций и обучения;  * ДМС, уроки английского и китайского.",,2022-01-26T15:28:34.318+03:00,Центр Реактивного Программирования,FULL_DAY,False
6,"Блокчейн, Blockchain, Information Security, EVM, Solidity, JavaScript, Безопасность, Удаленная работа, Bug Bounty, CTF, PoC, Аудит безопасности, Внешний аудит информационных систем, Информационная безопасность, Rust",Blockchain Security Engineer,52120698,"Мы — компания Positive Technologies. Вот уже почти 20 лет мы защищаеморганизации от современных киберугроз: находим уязвимости, расследуеминциденты, разрабатываем высокотехнологичные ИБ-продукты и сервисы. У насшесть офисов в России (Москва, Санкт-Петербург, Самара, Нижний Новгород, Томски Новосибирск).Можно работать как в офисе, так и удалённо.Мы ищем специалиста по безопасности блокчейн-решений и смарт-контрактов. Есливы любите искать уязвимости, умеете мыслить не по шаблону и разбираетесь вкрипте, то эта вакансия как раз для вас.**Требуемые знания, навыки и опыт:**  * Опыт аудита или создания смарт-контрактов на языке Solidity;  * Понимание основ устройства EVM;  * Знание принципов работы основных видов консенсуса;  * Опыт поиска уязвимостей в приложениях, понимание принципов безопасной разработки и основных классов уязвимостей;  * Уверенное знание английского языка;  * Желательно Знание языка Rust;  * Опыт изучения исходных кодов популярных DeFi-протоколов (Uniswap, Compound, Aave, etc);  * Опыт веб-разработки, знание JavaScript;  * Участие в CTF или Bug Bounty программах.**Функциональные обязанности:**  * Аудит смарт-контрактов и блокчейн протоколов на предмет уязвимостей;  * Создание PoC для найденных уязвимостей;  * Формулирование рекомендаций для устранения уязвимостей;  * Исследование распределенных технологий и систем на их основе;  * Публикация работ по результатам исследований и выступление на конференциях (по желанию).**Почему вам у нас понравится:**  * Мы даем все необходимые устройства для работы;  * Мы одобряем и предоставляем возможность пройти любую тематическую сертификацию (OSCP, OSWE и др.);  * У каждого из нас ДМС со стоматологией, вызовом врача на дом и экстренной госпитализацией. Плюс страховка для путешествий;  * Две недели дополнительного отпуска. Мы верим, что время – главный ресурс;  * Можно самому выбрать во сколько начнется твой рабочий день. Возможна удаленная работа при необходимости;Есть возможность работать удаленно или частично в офисе.",,2022-02-04T17:29:11.526+03:00,Positive Technologies,FULL_DAY,False
7,"Английский — C1 — Продвинутый, Грамотная речь, MS Internet Explorer, Blockchain, GitHub, Visual Studio Code",Lead Blockchain Developer,52027516,"We are developing ethereum-compatible blockchain network with regional andcultural focus. Technology is based on Evmos, written in Go language.We are looking for a blockchain engineer experienced in developing blockchainnodes.You are expected to:  * be proficient in go programming language;  * have public contributions to open-source blockchain nodes;  * have experience in writing and reviewing solidity smart contracts;  * be familiar with web3 protocols;  * write CI pipelines which test and build your code on your own.You will develop core blockchain node and smart contracts implementing ourcore network principles. You are expected to build a team of engineers whichyou will be leading. Apart from developing you will coordinate devops in orderto maintain accompanying infrastructure like explorer, UI hosting, etc. Theproduct will be public and open-source, you and your future team will becollaborating with developers community of our network and cosmos ecosystem aswell.We will ask for an active GitHub profile with some code examples andcollaboration activities.Salary: up to 7k USD, optional relocation to UAE, token share.","{'to': 7000, 'gross': True, 'currency': 'USD'}",2022-02-02T11:51:29.970+03:00,Горизонт,REMOTE,False
8,"Английский — B2 — Средне-продвинутый, Blockchain, English, Solidity",Smart Contract and Blockchain Backend Developer,52111147," **HashEx** vision is to become #1 DeFi Security Provider.We believe that by providing a full stack of affordable tools and services, wecan set new security standards and make the decentralized world better andsafer, together. We're always looking for talented humans who are passionateabout about decentralized technologies and security, and ready to build thefuture alongside us.HashEx is seeking a talented individual who possesses infinite curiosity andpassion for security. As a **Smart Contract Developer** , you'll work in ateam of experienced smart contract developers and auditors to deliver the newsecurity standards on decentralized markets.**Responsibilities:**  * Writing clear smart contracts code under senior developers supervision  * Writing backend services for smart contract interaction  * Working with existing contracts and implementing new features based on the project roadmap  * Working effectively within a collaboratively minded team**Qualifications:**  * Understanding of how Blockchains work, especially Ethereum  * Experience in smart contract development with Solidity programming language  * Willingness to learn to write very high-quality, well-tested code  * Passion for Open Finance/ Defi or Trading  * Ability to learn and adapt to a rapidly evolving tech stack  * Strong communication and collaboration skills  * Good written English**Preferred:**  * Good understanding of continuous integration tools and blockchain management tools  * Knowledge of Web3 and Ethereum development and test tools (Truffle or Hardhat)  * Knowledge of market structures and exchange related concepts  * Experience with Node.js  * Familiarity with decentralized finance, upgradeable smart contracts, proxy patterns, and experience working with ZeppelinOS  * Experience with Mocha JavaScript test framework and Chai’s assertion library  * Familiarity with cryptography and experience with Public Key Infrastructure (PKI)**Benefits:**  * Working with experienced in blockchain team that made 200+ smart contact audits and never missed high severity bugs  * Fast-growing and unique business challenges  * Writing code for projects with high TVL  * International working environment in a team of people who are passionate about big goals  * Great career opportunities in a developing company  * Opportunity to develop both personally and professionally  * Progressive salary and bonuses  * Remote work and flexible hours  * Annual corporate retreat","{'from': 3000, 'gross': False, 'currency': 'USD'}",2022-02-04T13:57:43.677+03:00,HashEx US,REMOTE,True
9,"Блокчейн, Умение принимать решения, Blockchain, DEX, CEX, Аналитика, Планирование, Разработка ПО, Инициативность",Team Lead DEX блокчейн,51135380,"Мы в поисках Team Lead команды разработки блокчейн с уверенными компетенциямив DEX для работы по блокчейн продукту (Криптообменник).**Условия:**  * Оклад: до 300 000 тысяч рублей (по результатам интервью);  * Удаленный формат работы (по МСК времени).**Ожидания от соискателя:**  * Уверенный знания в DEХ (DeFi, Solidity);  * Опыт работы R&D разработчиком dApp, Senior разработчиком или Team Lead группы разработки;  * Возможность и желание работать по основной занятости с нашим продуктом, без совмещений с иными проектами.**Над чем работаем?**Трансформация централизованного криптовалютного обменника Netex24 в DEX.Выбрана модель: агрегатор пулов ликвидности для оптимизации свопов трейдеров.Агрегация фарминговых, стейкинговых, лендинговых пулов для инвесторов с цельюпассивного заработка. В этой связи мы занимаемся: разработкой smartконтрактов, внедряем решения второго уровня в целях оптимизации транзакций,разработкой мостов для кроссплатформенного взаимодействия, изучением готовыхDeFi протоколов для решения бизнес задач.**Задачи:**Разработка децентрализованных приложений, глубокая аналитика для выявление ирешение проблем, существующих ограничений блокчейн сетей, интеграцияпротоколов в реальный бизнес/продукт.**О Компании:**“Netex24” надежная Компания. Наша команда с 2007 года развивает криптовалютныйобменник. Мы лидирующий обменник в рунете по количеству пользователей > 2 млнклиентская база, до 1500 новых пользователей пользуются сайтом ежедневно,дневные обороты до $1М. Уверены, что у нас одна из лучших команд blockchainразработчиков в .ru сегменте.**Отклики:**Принимаем отклики в телеграм.","{'from': 250000, 'to': 300000, 'gross': False, 'currency': 'RUR'}",2022-01-15T20:36:20.085+03:00,Netex24,REMOTE,False
