,key_skills,name,id,description,salary,creation_time,employer,schedule,accept_temporary
0,"Английский — B1 — Средний, Unity, ООП, Английский язык, C#, SOLID, Android, iOS",Junior Unity Developer,49273010,"**AmayaSoft** – **** компания, которая занимается разработкой детских игр наAndroid и iOS уже более 10 лет. Приложения компании продаются в Америке,Европе и Азии, а общее количество загрузок насчитывает десятки миллионов.Посмотреть наши игры можно здесь: http://amayakids.com/**С нас:**Возможность прокачать свои профессиональные навыки, участие в актуальныхкоммерческих проектах, научим работать хорошо ( **постоянное код-ревью,менторство, работа в команде** ), адекватную прибавку к ЗП по результатамработы.**Требования:**  * Знание C#,  * Опыт работы с Unity от года,  * Понимание основ ООП, SOLID,  * Умение работать с документацией,  * Технический английский язык (чтение документации)**Условия:**  * Удаленка  * Полная занятость  * Код-review от лидов разработки на проектах  * Система бонусов  * Повышение заработной платы по итогам работы  * Повышение заработной платы после повышения квалификации**Эта вакансия предусматривает выполнение тестового задания**. Если ты готовего выполнить, а всё написанное выше про тебя — откликайся и напиши немного освоём опыте. **Будем рады пообщаться :)**","{'from': 45000, 'to': 70000, 'gross': False, 'currency': 'RUR'}",2021-11-01T08:52:08.734+03:00,Amaya Soft,REMOTE,True
1,"Английский — B1 — Средний, Unity, ООП, Английский язык, C#, SOLID, Android, iOS",Junior Unity Developer,49273011," **AmayaSoft** – **** компания, которая занимается разработкой детских игр наAndroid и iOS уже более 10 лет. Приложения компании продаются в Америке,Европе и Азии, а общее количество загрузок насчитывает десятки миллионов.Посмотреть наши игры можно здесь: http://amayakids.com/**С нас:**Возможность прокачать свои профессиональные навыки, участие в актуальныхкоммерческих проектах, научим работать хорошо ( **постоянное код-ревью,менторство, работа в команде** ), адекватную прибавку к ЗП по результатамработы.**Требования:**  * Знание C#,  * Опыт работы с Unity от года,  * Понимание основ ООП, SOLID,  * Умение работать с документацией,  * Технический английский язык (чтение документации)**Условия:**  * Удаленка  * Полная занятость  * Код-review от лидов разработки на проектах  * Система бонусов  * Повышение заработной платы по итогам работы  * Повышение заработной платы после повышения квалификации**Эта вакансия предусматривает выполнение тестового задания**. Если ты готовего выполнить, а всё написанное выше про тебя — откликайся и напиши немного освоём опыте. **Будем рады пообщаться :)**","{'from': 45000, 'to': 70000, 'gross': False, 'currency': 'RUR'}",2021-11-01T08:52:08.734+03:00,Amaya Soft,REMOTE,True
2,"Английский — B1 — Средний, Unity, ООП, Английский язык, C#, SOLID, Android, iOS",Junior Unity Developer,49273013," **AmayaSoft** – **** компания, которая занимается разработкой детских игр наAndroid и iOS уже более 10 лет. Приложения компании продаются в Америке,Европе и Азии, а общее количество загрузок насчитывает десятки миллионов.Посмотреть наши игры можно здесь: http://amayakids.com/**С нас:**Возможность прокачать свои профессиональные навыки, участие в актуальныхкоммерческих проектах, научим работать хорошо ( **постоянное код-ревью,менторство, работа в команде** ), адекватную прибавку к ЗП по результатамработы.**Требования:**  * Знание C#,  * Опыт работы с Unity от года,  * Понимание основ ООП, SOLID,  * Умение работать с документацией,  * Технический английский язык (чтение документации)**Условия:**  * Удаленка  * Полная занятость  * Код-review от лидов разработки на проектах  * Система бонусов  * Повышение заработной платы по итогам работы  * Повышение заработной платы после повышения квалификации**Эта вакансия предусматривает выполнение тестового задания**. Если ты готовего выполнить, а всё написанное выше про тебя — откликайся и напиши немного освоём опыте. **Будем рады пообщаться :)**","{'from': 45000, 'to': 70000, 'gross': False, 'currency': 'RUR'}",2021-11-01T08:52:08.734+03:00,Amaya Soft,REMOTE,True
3,"Английский — B1 — Средний, Unity, ООП, Английский язык, C#, SOLID, Android, iOS",Junior Unity Developer,50522289," **AmayaSoft** – **** компания, которая занимается разработкой детских игр наAndroid и iOS уже более 10 лет. Приложения компании продаются в Америке,Европе и Азии, а общее количество загрузок насчитывает десятки миллионов.**С нас:**Возможность прокачать свои профессиональные навыки, участие в актуальныхкоммерческих проектах, научим работать хорошо ( **постоянное код-ревью,менторство, работа в команде** ), адекватную прибавку к ЗП по результатамработы.**Требования:**  * Знание C#,  * Опыт работы с Unity от года,  * Понимание основ ООП, SOLID,  * Умение работать с документацией,  * Технический английский язык (чтение документации)**Условия:**  * Удаленка  * Полная занятость  * Код-review от лидов разработки на проектах  * Система бонусов  * Повышение заработной платы по итогам работы  * Повышение заработной платы после повышения квалификации**Эта вакансия предусматривает выполнение тестового задания**. Если ты готовего выполнить, а всё написанное выше про тебя — откликайся и напиши немного освоём опыте. **Будем рады пообщаться :)**","{'from': 45000, 'to': 70000, 'gross': False, 'currency': 'RUR'}",2021-12-17T07:53:29.941+03:00,Amaya Soft,REMOTE,True
4,"ООП, Unity, Управление временем, Mac Os, Мобильность, С#, программист, GameDev, Разработка ПО, Game Programming",Юнити-разработчик Junior (Unity developer),47472801," **Привет!**Планируешь работать, или уже работаешь в GameDev'е? - Отлично! Добропожаловать в классную команду идейных людей, одержимых играми!Мы создаем гиперказуальные игры на платформе Unity!Отзыв на вакансию будет рассмотрен, если:1\. Ты прислал ссылку на геймплеи твоих свежих работ. Будет круто, если тыукажешь лучшие из них.2\. В сопроводительном письме ВАЖНО подробно расписать следующее:\- С чем именно есть опыт работы в Unity? Какого уровня этот опыт по твоемумнению? Чтобы ты хотел еще изучить в Unity?\- Какие конкретно задачи выполнялись тобой?\- Работал ли ты в одиночку, или у тебя был командный опыт?\- Укажи список проектов и какую роль ты в них выполнял?**Обязанности:**  * Работа с движком Unity - создание новых проектов, создание прототипов, создание и настройка игровых сцен, интерфейса. Импорт и настройка ассетов, оптимизация.  * Программирование - реализация логики систем проекта, разработка архитектуры с нуля, создание новых фич, интеграция сторонних сервисов (аналитика, реклама и т.д.), программная оптимизация.  * Работа с системой контроля версий (GitHub)  * Работа с командой, используя сервисы: GitHub, Notion, Discord и другие**Требования:**  * Обязательное наличие хотя бы одного собственного проекта в 3D  * Уверенные знания движка Unity. Уровень самостоятельной разработки хотя бы одной механики.  * Уверенные знания C#, принципов разработки, ООП.  * Выраженный хороший стиль программирования.  * Навыки построения качественной архитектуры проекта.Дополнительным плюсом будет:  1. Хороший уровень владения английского языка.  2. Множество собственно выпущенных проектов в 3D  3. Опыт мобильной разработки и оптимизации, с использованием Unity  4. Опыт интеграции сервисов (IAP, Ads, Analytics, и т.д.)**Условия:**  * Выполнение тестового задания,  * Оплата 2 раза в месяц.  * Большие возможности карьерного роста.  * Заключение договора.  * Возможность размещения в своем портфолио большинства игр, над которыми будешь работать.  * Распределенная команда.  * В нашей компании мы ценим достигаемый результат, а не просиженное за работой время.Наш слоган: ""Пусть все играют!""","{'from': 20000, 'to': 45000, 'gross': False, 'currency': 'RUR'}",2021-08-30T11:11:41.024+03:00,ALLEMO LTD,REMOTE,True
5,"Unity, C#, Visual Studio C#, Flash-анимация, Мобильная разработка, gamedev, ООП, SOLID",Junior/Middle Unity Developer,50870384,"**Обязанности:**  * Реализация игровых фичей и механик геймплея;  * Верстка игровых интерфейсов;  * Работа над физикой игровых объектов;  * Работа с графической частью проекта: программная анимация, визуальные эффекты и прочее;**Требования:**  * Опыт коммерческой разработки на Unity3D;  * Уверенное знание С#, основных структур данных, понятия сложности операций, Unity3D;  * Понимание принципов SOLID;**Мы предлагаем:**  * стабильность: работу в компании с устойчивой репутацией и успешным опытом присутствия на рынке;  * возможность самостоятельно решать, что делать и как — никакого микроменеджмента  * отсутствие бюрократии и застоя  * профессиональный рост  * участие в разнообразных, разноплановых проектах;  * достойный уровень заработной платы;  * официальное трудоустройство и социальный пакет в соответствии с трудовым законодательством РФ;","{'from': 50000, 'to': 150000, 'gross': True, 'currency': 'RUR'}",2022-01-10T13:57:27.345+03:00,Смарттех,FULL_DAY,False
6,"Unreal Engine 4, Английский язык, C++, Time management, Teambuilding",Junior Unity/C# Developer,51412338,**RESPONSIBILITIES:**\- Design game modules or applications;  \- Develop;  \- Bugfix.**REQUIREMENTS:**\- C# programming;  \- Algorithmic thinking.**WILL BE A PLUS:**\- GPU programming;  \- Math skills;  \- Physics skills;  \- Understanding of Animations flow;  \- 3D modeling skills;  \- C++;  \- Unreal Engine 4.**WE OFFER:**  \- Location near the metro station (Vasylkivska) or ability to work remotely;  \- Open management without bureaucracy;  \- Salary reviews every 6 months;  \- 10 days paid sick leave and 18 working days vacation;  \- Days off on National/Bank Holidays;  \- Partial compensation of any professional courses or trainings;  \- Possibility to grow inside a friendly and professional team;  \- Сomfortable office,,2022-01-20T12:53:01.755+03:00,Kevuru Games,FULL_DAY,False
7,"C++, Unity, C#, ООП, Unreal, Unigine, Разработка компьютерных Игр, gamedev, геймдев, Git","Программист игр (C++, 3D-движок UNIGINE, junior, удаленно)",51170081,"Требуется программист C++ с опытом в геймдеве для разработки хардкорных 3D игрна движке UNIGINE.Быть специалистом в области DirectX/OpenGL/Vulkan и шейдеров не обязательно,графикой занимается отдельная команда.**Требования:**  * Уверенное владение C++ (11-го стандарта будет достаточно)  * Владение 2D/3D математикой (векторы, матрицы, скалярное/векторное произведение и т.п.)  * Опыт разработки игр на 3D движке (Unigine / Unity / Unreal...)  * Знание C# будет плюсом (но не обязательно)**Примеры проектов:**Хардкорные 3D игры под PC и консоли нового поколения, в основном в жанресимуляторов (техника, гонки). Собственные проекты, не аутсорс.**Задачи:**  * Игровые механики и логика  * Физическая симуляция  * Искусственный интеллект  * Пользовательский интерфейс  * Сетевые фичи  * Профилирование производительности и оптимизация игр  * Разработка вспомогательных инструментов (редакторов уровней, карт, эффектов, различных утилит и прочее)  * Портирование под консоли, добавление platform-specific features**Условия:**  * Команда умных людей, у которых есть чему научиться  * Доброжелательная творческая атмосфера  * Постоянное обучение за счет компании  * Трудоустройство по ТК РФ, 100% белая зарплата  * Удаленная работа (или переезд в Томск, помогаем организационно)**Про UNIGINE:**Компания UNIGINE занимается разработкой собственного 3D-движка и интерактивныхпроектов на ее основе (профессиональные тренажеры, игры, бенчмарки).Мы создали стратегическую игру Oil Rush, которая вышла на 5 платформах(Windows, Linux, Mac, Android, iOS). Наш движок используют более 250 компанийпо всему миру, аудитория наших GPU бенчмарков (включая популярные Heaven,Valley и Superposition) - более 40 миллионов пользователей.Компания активно развивается и растет уже 16 лет. Офисы UNIGINE расположены вТомске и Санкт-Петербурге.","{'from': 60000, 'to': 100000, 'gross': False, 'currency': 'RUR'}",2022-01-17T08:10:10.196+03:00,Unigine,REMOTE,False
8,"Unity, C#, ООП, Unity3D",Junior Unity Developer,50946533,"Международная компания **DouDouGames** уже 8 лет разрабатывает игры в жанреmatch-3. У нас разнообразный портфель проектов и огромный опыт в разработкеигр.Мы верим, что залог успеха - это здоровая рабочая атмосфера и профессионалы,которые любят свое дело! Поэтому ценим каждого сотрудника и даем возможностьраскрыться и проявить себя.Для реализации наших амбициозных целей мы ищем талантливого **Junior Unityпрограммиста** , готового работать в нашей команде.**Что предстоит:**  * Работать над мета частью матч-3 проекта в сеттинге тропического острова! В зависимости от интересов мы можем предложить работу как над сложной логикой игры так и над UI**Мы предлагаем:**  * Понятные цели и задачи  * Итеративную разработку без нереальных сроков  * Отличную расширяемую архитектуру проекта без костылей и временных решений  * Крутую и опытную команду  * Кодревью**Наш кандидат обладает:**  * Знанием C#  * Опытом работы в Unity3d  * Умением работать с системами контроля версий  * Знанием принципов ООП, SOLID  * Знанием паттернов проектирования**Преимущества работы в нашей компании:**  * У нас не только гибкое рабочее время, но и сокращенный рабочий день! Мы эффективно работаем 8 часов, что в итоге экономит +20 ваших часов в месяц на личные интересы  * Работать удаленно, либо в офисе? Решать вам, а мы поддержим ваш выбор! (офис Москва, м. Алексеевская)  * Мы заботимся о наших сотрудниках, поэтому компенсируем 50% расходов на здоровье, спорт, обучение и др.  * У нас приятная творческая атмосфера, которая позволяет раскрыть потенциал сотрудников. Мы поддерживаем их развитие, проводим лекции/вебинары от собственных и приглашенных экспертов  * Конкурентная заработная плата и ее пересмотр, в соответствии с вашим профессиональным ростом",,2022-01-11T16:42:12.241+03:00,DouDouGames,REMOTE,False
9,"Adobe Photoshop, Работа в команде, Figma, Unity 3D",Разработчик Unity (junior),50991734,"**Обязанности:**  * Создание новых, уникальных игровых механик;  * Поиск графических элементов;  * Создание UI/UX;  * Создание анимаций;  * Реализация игровой логики.**Требования:**  * Опыт работы с Unity и C# от года;  * Умение работать с 2D проектами;  * Опыт создания игровых механик;  * Умение создавать простейшие анимации с помощью инструментов Unity._Будет плюсом:  Хороший навык владения с графическими редакторами (Photoshop, Figma)_**Условия:**  * Конкурентный уровень з/п ( по результатам интервью);  * Сплоченный коллектив молодых специалистов;  * Тихий офис в бизнес-центре класса «А» в г. Санкт-Петербург;  * Зоны отдыха с настольным футболом и кухней;  * 100% оплату отпусков и больничных;  * Возможность карьерного роста в команде профессионалов;  * Сокращённый рабочий день (7 часов);  * Гибкое начало дня в офисе ( с 9 до 13);  * Раз в неделю можно поработать удалённо;  * Корпоративная библиотека для сотрудников компании;  * ДМС и компенсация спорт-зала или иностранного языка;  * Лучшие корпоративы с выездами на природу, тимбилдингами, мастер-классами и тд.;  * Полное обеспечение любой техникой для комфортной работы;  * Конкурсы для сотрудников с денежными призами;  * Бонусная программа рекомендаций.","{'from': 30000, 'to': 50000, 'gross': False, 'currency': 'RUR'}",2022-01-12T14:17:26.860+03:00,Тасмо-Груп,FULL_DAY,False
