,key_skills,name,id,description,salary,creation_time,employer,schedule,accept_temporary
0,"C#, Git, ООП, Unity, .NET Framework",Unity / С# разработчик (Middle),51457310,"**О нас:**Наша компания на рынке более десяти лет. За это время было выпущено 6 успешныхигр, совокупная аудитория которых несколько миллионов человек.Девиз наших игр: от геймеров для геймеров! Мы делаем игры, в которые хочетсяиграть самим.В связи с расширением ищем новых сотрудников.**Обязанности:**  * Разработка игр на Unity / C#  * Написание чистого и понятного кода  * Поддержка ранее выпущенных продуктов  * Рефакторинг легаси кода  * Интеграция сторонних SDK**Требования:**  * Опыт работы с Unity  * Опыт разработки на C# и .Net от 2 лет  * Знание принципов ООП  * Знание типичных паттернов, алгоритмов, структур данных, MVC, SOLID**Будет плюсом:**  * Опыт работы с git  * Опыт публикации публикации приложения в Google Play / AppStore / Steam  * Опыт работы с 3D-Графикой (материалы, шейдеры, освещение)  * Опыт работы с нативными плагинами (In-Apps, PUSH notifications, аналитика, реклама, социальное взаимодействие);  * Наличие выпущенных приложений в мобильных маркетах  * Знание принципов клиент-серверного взаимодействия**Условия:**  * Полный рабочий день 8:00 - 17:00  * Полис ДМС  * Размер заработной платы по результатам собеседования и тестового задания  * Отпуск и больничные без потери заработной платы  * Поездки на профильные конференции  * Настольный футбол, свой тренажерный зал**Этапы:**  * Собеседование  * Тестовое задание  * Наше предложениеЖдем ваших резюме на stankoservicedev_собака_gmail.com","{'from': 120000, 'to': 150000, 'gross': False, 'currency': 'RUR'}",2022-01-21T05:47:47.282+03:00,Алексеев Иван Сергеевич,FULL_DAY,False
1,"Английский — B1 — Средний, Английский язык, C#, Unity, Gamedev",Unity С# Middle Developer,50667275,"На текущий момент идет разработка mid-core проекта в жанре Idle/Tycoon. Играпредставляет собой развитие Бизнеса в Условиях небольшого города. Игра непохожа ни на один проект который уже существует в мобильном сегменте, так чтовам предстоит очень увлекательное путешествие с небольшой и дружной командой.Рассчитываем найти разработчика способного обучаться и с желанием разбиратьсяв новых структурах, таких как NFT.   **Требования:**\- Знание C#,  \- Опыт работы с Unity от 2 лет,  \- Понимание основ ООП  \- Умение работать с документацией  \- Технический английский язык (чтение документации)  \- Понимание разговорной речи на английском**Условия:**\- Работа в gamedev  \- Удаленка  \- Полная занятость  \- Почасовая оплата","{'from': 1900, 'to': 2600, 'gross': False, 'currency': 'USD'}",2021-12-24T01:40:09.395+03:00,Лунькин Василий,FULL_DAY,False
2,"Unity, C#, Visual Studio C#, Flash-анимация, Мобильная разработка, gamedev, ООП, SOLID",Junior/Middle Unity Developer,50870384," **Обязанности:**  * Реализация игровых фичей и механик геймплея;  * Верстка игровых интерфейсов;  * Работа над физикой игровых объектов;  * Работа с графической частью проекта: программная анимация, визуальные эффекты и прочее;**Требования:**  * Опыт коммерческой разработки на Unity3D;  * Уверенное знание С#, основных структур данных, понятия сложности операций, Unity3D;  * Понимание принципов SOLID;**Мы предлагаем:**  * стабильность: работу в компании с устойчивой репутацией и успешным опытом присутствия на рынке;  * возможность самостоятельно решать, что делать и как — никакого микроменеджмента  * отсутствие бюрократии и застоя  * профессиональный рост  * участие в разнообразных, разноплановых проектах;  * достойный уровень заработной платы;  * официальное трудоустройство и социальный пакет в соответствии с трудовым законодательством РФ;","{'from': 50000, 'to': 150000, 'gross': True, 'currency': 'RUR'}",2022-01-10T13:57:27.345+03:00,Смарттех,FULL_DAY,False
3,"Английский — A2 — Элементарный, Unity, C#, Unity3D, VR, AR, AWS, Virtual Reality, Metaverse",Unity / C# Developer (Middle),52130451,"_“ShapesXR is a bridge for developers who are not designers, and designers whoare not developers”_ Charlie Fink, Forbes**Вы готовы присоединиться к международной и амбициозной IT компании,разрабатывающей самый крутой Virtual Reality Collaboration Product в Мире?**Вам интересны амбициозные задачи, драйв и энергия стартапа? Дружный ипрофессиональный международный коллектив? Вы хотите расти и развиваться, братьна себя ответственность и отвечать за широкий спектр задач в профессиональнойкоманде? Реализовывать себя без ограничений масштаба и роста в международнойсреде? Применять свои знания Unity для создания высоконагруженного EnterpriseReady продукта, работающего на весь мир?**Наша компания основана в 2017 году** , и за 5 лет работы мы сталиотраслевыми экспертами в области VR / AR / MR. Компания созданапрофессионалам, которые верят в будущее новых технологий Virtual and MixReality, а у основателей большой опыт работы на топ позициях в корпорациях EMC/ DELL, Siemens, Microsoft. Мы постоянные участники лучших международныхотраслевых конференций и мероприятий в области пространственных вычислений, XR(VR, AR, MR), 3D анимации и сторителлингу; обладаем уникальной и признанной нарынке экспертизой. Если вам интересны передовые технологии будущего ивостребованные опыт и скиллы в области создания метавселенных - **welcome onboard!****ShapesXR** \- продукт для Metaverse, а по-простому для VR, AR, XR отрасли.Коллаборативный инструмент для дизайна, прототипирования и обсужденияпродуктов в иммерсивном пространстве. **Нас называют Figma для 3D.**Наши стратегические партнеры - это Meta (Facebook), Unity, Apple Adobe идругие корпорации. Мы создаем инновационное решение на мировом рынке синвестициями и поддержкой корпорациями и топовыми инвесторами из КремниевойДолины.**Масштабный релиз ShapesXR состоялся 11 ноября 2021** года и продукт доступенв Oculus Store на Quest 2.Сейчас нам предстоит развивать все более сложный функционал как впользовательской части (развитие и добавление инструментов создания ипрототипирование, оптимизации под мобильный VR, групповое взаимодействиепользователей в единых пространствах, синхронизация в реальном времени), так иповышать безопасность продукта для корпоративного использования, внедрятьуправление правами доступа, развивать коллаборативные / сетевые функции,работать с AWS, масштабировать решение, добиваться отказоустойчивости и т.д.Задач много и они разные и интересные!Мы не создаем очередную игру или клоны чужих продуктов. Мы создаем лучшее инеповторимое приложение в новой отрасли, в Metaverse! И мы единственные изРоссии, кто это успешно делает напрямую в Кремниевой Долине. У нас оченьпрофессиональная команда и мы ищем достойных сильных кандидатов!**ShapesXR - признан ""Best Сollaboration Tool""**В настоящий момент мы расширяем команду разработки и ищем: Unity3D / C# /разработчик / программист. Работа в нашей компании открывает широкиевозможности и перспективы развиваться как профессионалу в перспективнойобласти, быть на передовой Virtual Reality и работать с мировыми компаниями -технологическими лидерами IT. При желании и успехах в работе - вам будетдоступна возможность релокации и в USA.**Задачи:**  * Разработка программного продукта на Unity / С#;  * Непосредственное участие в развитие продукта (не просто писать кусочек кода по ТЗ, а участвовать в обсуждениях, brainstorm и влиять на функционал и разработку продукта);  * Написание чистого и понятного кода в заданный срок;  * Ведение сопроводительной документации на минимальном англ. языке;**Требования:**  * Уверенное владение Unity / С# (гейм или нон-гейм индустрия);  * Минимум 2 года подтвержденного опыта командной работы на C# / Unity (не фриланс);  * Способность и желание расти и решать сложные задачи;  * Самостоятельность, ответственность, желание развиваться и изучать новое;  * Опыт разработки сетевого кода в многопользовательских приложениях реального времени будет хорошим дополнительным преимуществом;**Условия:**  * Участие в амбициозной международной компании, работающей в передовой индустрии, в компании лидере индустрии Metaverse (""non-gaming VR"");  * Высоко профессиональный и дружный коллектив единомышленников, никаких излишних совещаний, избыточной орг. структуры и бюрократии;  * Полностью официальное / белое оформление;  * Итоговый оклад кандидату назначается по результату успешного прохождения собеседований и зависит от опыта и знаний;  * На время пандемии (так работаем почти два года) работа преимущественно из дома, но есть уютный офис и возможнось выбора / комбинации;**Примеры направлений работы внутри нашей команды:**  * Разработка инструмента для прототипирования, моделирования, 3D и пр.;  * Разработка функционала сетевого взаимодействия для реализации совместной работы пользователей, шаринга контента и пр.;  * Разработка UI/UX и улучшение интерфейсов в VR;  * Разработка архитектуры продукта;  * Оптимизация под мобильный VR;  * Эксперименты с VR / AR;Если вам интересны **технологии VR и AR** , а также работа в международнойпродуктовой компании — **ждем ваше резюме!**","{'from': 150000, 'gross': False, 'currency': 'RUR'}",2022-02-05T14:45:45.316+03:00,Tvori Inc.,REMOTE,False
4,"C#, Unity3d, ООП, Git, GameDev, Game Programming, Разработка компьютерных Игр",Unity Developer (Middle) / Программист Unity3d,47015825,"Немного о компании **ARPAPLUS**. Уже более 7 лет мы создаём игры для платформGoogle Play и Apple App Store. Наличие глобального лидерства в одном из самыхпопулярных жанров игр, большой опыт и огромная армия поклонников наших игр —всё это даёт нам прочную основу для разработки смежных проектов, а так жеразвития новых направлений.Работа в нашей компании - это не сухая бюрократия, а творческий процесс, гдекаждый член команды влияет на конечный продукт. Хотя мы и работаем поопределённым направлениям, мы не ограничиваем себя тематиками, у нас есть всё:от милых девочек до бабки-убийцы. Если тебе интересен успешный геймдев, мытебя ждём.Мы ждём талантливых и целеустремлённых Middle девелоперов для работы надувлекательными и крутыми проектами в жанрах **casual** и **escape** (квесты).Программист рассматривается на работу в офис ( **не для удалённой работы** ).**Что нужно будет делать?**  * Разработка игровых проектов с нуля  * Улучшение и обновление игровых проектов компании  * Взаимодействие с программистами, художниками, тестерами  * Наслаждение конечным результатом, который увидят миллионы пользователей по всему миру  **А что для этого нужно?**  * **Опыт работы в Unity: 2.5+ года**  * **Знание и опыт работы с игровой логикой**  * Опыт оптимизации мобильных игр для Android/iOS  * Умение разбираться в чужом коде  * Уверенная работа с атласами  * Ведение проектов в Git  * Сборка под Android/iOS (XCode)  * Владение английским языком (для чтения документации)  **Хм... как у вас там?**  * Современный офис в центре Новосибирска  * Бесплатные кофе/чай/печеньки и прочее :)  * Оформление по ТК РФ, оплачиваемый отпуск, больничный  * ДМС, компенсация за спорт и профессионального обучения  * Карьерный и финансовый рост - всё в ваших руках!  * Удобный рабочий график: приходите в удобное для вас время 9:00-10:30У нас хорошо, приходите и реализуйте свои навыки в программировании, получитебесценный опыт и достойную оплату своего труда.","{'from': 100000, 'to': 200000, 'gross': False, 'currency': 'RUR'}",2021-08-12T14:26:43.736+03:00,Арпаплюс,FULL_DAY,False
5,,Middle Unity разработчик / Unity3d,49912299,"Skytec Games - один из ведущих игровых разработчиков Сибири. 9 лет на рынке,собственные продукты, офисы в Новосибирске и США, более 90 миллионов установокигр по всему миру и 3 миллионная месячная аудитория игроков.Уровень зарплаты зависит от квалификации и обсуждается по результатамсобеседования.**Задачи:**  * Разработка игр на Unity для мобильных платформ iOS и Android  * Реализация игровых механик  * Имплементация UI, анимации, графических эффектов в продуктах  * Интеграция различных сервисов, SDK  * Поиск и исправление багов**Требования:**  * Опыт работы на Unity от 1 года  * Умение разбираться в чужом коде  * Умение решать технические задачи  * Знание ООП, структур данных и базовых алгоритмов  * Уверенное знание C#  * Умение быстро и качественно решать поставленные задачи  * Умение четко формулировать и выражать свои мысли  * Высшее образование или последние курсы университета  * Желание делать классные игры  * Желание учиться и развиваться как профессионал**Работа в Skytec Games — это:**  * ​​​Интересные и сложные задачи  * Возможность учиться у профессиональных коллег  * Белая зарплата и официальное трудоустройство  * Гибкий график работы  * Оплачиваемый отпуск и больничный  * Компенсация посещения спортзалов  * Комфортный офис, собственное 2-этажное здание на огороженной территории, с деревьями, лавочками, площадкой для мангала и удобной парковкой  * Своя кухня, сладости, фрукты, чай и кофе. Теннис, настольный футбол и игровая комната с PS4  * Крутые корпоративы и тематические вечеринки**Мы ждем от Вас:**  * Резюме  * Готовность выполнить тестовое задание","{'from': 100000, 'gross': False, 'currency': 'RUR'}",2021-11-24T13:05:59.159+03:00,Skytec Games,REMOTE,False
6,"C#, Unity, URP",Unity C# Разработчик,50548513,"**КОГО МЫ ИЩЕМ:**Разработчика уровня Middle/Senior. Мы предлагаем интересные задачи, участие впроекте международного уровня, возможность реализовать собственные идеи нареальных проектах и вырасти вместе с командой.  Полная занятость, полный день.**ЧТО МЫ ЖДЕМ ОТ КАНДИДАТА:**  \- Опыт работы от 2-х лет  \- Опыт работы в Unity  \- Уверенное знание C#  \- Опыт интеграции сторонних SDK  \- Опыт работы с системами контроля версий    ПЛЮСОМ БУДЕТ  \- Опыт работы с URP  \- Опыт написания нативных приложений под Android/iOS  \- Опыт работы с реактивным программированием  \- Опыт выпуска проектов под мобильные платформы     **ОБЯЗАННОСТИ:**  \- Разработка фичи от её обсуждения до релиза  \- Написание хорошо документированного кода  \- Написание решений, облегчающих жизнь команде и ускоряющих процессразработки**ЧТО МЫ ПРЕДЛАГАЕМ:**  \- Соблюдение ТК РФ (оплата отпуска‚ больничного)  \- Комфортный офис в пяти минутах от станции метро Технологический институт  \- График работы: 5/2, (два дня в неделю можно работать удалённо)  \- Участие в современных и интересных проектах международного уровня  \- Возможности обучения (курсы, конференции) и профессионального роста  \- Помощь в релокации. Мы поможем вам с переездом.  \- Сервис психологической поддержки ""Ясно""","{'from': 120000, 'to': 210000, 'gross': False, 'currency': 'RUR'}",2021-12-18T14:29:48.645+03:00,Тактика,FULL_DAY,False
7,"ООП, Android, C#, iOS, Unity, Работа в команде",Middle Unity C# разработчик,51351482," **Требуемый опыт работы:** от 2 лет**Обязанности:**  * проектирование, разработка и поддержка мета/игровых механик мобильного клиента игры  * программирование пользовательских интерфейсов  * разработка логики визуальных эффектов для UI  * разработка и планирование архитектуры  * ревью решений других инженеров  * написание реализации сетевого взаимодействия на нашем движке https://snipe.dev  * анализ производительности и оптимизация графики**Требования:**  * знание и опыт разработки на C#  * опыт разработки в Unity для мобильных устройств  * знание и понимание принципов ООП и умение их применять  * знакомство с паттернами программирования  * алгоритмическая подготовка  * знание работы мобильных платформ (Android, iOS)  * навыки оптимизации под мобильные устройства**Преимуществом будут:**  * желание и способность к обучению  * опыт разработки ПО в команде  * опыт работы со средствами совместной разработки: системы контроля версий, баг-трекинга  * понимание принципов клиент-серверной архитектуры  * отличное знание алгоритмов и структур данных  * большой игровой опыт, энтузиазм и интерес к играм  * наличие собственных игровых проектов  * опыт разработки сетевых игра**Мы предлагаем:**  * широкие возможности реализации и развития  * увлеченную опытную команду и адекватное руководство  * гибкое начало рабочего дня  * оплату посещения профильных курсов и конференций  * заработная плата обсуждается индивидуально и зависит от квалификации","{'from': 50000, 'to': 120000, 'gross': False, 'currency': 'RUR'}",2022-01-19T15:26:07.053+03:00,Энгельгардт Владислав Викторович,REMOTE,True
8,,Middle Unity разработчик / Unity3d,48166080,"Skytec Games - один из ведущих игровых разработчиков Сибири. 9 лет на рынке,собственные продукты, офисы в Новосибирске и США, более 90 миллионов установокигр по всему миру и 3 миллионная месячная аудитория игроков.Уровень зарплаты зависит от квалификации и обсуждается по результатамсобеседования.**Задачи:**  * Разработка игр на Unity для мобильных платформ iOS и Android  * Реализация игровых механик  * Имплементация UI, анимации, графических эффектов в продуктах  * Интеграция различных сервисов, SDK  * Поиск и исправление багов**Требования:**  * Опыт работы на Unity от 1 года  * Умение разбираться в чужом коде  * Умение решать технические задачи  * Знание ООП, структур данных и базовых алгоритмов  * Уверенное знание C#  * Умение быстро и качественно решать поставленные задачи  * Умение четко формулировать и выражать свои мысли  * Высшее образование или последние курсы университета  * Желание делать классные игры  * Желание учиться и развиваться как профессионал**Работа в Skytec Games — это:**  * ​​​Интересные и сложные задачи  * Возможность учиться у профессиональных коллег  * Белая зарплата и официальное трудоустройство  * Гибкий график работы  * Оплачиваемый отпуск и больничный  * Компенсация посещения спортзалов  * Комфортный офис, собственное 2-этажное здание на огороженной территории, с деревьями, лавочками, площадкой для мангала и удобной парковкой  * Своя кухня, сладости, фрукты, чай и кофе. Теннис, настольный футбол и игровая комната с PS4  * Крутые корпоративы и тематические вечеринки**Мы ждем от Вас:**  * Резюме  * Готовность выполнить тестовое задание","{'from': 100000, 'gross': False, 'currency': 'RUR'}",2021-09-22T11:44:49.749+03:00,Skytec Games,FLEXIBLE,False
9,,Middle Unity разработчик / Unity3d,49912344,"Skytec Games - один из ведущих игровых разработчиков Сибири. 9 лет на рынке,собственные продукты, офисы в Новосибирске и США, более 90 миллионов установокигр по всему миру и 3 миллионная месячная аудитория игроков.Уровень зарплаты зависит от квалификации и обсуждается по результатамсобеседования.**Задачи:**  * Разработка игр на Unity для мобильных платформ iOS и Android  * Реализация игровых механик  * Имплементация UI, анимации, графических эффектов в продуктах  * Интеграция различных сервисов, SDK  * Поиск и исправление багов**Требования:**  * Опыт работы на Unity от 1 года  * Умение разбираться в чужом коде  * Умение решать технические задачи  * Знание ООП, структур данных и базовых алгоритмов  * Уверенное знание C#  * Умение быстро и качественно решать поставленные задачи  * Умение четко формулировать и выражать свои мысли  * Высшее образование или последние курсы университета  * Желание делать классные игры  * Желание учиться и развиваться как профессионал**Работа в Skytec Games — это:**  * ​​​Интересные и сложные задачи  * Возможность учиться у профессиональных коллег  * Белая зарплата и официальное трудоустройство  * Гибкий график работы  * Оплачиваемый отпуск и больничный  * Компенсация посещения спортзалов  * Комфортный офис, собственное 2-этажное здание на огороженной территории, с деревьями, лавочками, площадкой для мангала и удобной парковкой  * Своя кухня, сладости, фрукты, чай и кофе. Теннис, настольный футбол и игровая комната с PS4  * Крутые корпоративы и тематические вечеринки**Мы ждем от Вас:**  * Резюме  * Готовность выполнить тестовое задание","{'from': 100000, 'gross': False, 'currency': 'RUR'}",2021-11-24T13:06:37.526+03:00,Skytec Games,REMOTE,False
